Rest In Beats - Tribute to Nujabes & J Dilla [Chillhop Music],Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,12288,chillhopmusic
1,Runnin',0XgpiStoxq1IJncYlPrvZ5,The Pharcyde,7yk35uHNQclPXFGFoTU44w,Labcabincalifornia (Deluxe Edition),05Qg48LlYGKYdeXrNGg00g,65,not available
2,The Final View,3MZHDutJalh9C4DNLptn2v,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Metaphorical Music,5FrjDW96mCYw9ECc74c637,50,https://p.scdn.co/mp3-preview/ebfe73310a4736754f9279b65be4fb03bab2d97f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Nube de Mota,6cp741Ie7FYYNpIhas74tX,BluntOne,225l1KEprObX8xgl8xo2Gc,Nube de Mota,1fSCywR7Ikq2jauZbYc5EJ,53,https://p.scdn.co/mp3-preview/eb9e98467d65f67e2e5d6332cd646024d7991266?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Diggin' in Japan,4wBhrjxTqAv3Lf9E78vlGQ,Psalm Trees,5pmXkV6A8yQdoa64xzvZ0S,You Don't Know What Love Is,1ujIpuxtWkMjAnVn1QeFvt,55,https://p.scdn.co/mp3-preview/09ed436fd65b921361d74beeae1ab2fb7dffa62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Loveflip,6zl94RcRlptWpqACmpkVnE,Tzapa,06itxCjHrVR4x3ArhTDPvJ,Project Blues,3phL8X52FLhMqX0FPeOVq7,11,https://p.scdn.co/mp3-preview/a01695aa4932eb1ced99895f7c26b2faa8aee9f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Hypnosis,4LcqOSx9c7boYhWy8G02qQ,Evil Needle,37nE9g0LRDhDSIejDuPKPS,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,53,https://p.scdn.co/mp3-preview/5e304d5f3a97c5e40a35c003fb3e1691169b7c40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,B Plz,3HCtZCelZ6U6AZULOWqml4,Tzapa,06itxCjHrVR4x3ArhTDPvJ,Project Blues,3phL8X52FLhMqX0FPeOVq7,11,https://p.scdn.co/mp3-preview/d469377b03d69c0c10018bfba7d87d733df11655?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Wildflower,1eYTN19ZXz0i9iuIX2TD5U,Joe Corfield,4PTdN7iZceYLYGvOTxwAgl,Chillhop Essentials Spring 2018,6fhZk3c9CkVFgYvDzjZDIV,56,https://p.scdn.co/mp3-preview/44f14479f4df2c91ece1aec84a8d4707a361e07a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Silience,5TuhMyeZ7bBd3A0PzKNW4D,Toonorth,5cnRXRa8otbppSiXvfdmo3,Silience,4Fw2PdZjZSGA3Tk2lhLAY1,63,https://p.scdn.co/mp3-preview/57713f5f94ed7095fdc933981628a1557d91e550?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,5:30AM,6Gjxy40l0nhMRUB7XRwLvg,Slom,0UswO8FFKS2tv6dzyNyJLD,Alone,5eWt3DeiqNPEZguSUJ81YM,52,https://p.scdn.co/mp3-preview/a05938e3088200b9253a8ccf1391224e264a14af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Stardust,346WmKVmkCYckdcWxFutxc,Omaure,7jzNtnTGzuVQ8yVDTfHa4G,Dystopia Ave.,01f3XU54k6puV1gPZJwNw9,16,https://p.scdn.co/mp3-preview/473bc40ae9535f512462e8a5387817ceed26e628?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Ready to Roll,512ucJ5NyPfRJZedlZIKHk,Con Comfort,4BgZtT1CWUIZFKqKr9J94B,Naturals,4PPTlHHI85AzDiA889Uuu9,17,https://p.scdn.co/mp3-preview/6d32acecdb5a1bc686aa4db68f8c707cc111bb86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
