Late Night Vibes [Chillhop / Ambient / Lofi Hip Hop],Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,100954,chillhopmusic
1,Lilac,0Ymu1QBwxsXpwsLdxWBRtA,G Mills,0djvqMepj2XkHfvWTqkH1N,Lilac,4lqw1wICfF7tNfVjj3TPgX,0,https://p.scdn.co/mp3-preview/afc6729fae4069800eb686e41eea0bddd4b3c9c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Our Reflection,1wH6Xf0i73tcGA96syNKKN,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,52,https://p.scdn.co/mp3-preview/94e2cf8b47853e9b385b6542b70ca60fc3cfae93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Home,1HotUdQCsIp0MCnhxjMM4d,Aso,45Ui3GdcxzbdJhhTtZLXO8,Home,4l845so4pIo4GbjPArqmjb,60,https://p.scdn.co/mp3-preview/3db080704cabd20d80f2b5b314a4a3a8f1e09af3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Angapesiss,7eghrLB9Wwq6GWEHqHZQwT,Toonorth,5cnRXRa8otbppSiXvfdmo3,Morii,2MjvVym3mahKSVeGm23qdC,33,https://p.scdn.co/mp3-preview/53a629ec4ebd380fa57323b3fdd880247cc8c685?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Lower East Late Summer,2lLdlshOROCDbFedbUhoPQ,auv,6mmGVOvxusEdkxXmPg0Wlm,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/354e0246568842aaf7416be1aa524156f754f69c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,While You Sleep,6hv1AUktgRGpY6coub12NG,Late Era,6SRj6cRWRVlDvFB0gHHVkN,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,66,https://p.scdn.co/mp3-preview/bfcf046fdbc08acefa921c2fe18468182fa34954?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Davita,6mCDqttlC1WT60sS1sgiV6,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,40,https://p.scdn.co/mp3-preview/4116b8586d315b68fa4c5e77c1f921cfb13fd2cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Clouds,5bed17SgDDUE06bhbPqIj3,Gigi Masin,0dCVhSVXD9JhJh2bTySJZx,"Les Nouvelles Musiques De Chambre, Vol. 2",5VlLifnJgYuy1IpOF11A2N,34,https://p.scdn.co/mp3-preview/23029985a238683b0588401ac0e4b49c0fcf94ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Oh Badu,5ielVeSFmgdmJeGex9J4lf,less.people,0QmdasntOdQpEwRd40wyp3,self reflection,1J9M3bgYSuSjy8d779gNuG,42,https://p.scdn.co/mp3-preview/91599e6b7ea01db198b859973099c18f8df58f9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Tumble's Lullaby,1gOdqsAxMgkhIOM8LkuHXj,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,50,https://p.scdn.co/mp3-preview/b326fbbb10f99ec181a1a682e37140c625d57c46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Late Again,19RK6Ik6fMtgpoUvXs2jTM,Middle School,6AjXxPL8C44rc1yJdi6RZB,The Finish Line,5e5ZeUKvE0Iuqvw6XPa0Le,39,https://p.scdn.co/mp3-preview/37752f9060338365486fd0d15ab3dd8d6cf6ed00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Blankets,4DGiUmBsOWLAM9P7ZNP9H8,Aso,45Ui3GdcxzbdJhhTtZLXO8,Home,4l845so4pIo4GbjPArqmjb,46,https://p.scdn.co/mp3-preview/9bbca104806c34a130f3b5beeb1dad63ad3fcdfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Onteora Lake,6u75w721lUNNuXcV9ywpD1,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,51,https://p.scdn.co/mp3-preview/2cdd195df9aa9e9e569507018f6fe17825dc0745?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Atoms,0aeZHxDchdwx3oRf0jMvxy,Andrew Stephen,0WV5PCjDIgKRginwqx99NT,In Your Atmosphere,1x3QHnxHi289vnwAChN4T7,26,https://p.scdn.co/mp3-preview/23767da9cbdf2a36f52cc411768e018c5796974e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,meadow,0GfirXtoxdsOeudxrY2mkh,mommy,0DJoMHFNyxWdoGqi8XMdfk,Inaudible,6mOgPOHFf2JTZBqpIxBMBd,37,https://p.scdn.co/mp3-preview/c58b362aea9eef1992cfe0f394987af6a3657b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Toska,00u9iftsPBHkKEB8SZUk8s,Amparo,55FRGLGEoc58o9fNM6gEdf,Dark Sky City,1n30D8qOtqf6IimgHXz8wF,27,https://p.scdn.co/mp3-preview/23a4aa5ee1af0fed7492ad2cc1e1a08dad9963e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Valentines Without You (Again),5T1zCW7au6gFUyflxdITew,Middle School,6AjXxPL8C44rc1yJdi6RZB,Valentines Without You (Again),4rilk6Uxw6HeteXFw0Ixce,31,https://p.scdn.co/mp3-preview/df04121d989d34a65f13e91abc6af2ec35158299?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Atone,7IrYhqUSY3Jyh6TZtYv6Nm,Late Era,6SRj6cRWRVlDvFB0gHHVkN,Atone,27iqUKpD4bTHBXiSdszAac,36,https://p.scdn.co/mp3-preview/e11e5c2fe0baab47238a911c3b949e5195bb6dd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
