Sub Pop: Sink With Seattle,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,146,subpoprecords
1,Wait For The Fade,6aLa5Cu8NTu3WL1DD2jnlN,Seaweed,4jzHHEC3qk1j4hnIWPUnsu,Four,5GFkxEk3O1X6QZnhVISTx3,0,not available
2,Dead Man Rise,4pCNBuQr6D85tIhw3Q9lVK,The Walkabouts,08w6KQXL60XUftg3Ds3177,Dead Man Rise,3302RGyPAzVK0Y731glsCJ,0,not available
3,"Let Your Earth Quake, Baby",0wfQDfEWFJvBiDLUxOZUmN,The Thermals,4qAJ54O4V0W8SQcSz0bl1C,Fuckin A,0D8561OU5RthKOqzMwAdY1,0,not available
4,Trouble Under Water,6F9vCWRPS67OL4pJNKCix8,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,5,https://p.scdn.co/mp3-preview/92bd5cd64835d3ec9b6eff26db8e1b9c1ca89455?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Bury Our Friends,7jcQIiqLX2wJVHRitsXAS4,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,No Cities to Love,1l7gMbzE7RRAdYddJSfM5B,36,https://p.scdn.co/mp3-preview/6000ae1b72c8a03620256639c907dd24c12c2b17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,It Might Be Bad,6LBW9QBnluN76LJXEnkX53,The Go,2m0xdXsYglZKSzqVkZtFi8,Whatcha Doin',4Vc0EenPbIZSomOwe2GS6T,0,not available
7,Here's The Plan,0XYPZnGktE5SjPMjkjVMtK,Zumpano,3GKGaNwUBS31LcXuWWFEJU,Goin' Through Changes,5285FG9kUm2c6HC9wTRUEj,0,not available
8,No Grave But The Sea,3lhQRg8Xy3uNdhSmmO7a84,The Murder City Devils,0rIOnBirvFkIILkTCGc7N0,In Name And Blood,5tuEDkwb9PevMKbjZNvELl,0,not available
9,The City Is Dead,7ByCVA3ZyoSu9zVDr4Z2K9,Obits,7nr5WIJhnF5hR77kS98avs,Let Me Dream if I Want To,4Xy67Y7wIMQXtEZm8Oaq4g,0,not available
10,Aftermath,2T5kFPoDY176lUsByweEge,Love As Laughter,6BEYUtnU8Bvtp7afs5Phpm,Destination 2000,5FyrDWH6DOoUBHtpoHfaua,0,not available
11,Monsoon - Remastered,17qNGYXhNDwzz06VF2vmXd,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,Bakesale: Deluxe Edition,70XjdLKH7HHsFVWoQipP0T,0,not available
12,The Great Depression,0fclVDQMUhnUPJ2TuPmkGM,Six Finger Satellite,2YtMRsnq57aXEt7mmgKIbS,Paranormalized,5QreXGJq9hMKT1suuFjiCv,0,not available
13,Eating the Universe,745Mp34sg2rRSGYzAxrgEy,Condominium,3KWqTwahiztzlT99bOgUJH,Carl,7IajKShVOQ056tlAjzFEEF,0,not available
14,Damage,7fEwp4g8IEJwyBumj3gpa2,Handsome Furs,022mO8Zbj0IPDhn3bD3Ukm,Sound Kapital,3iAhgPaqgnKT1Zw9Nueriz,0,not available
15,Bled to Death,62GnBmEOsiLg73kYF228qh,Daughn Gibson,2Pm0VNnBPhl9Ew0f6JKcFh,Carnation,2JOZJgfPpWmOkt8gLo4DY8,7,https://p.scdn.co/mp3-preview/a86b3955fdd9310877d6d07c630cf402cfe4c4bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,We Will Become Silhouettes,7B5wyCXC42TGm9EH52PG5A,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,We Will Become Silhouettes,36JQYKG9VBNxF9GnSDNelC,0,not available
17,Used to Be,4RnGrqfEnbcTbtiCWdjDYv,Beach House,56ZTgzPBDge0OvCGgMO3OY,Teen Dream,5eQiIOG8XyHdfhUUhmm4hD,0,not available
18,All Over Now,7tEBPHoa8MoJ9Gryq49xvt,Washed Out,5juOkIIy18sFw9L30syt1Z,Paracosm,1NTLKANenV7OuwDi37QUhQ,0,not available
19,The Sun Surrounds Me,2I4dGL5JPoTrB7zWmtP6sl,Beachwood Sparks,07tmbQsiTfXekPkbovBERR,Once We Were Trees,4cTUOPN3ViX7AZKenGU1fd,0,not available
20,The Man Who Dreaded Sundown,0d4a6jT3hZWSVeDV4Xlrf3,Frausdots,1ahNV73BsbGYzUUVCVDvos,"Couture, Couture, Couture",6wAZDElqaUvM3Lt4pJLXsQ,0,not available
21,R.I.P. Burn Face,7oQ59BQKhgu5H3f8CrYBCO,CocoRosie,05fo024EFotg9songSENOZ,Grey Oceans,2LkWCudHVRF64Kd1rVbx8D,0,not available
22,Theme To An Endless Bummer,0UnnyeoiPb5okk2ZevnFJJ,Chappaquiddick Skyline,1M7LzCFWQ3rTLiUsD6qSST,Chappaquiddick Skyline,3e346Lo1g6nBJ7OaioPAcQ,0,not available
23,The Funeral,4o0NjemqhmsYLIMwlcosvW,Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,Everything All The Time,5uMfshtC2Jwqui0NUyUYIL,16,not available
24,Below The Hurricane,5ujO9RxDeS0cVowLPXZUeS,Blitzen Trapper,72XY3HrDdFfZXNZFCT9Zh1,Destroyer of the Void,4hknnuGfYsfFxAc88bpjll,0,not available
25,Shipwreck,4XKtL3sPLkFurKmzOvZEQW,Tiny Vipers,4kgIlus6ToyP9mUHoIvLtc,Hands Across The Void,1LtF68P44DsZQFFHBk9ryV,0,not available
26,Tidal Wave,10t7lexKnSz2bhOikzWpIk,Husky,47nuMLurQsLP1gLK7gJtis,Forever So,2X77q4hPPTqSk4XiU10Y8c,0,not available
27,Cinders,5jD0o1qT1xDLHn7xPktwBO,Holopaw,2LQMERAetFUczButdvcsb5,Holopaw,2RaLBa5Gwnk8bZY4LLRAAD,0,not available
28,Fire/Fear,6vcWk9Y8QYa3eH2FmdgO8i,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Let's Be Still,1SUZhiJWtX4NKS0KChC0vf,43,https://p.scdn.co/mp3-preview/bf4024350a392d90b568e683ae75eaacab3458d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Parasites,154Lhhdm3Gwvy5vCzLNQrD,Ugly Casanova,6LAwiATl5lQ3Uwh3llJpJI,Sharpen Your Teeth,7E2jnsdsC2fcA5470WEZpa,0,not available
30,Tornado,1mqH7Jk1UY0djuZ9DnKrgD,Damien Jurado,79JJCxCCfJ8HufX6w8q2k4,Rehearsals for Departure,0PnPhTyPb0mkkOyEc9TtbL,0,not available
31,Traffic,7cUR7QHKJjMqmu8HObEV0r,Chad VanGaalen,597yzFFRvWnxCtDInHwciZ,Infiniheart,5WEsPb1WqunDSfALMPrEAo,0,not available
32,Hurricane,0EesA8qIu8z8VFiQrcaLqX,Elevator To Hell,6rUm2kYq611iNuagjnhMxs,Eerieconsiliation,7BWedv7gdYFt8CnSsWTBYE,0,not available
33,Hit The Decks,2LXyWfzzQepWBrBIxIXHLU,5ive Style,6hQXeK9vIfU31u72NdFZ7Q,Miniature Portraits,3yFubnuSYrUrnpazAF5dIt,0,not available
34,Are You Okay?,3g9ho2H0UVjAQ8x2x7CDRp,Dum Dum Girls,65ewrL6LvcNGMMRVlksNGS,Too True,2ntrA9zaxFlkTsQ7228LnV,21,https://p.scdn.co/mp3-preview/f2ad4cca19f0d346f60397ad1a527a0345834407?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Heaven And Hurricane,2WKv32xZ2XQ63prx67Fq34,The Makers,4nRXKDoWJ0J7xnYcFf6frY,Strangest Parade,6AU3kNHZQmS7G0g5o67BHf,0,not available
36,Burning,6jwa4Wj45PnGfOHRlRmqrb,The Baptist Generals,1tKdSeGO9UcaJ1n6rnjCbt,No Silver/No Gold,6yQ8Yc8tQtzKnkX2PR8ME7,0,not available
37,Fall Down 7,7m4wK41RjAfvilxwalY6H8,All Night Radio,1UaZJDSz6JmzQHoH6hpWjp,Spirit Stereo Frequency,6UqCzVjGEma41w8O2iLYa4,0,not available
38,Nothing Remains,6nfiUCLpvjy9ck1sEhiWwc,Male Bonding,5uBih1nfHdYIQPvNvQAV6C,Nothing Hurts,3V5dnaiabt3HjBCULXUZ94,0,not available
39,Pain,2p206BmrGaijqYW1iM7k0k,Deaf Wish,6TDNRppZUK7nDRS7vOc9OW,Pain,0QWunNX2pONLKGbJQHU3lj,2,https://p.scdn.co/mp3-preview/d9db7fbf4500160501938aadca2e877f9a2f1295?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,White Traffic,5wNJXZ5xCi4ZtTl2qbp2gJ,Vue,4Q6J9Plvf7YfQVI4bwllO0,Vue,57gcLBAjLdHyXWFfr5Jurx,0,not available
41,Underground,0nB5pJu9QcWcB0C3gWCmXs,The Black Halos,5hUckvxtUKCODb4zgGcAXL,The Violent Years,73dScAnsOzL0bt71YKl47Q,0,not available
42,Save Us S.O.S.,1FugbcL2inR1lguZ3mEeFO,Hot Hot Heat,5UVftEhSsIg0kkXlmfhB6M,Make Up The Breakdown,6xmjx0G7hJ3r2erSAON4cu,0,not available
43,No Natural Law,6H5dERusGr1iLhFGprxZtg,The Catheters,0fNKzjYW26hwwFSwd29kMr,No Natural Law,7Gff507hS646Q8ZmQ1yGEh,0,not available
44,Tales Of Terror,2vyd6b57mJuGmTslnSY8Ti,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,The Lucky Ones,5QBX3VZfjKbmi0De4cEf0E,0,not available
45,we've gotta get out of this place,75JiAKlY0lHu6W5sMgzru6,Feedtime,0bDQkfMxAOZEVSdKVTeEMT,the Aberrant years,6Ytr5U10gYd1Lgf3l5Dggv,0,not available
46,Cave-in,7GMBCeKZk95vzC1mNcNIJe,Codeine,60CBjmRpwr02JwAd3Ho25U,Frigid Stars,2rRveyqKJk5Y8mCU4Pk0Kz,0,not available
47,Stay At Home,2ZQjazhR8i0c2ENZzLPfSm,Fastbacks,2mlDM1k4J5XijZKXALxhDT,New Mansions In Sound,0Z2lLMbmBu8ilt86Rvo1dt,0,not available
48,What A Day,1WYF8cZVdw4vKAajWfhweW,The Hardship Post,6CIcadshics5cHK1pJ7YPu,Somebody Spoke,51Gzuu2v4xlTsUdUBWQnxM,0,not available
49,Last Man Alive,5S937u0thG0K9hjjTbfnF0,The Grifters,0vHzA6JKfNQgl2M9AWD0G0,Ain't My Lookout,6mKCTd17HA2LxCJghazKi3,0,not available
50,Cracked,3YAyV3dRsHy89LyJfCditG,Happy Birthday,2kDouvzF30b6ZwUUFOLbrF,Happy Birthday,7cxzVrmIR66qpVzezRX5uZ,0,not available
51,Sour Smoke,0NycJApabOdEq15VT1gGUH,Comets On Fire,369NbOi6NH1ThhB3gxFwqh,Avatar,5GPLZnkCAxv5of4SnqJhDS,0,not available
52,Death Train,7A0x0hzYjgF8dYaQWroRzM,A Frames,1wcu8z5WcFtWop2dclDKJS,Black Forest,1NWJOHmfoEZUdcyzfgPRe7,0,not available
53,Buried,35NKMOL4DrEb1fG2YD9Jhg,10 Minute Warning,3eOWn0gtDZSHnybaXsIKJg,10 Minute Warning,33hpKCECLlu79Wq3INE9jd,0,not available
54,Landfill,5AfKBsevNAvFOSC9GGhS1j,Metz,18TNVFTJ6WfeicsMRrdJHI,II,2gQVmnX2Pvgia1Rj0iYGJR,18,https://p.scdn.co/mp3-preview/91b3af3032e0aa83e68f188752c123d752c5b944?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Terrible,3uoSrlOAVtm6aCOknqOe3I,Strange Wilds,529iCHdiqFuKYZPjXmimkh,Subjective Concepts,2SKrukunwxchb3gWGXVGSN,1,https://p.scdn.co/mp3-preview/eecdc11d766254f85b6c4b02f8c26c954f7ab014?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Inferno,7qYqJZxBjc3DgPMBhCW4x6,Zen Guerrilla,1DXSOh1Ej7spg9XCFUt3nU,Shadows On The Sun,7dhJro4VXOeGrE5GoG7hQr,0,not available
57,Your Lights Are (Out Or) Burning Badly,24WHukEBXN38UWnqdZnuVa,Kinski,4WGpFPOeW71MpVHKJurgrj,Airs Above Your Station,17ibLM9PJNXEUpSP7V8vEM,0,not available
58,Death Climb,3PW17UOteas8ci3zZUwO1Q,His Electro Blue Voice,0fjgTN0XM22oyZi9wWzT6P,Ruthless Sperm,5U6jGqftRHNTldAdOv1qsW,1,https://p.scdn.co/mp3-preview/e1d94f0b0e107ee7516585fc7d254714fdc7adfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,In The Air Tonight,1x59FUiyKpF2xZwlzBpdMG,Godheadsilo,19U1TljX5HGtzVlI1JljwV,Share The Fantasy,4Ux82aBleH8hmqzG194FWO,0,not available
60,Instant Gravitation,4hUl3PdK8X8xPbagSMoUcf,Nebula,3fe36ZJP5Og68Ji1VUMLgE,Charged,64MnVT0m8w7SxqSSduvMdA,0,not available
61,Dereconstructed,0TGdegNzUj6FAVQ2RO0rWN,Lee Bains III & The Glory Fires,1oTNCl6SRphYGb9NQ0toVE,Dereconstructed,3rJkLSue9WOCtQCyD58DTa,10,https://p.scdn.co/mp3-preview/dad01ff2a56700cf4ca723ce7ce64b8a0a1a8480?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Helpless,3QPYTw8UGfVZVpoW3k13MF,Thornetta Davis,02HWgoL7gYSPcVlNjrJWRb,Sunday Morning Music,7ig8uxZ0hx1UOfBfXaYa4L,0,not available
63,Deathwish,6SplmBBvVh3DbU0fmgKtrP,L7,2zMQOJ4Cyl4BYbw6WqaO3h,Smell The Magic,0qKpJwcPXY7lQOPBbwUnT7,0,not available
64,Ringing In My Ears,114Xk7lZF0AF3RWN4o7z1t,Hazel,2UJocJ75xCjUNbBYsetuxz,Are You Going To Eat That,7mmjUbtO9ZxpZomQxlmIdK,0,not available
65,How to Play Dead,0CoD0LELDA5CVwBuPiNjn3,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,21,https://p.scdn.co/mp3-preview/c1f9ee3ac12434840eb20704211b4f3b26ea6395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Becomes Dark Blue,4cozCrqr6orNLC5CTwEEHz,Eric Matthews,0nB3pjuIbbeEA3Gzg0F8Hw,The Lateness Of The Hour,4zyVuB5bC0Y12JkxMXB8VD,0,not available
67,Exploded View,5ijDkHZfNN1bJN2zncg7t5,Death Vessel,0CTeeoO6hwJmvuYgoTSH9x,Nothing Is Precious Enough for Us,46AaUJ3gKppbUdAcqhCFZG,0,not available
