Sub Pop: Songs from the TV,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,147,subpoprecords
1,Rose-Colored Sky,31NJCNLUKQLthrQxvFMrup,Tacocat,3h0MN1neFknEvlYKxFmSQW,This Mess Is a Place,7l3uVSD4WCT8pBvrAMlxnB,25,https://p.scdn.co/mp3-preview/f8f3d93b6e1cbe16ea9177c0b1cba13841090826?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Problem,7vh4EhsXXuMS0ZWrFxEumi,Tacocat,3h0MN1neFknEvlYKxFmSQW,This Mess Is a Place,7l3uVSD4WCT8pBvrAMlxnB,24,https://p.scdn.co/mp3-preview/9cf05b212be4aa70e20305f805f85141797655f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Being Alive,06DKY11W4hwVGrIuee8LHy,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Vessel,4hJOMXjaw7mYC0vbWAqbe7,36,https://p.scdn.co/mp3-preview/5e1705997b61fe83f1736f2d741f969b74482bc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sunlight,6XpJw6mIuTQ7tPYTvjYyVX,Yuno,36BjLtXEXIifbRrfc1Rtqa,Sunlight,73G6WLLpF5yejKrJCYwidT,58,https://p.scdn.co/mp3-preview/206291c9c507eb3288f5e924bee90a92025f10c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dancing and Blood,2Zm6KDgIYpaKPOG267OBFv,Low,0wz0jO9anccPzH04N7FLBH,Double Negative,1zTkgOHx3mjrUvrhxq4osf,43,https://p.scdn.co/mp3-preview/79cb8abc0609291d800395fa26311ad8323555a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Freckled Girl,4ZhNhzSFZ8wf80Y49C18Ba,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Archive Series Volume No. 1,7oEWciAL7LI4uFVNx0dHv8,29,https://p.scdn.co/mp3-preview/c9beb5d0a898d7033346bfcb1ae38c3f1b5bd6fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Woo,6kvJuHxn3BrRhFxLrBEt8c,Beach House,56ZTgzPBDge0OvCGgMO3OY,7,4qftBBO7pnYlek3mRENIvM,48,https://p.scdn.co/mp3-preview/0503afd68074a8eb93c6cdbd61e50d1a9b5222c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,We're Only People (And There's Not Much Anyone Can Do About That),4NZKrRtmwLUAI4jw8NYACR,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,God's Favorite Customer,0hMPUtgjezv7gUsmhztvPv,40,https://p.scdn.co/mp3-preview/8e16edc64f8abf2ec77890d4b75a4e20e7a6c3c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Lost in My Mind,77hI6DJ12C9WohWk8XUhto,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,4sRUr5XaJYlc17t4jUrqYB,68,https://p.scdn.co/mp3-preview/85d22b4d6f027bffda37cec111b8f2f8bfc87ca8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Black Willow,3zXcrHaPNOoSm3gqpvpiU0,Loma,4oCcCzMjKNCjQTzxtVlOJT,Loma,1yXlpa0dqoQCfucRNUpb8N,38,https://p.scdn.co/mp3-preview/1af25b8b8f50062646bb81501f95f49c9804a6c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The Trip,3TIkuJp4rqDnQgpNkkpxLr,Still Corners,4zKYrXs8iN4AeHmO8ZxNqp,Strange Pleasures,42k3UWtcezID35ZiVc9LZB,61,https://p.scdn.co/mp3-preview/c35c36abc2d837a0a7d1885b32834bcd5f7e1ff9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Let's Reggae All Night,4BUH733nga0Sk5gXQxPHG3,CSS,2K13AVg3bFpHSxDM1vJ0qA,Donkey,4lqBwEPSbDIRzeyEalP0NF,22,https://p.scdn.co/mp3-preview/17f520356f5305c4f8b8241a6e31a8c6f7f9710b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
