Sub Pop: The Grunge Years,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
40,Flower,44OxoDksTnkbNXW9OxiHgg,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Ultramega OK (Expanded Reissue),5ZenjDvGoaKRK8xGmBXnVx,42,https://p.scdn.co/mp3-preview/51cc7285f988e81c693e81c40e092bf887b3b89d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Card Tricks,1GXP7b3lw0vnNVywUyrby5,Seaweed,4jzHHEC3qk1j4hnIWPUnsu,Four,5GFkxEk3O1X6QZnhVISTx3,0,not available
42,Head Of Ringo,00U0cUN7yJNMbagOHR9kJf,Love Battery,43wwctvUaVOoEHEijQ8NpF,Far Gone,3EWmxJmRfHefrzA4hgZZRv,0,not available
43,Rehab Doll - Reciprocal 8-track,5aYSSoMy5m9UCWjSEPnK7L,Green River,1XIIxzmo6BNRR4QkImSdsX,Rehab Doll (Deluxe Edition),28xc1gJKIbOf2XMCVPw2Ri,3,https://p.scdn.co/mp3-preview/b80bf8a4ae82dc9ff664f250b51b25c9f52bebb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,I'm Blown,0NF2LdWi6f5bgoXOy3kEEm,The Monkeywrench,2l0m5zZDDup4TwDKwktCfk,Clean As A Broke-Dick Dog,6PezjRZkHEgQTsVwlw1NtY,0,not available
45,Creel,6of3ZIuIfNVy7ZhdYMT2TZ,Rein Sanction,3wFHDXSHYQyd5KajSQoYFl,Broc's Cabin,1dSTuGdHzWOqnGTki3lwMR,0,not available
46,Stumblin' Man,0bOZ2oQQB1p09piDSS8ThO,Tad,2mncWLPUUFpNvBLkHzTsDO,8-Way Santa,44QRZdPpESkbS3gkqe6HH7,0,not available
47,This Town,2uJWY9KTAYow5ob9DWl56u,Green River,1XIIxzmo6BNRR4QkImSdsX,Dry as a Bone/Rehab Doll,5Ut9vcnRWX1Dkf44uz9ZPR,0,not available
48,The Farther I Go,1Fnq3Kf6agFUomsULdB3tX,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Mudhoney,1qV0OJfR0dN11kSQ3bDd0P,0,not available
49,Before I Crawl,1Da12hmGPlFfTTJ0OtHHUN,Love Battery,43wwctvUaVOoEHEijQ8NpF,Between The Eyes,7gB0ruzJsttD7HAUPck9J9,7,https://p.scdn.co/mp3-preview/953cd7c16b44bedc1923ff541c35ee99fe3261aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Johnny Thunders,1Ob4GOlhHX3kMkC1aejgJl,The Murder City Devils,0rIOnBirvFkIILkTCGc7N0,"Empty Bottles, Broken Hearts",5WYbCq5eWMvMt5dvHuGqv6,18,https://p.scdn.co/mp3-preview/a8d6e27e217b1658b211cf3d1ddd62c504a5559c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Dig It a Hole,2EE7D9owP6fdM0hq8EmjSH,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,5,https://p.scdn.co/mp3-preview/a51e4a70b2f1b326d177f2c11a2b8adb682dfe86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Call My Body Home,14xY3NCYgguwLDGtlC9GxJ,The Monkeywrench,2l0m5zZDDup4TwDKwktCfk,Clean As A Broke-Dick Dog,2Q3dHJ4uZi5L36XPrvsNmr,5,https://p.scdn.co/mp3-preview/d7b593c952573c118cfe39fdb67218710b96b5f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
