Massive Dance Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,744428,spotify_uk_
1,The Bomb! (These Sounds Fall Into My Mind),3tlRGvVZWleW4ZNncqVNI9,Kenny Dope,1TrfxjXu8quyDw05p2bacX,Henry Street Bombs Vol. 1,3dxRJsfpIffdjqBv9qDeQs,45,not available
2,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,4zrl5YGi2OqMar45Kdn4BM,LMC,69QKcDt724e93ZYkBSjsYP,Take Me To The Clouds Above (LMC Vs. U2 / Remixes),2jOxjU5Mw0eIKQIFohnghC,59,not available
3,Insomnia - Radio Edit,6U3HZMe2yvvpRIopB6VqKj,Faithless,5T4UKHhr4HGIC0VzdZQtAE,NOW That's What I Call Halloween,5VrwOjffAYldRUVKZwC9DT,40,https://p.scdn.co/mp3-preview/f7568844a765eb2b5d91cae28f56ce982e28dac4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Freed from Desire,5n56ImOTTDbUORTq3Eyong,Gala,3OqTvcWgb0xaainosGVvuZ,Come into My Life (10th Anniversary),4EMKH4lI4pyUYxCsPl4cag,13,not available
5,Pretty Green Eyes - Radio Edit,71NJqORRmwlcZSLk0VsFjU,Ultrabeat,596ByjVYnslGJIHxEBGjF8,Pretty Green Eyes (Remixes),58OdGlUwUexxHJP8lp6QWk,60,not available
6,Set You Free - Edit,6EKMwaNzxKVwkX4BD8t2ds,N-Trance,45InkbGypoMk5nVX6dsHkt,100% Clubland,7FQQSKTRD2nMIuO5WQmHaM,51,not available
7,Dreamer - Janice Robinson Vocal,6wetvpPWooBdmAEOKnDhpo,Livin' Joy,3PUzVXdNnsJGPDTIU7xvqu,Don’t Stop Movin’,78Iw3pQjjmhlZ9JqJsFl71,60,not available
8,Lola's Theme,5mAh5J4w6BEZkajB1M7XrB,The Shapeshifters,60FV7KyxIH9FH1uq7u8inP,Lola's Theme,0thmU9CS6evNvZSso54yCU,65,not available
9,Heartbroken - Edit,3dhzZ068rKh2fRB2uitX18,T2,4Q5MS10mWfrDyiXVeAAzVd,Heartbroken,64swz2DD6MbqPA2hXTvdru,10,not available
10,Turn Around - Radio Edit,2nx86MrPkXWQctveAEFJBf,Phats & Small,4WLGcWrkSExCqILxDk7ol6,Turn Around - Single,0ekbBXoxN1AsU6dMJxpyzJ,62,https://p.scdn.co/mp3-preview/14a1d0bf9689282133308cf4caffcd1792d94af6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Another Chance - Radio Edit,0EvphKjVl4hVGvvAFYoJt1,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Dance Floor Anthems,7yhnBLWv6EZ5BRY8oYLdYC,59,https://p.scdn.co/mp3-preview/e4fe82db9241ef04a792bd58e20f853d9403df01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Flowers - Sunship Radio Edit,1IqANTbvKLojRoomq685LA,Sweet Female Attitude,1054JdBVMCPm9VpvkUcOYX,Flowers,4EBj7OhtgpRZspPD3RHczW,63,not available
13,You're a Superstar - Radio Edit,0o1CpOzg6GA7L1PRnocChr,Love Inc.,3l92Uh3rqMSv8blPDWNTZx,Party Hits: Summer Edition,7A19ynZIohLCG6dr9k44rJ,54,https://p.scdn.co/mp3-preview/4029794c32702ff8afa76187285cef87f31cbbfd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Stereo Love - UK Radio Edit,6TyXieyAu2z51H6VMPKRI4,Edward Maya,6XwwFnewNgWp81MYMK8zLq,Stereo Love,1g9MChpxVdgoyA7kMbcnfj,60,not available
15,"The Key, The Secret",0Lg4ckCFjFUeyHOeSozcWS,Urban Cookie Collective,1QYMj6ouUhi6yis1HE8M68,The Very Best Of,6IjQa4ZCnkSa9cnUvA3yJG,61,https://p.scdn.co/mp3-preview/09cfd730edf4c6adb5b1479ede70dfc1f4edfe56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,"U Sure Do (Strike 7"" Mix)",5TdsylMARn0PxbHqrmmJoS,Strike,3CEF3A8IybbJcwFSUVtAYM,U Sure Do,0HQRkjjnVRigdAVc2ofnFq,57,https://p.scdn.co/mp3-preview/dbeee41973b7ebf3ce31cc7187fbe0dcf2cffc00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Holiday,69lthMmNtlYX3woh9LK3yx,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,Tongue N' Cheek (Dirtee Deluxe Edition),3D8oReEDS5wROmx2DbxX0z,9,not available
18,PATT (Party All the Time) - Radio Edit,3P2P211tPY22vwXP9Pg8p1,Sharam,7rVEQZBDtYmToQaYOQJCm2,PATT (Party All The Time) [Remixes],2oIkkjM919tRXhfXPvBxJu,36,not available
19,Tocas Miracle,08zdy4lrvZ1s6OBcpd0gBN,Miami DJ Collective,4X7dzCzqTd2brov4vp8IIn,Shape Up & Dance,5FNwt5F0v8ECukNoRl7tpb,50,https://p.scdn.co/mp3-preview/6769a8006b8f9f9dfc789976f61f6d18d4638b55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Don't Stop Movin',3TmqmhL0sAcsQjF9EjpjXg,Livin' Joy,3PUzVXdNnsJGPDTIU7xvqu,Floorfillers Anthems,2Xm7xpWVotIW3nOI7PNvhm,3,not available
21,Let Me Be Your Fantasy - Radio Edit,6Kj5J5oNZymOJl0eBTh5W3,Baby D,33ZOI0WTjYkLh5WuwucLhc,Let Me Be Your Fantasy EP,7tGw0gXS1zYLjuL2wVcsWo,5,not available
22,David Morales - Needin U - Radio Edit,4lgDZcisljVlutaku19eqV,David Morales,6CwQfN34JdGHfo0A752Lts,Needin' U (Radio Edit),6ROOnXW9kJNHnSzaRuiXnW,48,https://p.scdn.co/mp3-preview/d0c3f546a2067f8073cb5d15719d45f0e6367c13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,My My My,653rxW1E7V52QWh6a7oIdS,Armand Van Helden,3cQA9WH8liZfeja1DxcDYE,Nympho,2JIkl78IhsQCuyoEGc7COH,55,https://p.scdn.co/mp3-preview/db7acc08638637d9760afb5401b3181057b3db18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,I Luv U Baby - Radio mix,6J3LHclKrdg1zLArH3kmF4,The Original,2IwjkUrnzXsfgXkvUtZYKH,I Luv U Baby,7LgsDPzNTZGIxAOlzwscrR,55,https://p.scdn.co/mp3-preview/4d744710669bed74f80dc042ae64037c7c2d6fe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Get Shaky,4acrpgt0ru7p8QWxyvYFtZ,Ian Carey Project,5PbZIYWcDuRgEbMs7abSTH,Floorfillers 2010,26o8hBuWD7sUdhCOkZcWqk,54,not available
26,Fly On The Wings Of Love (XTM & DJ Chucky Presents Annia) [Club Mix Radio Edit],07V8WFArYiW6wuBO4rZbaw,XTM,4zD1wnIvCIplhiQPvF1c0z,100% Clubland,7FQQSKTRD2nMIuO5WQmHaM,54,not available
27,Kickstarts,07WEDHF2YwVgYuBugi2ECO,Example,6Vh6UDWfu9PUSXSzAaB3CW,Won't Go Quietly,4bwbOwRKR8I4eFPcL4UPuU,63,https://p.scdn.co/mp3-preview/a36f9fcc0a7102965a8ebd48f856a2d99296d1ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Movin Too Fast (radio mix),0BYskg260zz9uxuQX6CD4V,Romina Johnson,1NmCD7ZZqEs7Dfp6fSZkZ0,Movin Too Fast,1i5V8efHO7a9SE8YRWh5OF,51,https://p.scdn.co/mp3-preview/15bfe9e2578e03224b07b81e0756b47b03593688?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Dance Wiv Me - Radio Edit,6pTg4H8juKV9iSzrcVUbM3,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,Tongue N' Cheek (Dirtee Deluxe Edition),0tbxVYstYiHpBwA7qYL1hC,67,not available
30,Make A Move On Me,1bRi61JqeHPUDhuftFeK9D,Joey Negro,5cWh5zsmOIFhuPL0Ay1e7f,The Many Faces of Joey Negro Vol.1,6eEreIF7TAIsZGlNCDR7h9,54,https://p.scdn.co/mp3-preview/3bdda5c9a6751c5b72f5b85afc3ea7a5a6047dd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Your Body - UK Radio Edit,5eDQwsl2p2QivtXhmyM2rX,Tom Novy,1EVpn7mXyF07LuJqgUk6RX,Your Body,1WTKrNZc9aGpX38YJjn6pA,7,not available
32,Gold Dust - Shy FX Re-Edit,61gnmKsVhB4TuSJWZzjI3N,DJ Fresh,6r20qOqY7qDWI0PPTxVMlC,Gold Dust (Shy FX Re-Edit),2y7ahWV2mpl2le5QboUG2k,61,https://p.scdn.co/mp3-preview/5792566962627c012428015ec86fac0c837b0417?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Two Can Play That Game - Radio Edit,1gsnWXeNlbfoHpaGRi4oQ0,Bobby Brown,62sPt3fswraiEPnKQpAbdE,Two Can Play That Game,1K62bZaGNA1eNoR2pNu585,57,not available
34,Show Me Love - Radio Edit,7xL1F0tk9Xz8bMJoJcZyaV,Steve Angello,4FqPRilb0Ja0TKG3RS3y4s,Show Me Love,1kvnktiEZMKlCpkJ3VFe0w,7,not available
35,Fade (feat. Kimblee) - Grant Nelson Big Room Remix,2MrqsdUMUzC3a02oQUbkpQ,Solu Music,0lpwsK5bX64iD7GjEda5De,Fade (feat. Kimblee),6BCPilvXMiQhjS9zoKRx2W,45,https://p.scdn.co/mp3-preview/3bd5174e51b04ee09e9fe1f7daa7c970694017d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Coma Cat,48gv7cE3Fs4DNNSgWkbu1f,Tensnake,75nC6MXUalYZSOd7OfNkwq,Coma Cat,6nw5kO6PPxOI2RzuNX7Bya,50,https://p.scdn.co/mp3-preview/5671841baf6b284cd1da1f37886e4253c7136f2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Make Luv - Live,3UZK9yD18Mtzb6MgYBmuLW,Room 5,0AEbDFXbsssoSoC3pj91eq,Music & You,6jLeSCEqT7sAo0un1aOpSh,57,not available
