Chilled Reggae,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,207051,spotify_uk_
1,Lights Out,07kZfWFKcU7spoxuTEudtS,Estelle,43PndvQLktAiLXn1T3Q5Ln,Reggae Gold 2019,5cfZ5mWTwZwyzSSgDeiFN6,49,https://p.scdn.co/mp3-preview/78dc2f13462f6c274684b2c93927c92cc9ab4c4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Made To Fall In Love,2JKv3r2AUmWjrDFO3unlpq,Bitty McLean,2t3eEaWiT5weaCJIh6aRv2,Reggae Gold 2019,5cfZ5mWTwZwyzSSgDeiFN6,46,https://p.scdn.co/mp3-preview/873a7c5b61c96646cb1db1a38f062afe3f154562?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,To See,2sY6QwNrA9yWZRPW2WtHTq,Queen Ifrica,5SK75gxwqKq5Zc1mdLfwv9,Reggae Gold 2019,5cfZ5mWTwZwyzSSgDeiFN6,49,https://p.scdn.co/mp3-preview/a70dd380ada21f32b6afd8cbebf513272cbc67e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Holy Ground (feat. Buju Banton),4aYeO2glQUKMbHnuvlnceE,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Father Of Asahd,4vuV7xWL4TDaaO412nbhuK,14,not available
5,Show Love,7rBsbIiiDGljVGGPFUA9Pf,Collie Buddz,5Ayl2bJtN5mdCsxZoxs9n1,Show Love,5QwTeJdFzNX8QH0JWumhZu,30,not available
6,Love Overdue,0ClaCaTK8BdOSsP4FZbkio,Gyptian,2JX4h8xm0hNxCB0aNBWzyi,Love Overdue,4Gf8tEQ1cRQq9qnErm0TfA,49,https://p.scdn.co/mp3-preview/f07466a4afac503e57966a4e4a4ad2487d00802e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Straighter Roads,7gQloqODGAogRuqwjfdXcV,Julian Marley,7a4td2FhkuH58dApiBvnrv,As I Am,6xmVHLUAKoduiLAyQ7ZCjX,48,https://p.scdn.co/mp3-preview/9920c1262adbd1d08104c6bb96bbab8fda10d2fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Use Me,3KDk6mLLHSd1YiaLtnAQdt,Shaggy,5EvFsr3kj42KNv97ZEnqij,Use Me,592Zbs7JSgwspo1O7BU1K1,54,https://p.scdn.co/mp3-preview/d899acd63d1cbc7570db672b656f48b98384b916?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Rubble Rebel (Champion),0eocMORTMwuO5wKYWGGSS1,Walshy Fire,3yJLZoq3Ra2VmSW5teVgih,Walshy Fire & The Expanders Present Thanks For Life,46q2lXA0bm74ijORjFxTer,47,https://p.scdn.co/mp3-preview/ced17c2be05c89f0608137a6c7fd561e815f6773?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,My Kinda Girl,3ca9aWbM7H6j138sWF4fPG,Beres Hammond,2ruMkdO4e1tJWDHsYSEtxr,Never Ending,6pJrd3qBSNWEeidE1W0Ukd,53,https://p.scdn.co/mp3-preview/b066e7f521137924d83e01a05285cf65699e0e75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Everything Nice,66Ds6pBAZE0BxsjfxVbD4z,Popcaan,62DmErcU7dqZbJaDqwsqzR,Where We Come From,3KxV4BKuBa5MuoETwALcUc,6,not available
12,Three Little Birds,1P49MJhU5vzttesFxw3dOM,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,Exodus,5EoLQ6g8jZiZkMXvi66u9Y,28,not available
13,New Blessings,63foYg1Lz1djaWQizq7qjX,¡MAYDAY!,71WhWdsVNTLxsnfe8M3Peh,South Of 5th,5uuDX34CbxXIArcU4PW2c6,46,https://p.scdn.co/mp3-preview/5e528f0b21bd8bbec9ac89ef19f763b4d949659c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Heaven In Her Eyes,4xmfHsprYuv7zFaSAbdBfy,Gappy Ranks,4rkmaLySgI7sl9cKfJ3tT8,The Biggest Reggae One-Drop Anthems 2009,4LSrmKCSyFy5b5VschT8wF,6,not available
15,Waiting In Vain,54BA9VfKHAj61wOITNnw1W,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,Exodus (Deluxe Edition),3q8y9MBuOdOzwJb8QJfwBG,7,not available
16,Solid As A Rock,0QXWfOuW9Nlk1DHuriQ47d,Sizzla,72T7x96EAqN2UWvAgobYfv,Overstanding,5o3n0CijSmBbcNazD70WBv,53,https://p.scdn.co/mp3-preview/a2b309778046514fa345c01911069b34fe702a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Sticky,4smyzd6JsDctqs5Fy104LL,Jah Cure,1bSn5aMcE83TXLlLDU9rTy,The Universal Cure,2dqWoTG0zlhoy2iY4ZGaGf,46,https://p.scdn.co/mp3-preview/c90bc0fbf503025508e08ccaa3880a3a7576b788?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Good Enuff - Cash Flow Dub,3KERlPLZAOmKDzMaPZqpsc,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Guns Don't Kill People...Lazers Do,4ICw5ualRoQjCO8K61B6i7,41,https://p.scdn.co/mp3-preview/b8f4b5777e511be35b96f887d004f142f7b1ab3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Youth Dem Cold,4VoYv3ByzeEEIb8YEOT2rg,Richie Spice,3PqSrKPGZXefu4krgFCZSP,In The Streets To Africa,0scr0WIAfItBBbefIYqvuc,54,https://p.scdn.co/mp3-preview/347f6079048dfa2b6626b035060ec3dceb425e0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Foundation,10h9F7m8cUY6XGJzhvtZb2,Toddla T,3l1C23aRp4lfkBK3lLAp2m,Foreign Light,1EA4zDyAZSXFlxN5ffdOCx,43,https://p.scdn.co/mp3-preview/3c33b9119da78b8d93b0cec1cb5db2d76d237bd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Here Comes Trouble,5Wwr2S7QZTR5PVJn6jhgdk,Chronixx,2oZcMYiKpjaA2Et5mU3RPP,Dread & Terrible,4zYr71y5wIjnoizuJ4o6ZK,60,https://p.scdn.co/mp3-preview/4b28e44c555ba579c124e6c91e48936582cd3c10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Hail H.I.M.,1pVbmMQzdUF1qPYE2ZyoDg,Burning Spear,6qaKS0nzGP4hfjl4aFZmEU,Best Of The Fittest,2U1Mibfop24jnRldVdnkC6,46,https://p.scdn.co/mp3-preview/cdc76fcc697a96d7ca87f498af616e839a9de6a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,"Mount Zion Medley (ft. Capleton, Jah Cure, LMS, Ras Shiloh, Bushman)",1NaBa0dIa7Nb031z5dMPDD,Morgan Heritage,3VV18HyGcfLTqNjSjbROA1,Morgan Heritage Family & Friends Volume . 1,3IEBtojsY5zVjSX6zrFdmR,55,https://p.scdn.co/mp3-preview/fca1f5b1e107af02b7b265946f5f3e6743a624b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,World A Reggae (Out In The Street They Call It Murder),04Ciasj1DaKMxJgZ1a4yUG,Ini Kamoze,1VJspRsoC6c0bvqhnSiFCs,Debut,2FtxNPf8w33XO8hcjOk9Xd,5,not available
25,Longing For,4XvuRDrWteHQGLBOXbAkFZ,Jah Cure,1bSn5aMcE83TXLlLDU9rTy,True Reflections...A New Beginning,40BYBDHTNouG1hMQh1iDZn,55,https://p.scdn.co/mp3-preview/de3374560fcc428a6decdc77aaf93f5be436c94e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
