Room 2: Urban Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,345826,spotify_uk_
1,Flowers - Sunship Radio Edit,1IqANTbvKLojRoomq685LA,Sweet Female Attitude,1054JdBVMCPm9VpvkUcOYX,Flowers,4EBj7OhtgpRZspPD3RHczW,63,not available
2,What's It Gonna Be (feat. Platnum),2xUjNGHjJOBcpTf7dYx4EY,"H ""two"" O",2ev9Efr1n87BI5ZqZJ8SlW,What's It Gonna Be (feat. Platnum),3UJRf8qlSmPT6JXnd2y6oX,57,https://p.scdn.co/mp3-preview/707468eec9d3e8fdd0e061904a6a1cfeecacefc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Movin' Too Fast - Radio Edit,7cVZP5NpfJswuCO3kvX4zd,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT,Movin' Too Fast (Radio Edit) - Single,1NBPNsqopFq9YWIjQB8Uus,46,https://p.scdn.co/mp3-preview/85e9e8c40872fb8f367db4a7a466ce4207b699ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Babycakes,0dAn58pe2GWDTlqa2Th4mP,3 Of A Kind,0WG74hoaVTaNb3hx3yRqb1,Babycakes,4sW39hh7uYqe8zDg7ylPAW,58,not available
5,Do You Really Like It? - Radio Edit,4Mnw05kNd0j1XDHwtfzofp,DJ Pied Piper & The Masters Of Ceremonies,7KMddxPqjqv0fiucwg0c3D,Do You Really Like It? (Remixes),6Q29k7cHbnjX8ErN6B32GV,59,https://p.scdn.co/mp3-preview/9a643683f4e6cdfee5dae49de40ef85b97bbdca9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Miss Independent,5hyKiDwqUgI57ONsZcGh4z,Ne-Yo,21E3waRsmPlU7jZsS13rcj,Miss Independent (Int'l Maxi),42wDP1mH9tBhzCQWW5WTpp,2,not available
7,In The Morning (Let Your Love Come In) - Original Radio Edit,2M5BecF1hOqHevr4BDRi84,Egypt,4cyCAYJ2i7bt5aUogmGWNN,In The Morning (Let Your Love Come In),0MT0W3eXcBOsBxTRguRnEk,51,not available
8,"Teardrops (Flava 7"" Mix)",49hFJr1GCLuf0d7zeyyjIJ,Lovestation,3LRRdfXOYGIcwLviuwDIf1,Teardrops,6AJuYuamYUyOkn34HJ2kH6,49,https://p.scdn.co/mp3-preview/bbba3a53987ec92581eba72c2762e4869a2519b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Body Groove - Mix Mc Version,56UNoQz1kXeBZeqmQbFpYe,Architechs,4uq3HY9rto71MxVGVCZm8G,Body Groove,7EwbVzsV6cKL6ucpq6bcxO,57,not available
