Massive Dance Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1085069,spotify_uk_
1,Lose Control,7CHi4DtfK4heMlQaudCuHK,MEDUZA,0xRXCcSX89eobfrshSVdyu,Lose Control,1qSOaTvsCOyFJya3v1UzkP,63,not available
2,Turn Me On (feat. Vula),0qaWEvPkts34WF68r8Dzx9,Riton,7i9j813KFoSBMldGqlh2Z1,Turn Me On (feat. Vula),7mtnp7B5yFt3D3PAznGzc8,75,https://p.scdn.co/mp3-preview/63d5112b08ac694625f73e0ff40b1621a86e7b02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,91,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,81,not available
5,There For You,4Qv71lFPCObf7zol1uWCJb,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,There For You,6NzQodogOTKSt76iDpZgpK,71,not available
6,Pump It Up,0GiwV6v3AgJfdu59tj719Y,Endor,6F3vLfyutkUhpM50G84eMt,Pump It Up,3D8C4a5lYbpEu5bPQmOpJj,64,https://p.scdn.co/mp3-preview/8644bc59bd6cba7995a2a24590f15913e18e5454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Changing,56SkLjnwBXnAkHSf6jBPk3,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,Get To Know,1vlHG5JJCSsWBuA5vPTY7Q,61,not available
8,XTC,7CN6ZYIX338ekn7pb2CpQp,Solardo,0oO1IaDOBSeI96HbnCa5pZ,XTC,1WAa8GJB9nzUWjT0H5ZXCl,71,https://p.scdn.co/mp3-preview/3b60e63740e09c40f53e2fe8bf56d7d222b02c28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,This is Real,7qXRE8SYTVU74cUdBgFSvt,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Snacks (Supersize),33BFKADndu09rZdtTLl8Vw,49,https://p.scdn.co/mp3-preview/48c509c006f59577c5b45ded28f8e7e22b4274be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sorry,23Q3zB4aIt4vvGknhBSE7O,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,7sb2NIRjstX3Uimi4oCWMQ,35,not available
11,Click,2eWfI0Qxk9oFezaeZNTyJB,Example,6Vh6UDWfu9PUSXSzAaB3CW,Click,3zeB6s8ftsKjQZyD17oMJ3,61,https://p.scdn.co/mp3-preview/5a9ee23991dcbafd5f4c2d122748f84784d221ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
