The Roots of Americana,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,24844,spotify_uk_
1,The Ways Of A Woman In Love,4lqFccI7zPQCrIXiFmMXYm,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,Greatest Hits,2Qiklnv9t9GmuR4MxdQHRA,0,not available
2,Wildwood Flower,0nr7SuSNymfeyfe09ozVsu,A. P. Carter,3x1B1NQJKJTIVT18k7bKQ7,The Carter Family 1927 - 1934 Disc A,1wqOIP0VTdkRHp9fhKdyO9,19,https://p.scdn.co/mp3-preview/bb3726a4023b229f6e68e22329d749fb71f74368?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,My Heart Is Where The Mohawk Flows Tonight,6IhDTNvJq4XQLiuZpBaxWp,Lulu Belle & Scotty,1un03CzSEqRmdCbCcGybEa,A Petal From A Faded Rose,1orqjYORVbwWkiLg1HYmFH,14,https://p.scdn.co/mp3-preview/a1b48fbe193575d15399af6cd5d16d97c867cd14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Let's Disagree,2lxZj3p9qmSWcW2GfvjUTA,Leroy Carr,2FtoVJBkfbE89zyZJ0E9eR,"Volume 1: ""How Long Has That Evening Train Been Gone"", CD C",1qgcybWjZYpWiCehvzM0AU,17,https://p.scdn.co/mp3-preview/1a70896335e7a662671af2ad29544750e2f54834?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,That Early Morning Boogie,68MVleg2SzT5uUwD0Ehzfg,King Porter & His Orchestra,4geX6rb0qcTnQciErZNZbI,Rare West Coast Jump 'n' Jive 1945 - 1954,1X0o1c4TW8cb3U04eO3OX7,19,https://p.scdn.co/mp3-preview/a1b56216ba8dce4a2fa359ca208cd2dc9578ddc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Everybody's Tryin' to Be My Baby,7EyP9Rflb9Z37iyNiC5Eqt,The York Bros,46ZnEWChDwcbheFPTHNovb,"That'll Flat Git It!, Vol. 6",0Aa15TH9T3n8TuIBf5y9bP,14,https://p.scdn.co/mp3-preview/6c39137725c0b8c11b3876551b65e9f53441d55b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Precious Little Baby,5Hgdvj6WiUdGLa7UC5rjye,Ernest Tubb,7gS1Yv0RynyzKX5ICtKIhS,If You Want Some Lovin',4GRlt7B7lqhUo8Le6H4yBR,15,https://p.scdn.co/mp3-preview/8ecd774b236ca73d52450bf1df39d463276f870a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,A Life to Go,5YA5NVa8U1RhEFi2HuD5IN,Stonewall Jackson,0NqxUSg57tX1o1WG7VU1Vp,Essential Country - Stonewall Jackson,1PZG4QS5kkcGUONkZ6x4FJ,0,not available
9,Love Doesn't Live Here Anymore,4YHp2maqgtrgpPEYpbKHZv,June Christy,7D51E97yRZ8Su45PW9zbzP,Something Cool,4xQXplxwPPjKTqkULtpEZU,14,not available
