lofi hip hop beats - music to study/relax to ( lo-fi chill hop ),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1113807,chillhopmusic
1,Haze,1tS0eIgirDFLk68hHFv7Oq,G Mills,0djvqMepj2XkHfvWTqkH1N,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,58,https://p.scdn.co/mp3-preview/c1651d050c0131f77caa04c109d2f3b8236b8f54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Space Cadet,3JjyMz84W8PVzIcG6RjyEc,Philanthrope,13ACz7DIictCpSYGglNTHs,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,61,https://p.scdn.co/mp3-preview/b0add684e1795ab675ef8923602d56af2f4df157?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Onteora Lake,6u75w721lUNNuXcV9ywpD1,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,54,https://p.scdn.co/mp3-preview/2cdd195df9aa9e9e569507018f6fe17825dc0745?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Cypress,3oQPMwQ6eoAdfYmLSV54DW,Middle School,6AjXxPL8C44rc1yJdi6RZB,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,61,https://p.scdn.co/mp3-preview/32e233969fb01219843915a8295f03c01f0d0f24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Isolated,5QXae71fibrEaZ8yRB6udi,Toonorth,5cnRXRa8otbppSiXvfdmo3,Ambedo,64aEpHVFHEgilPEJOCFGsF,21,not available
6,La Plage,5Qf87pWpBPhHLCODMEB49f,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,47,https://p.scdn.co/mp3-preview/39ecf6dcac7350af871f255155103f693e8037f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Tumble's Lullaby,1gOdqsAxMgkhIOM8LkuHXj,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,53,https://p.scdn.co/mp3-preview/b326fbbb10f99ec181a1a682e37140c625d57c46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Longwayhome,0Z2QIzFfHpWrDdZGdQltbm,Fenick,05h9KcJkBORkLFnDXcGyOD,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,57,https://p.scdn.co/mp3-preview/85b8777f83d175cc02437d106446f522da905270?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Procrastinating,6jInavnstNIC9tjcKPKcUI,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,57,https://p.scdn.co/mp3-preview/fbd19aa78e906a6e1473ea4129e2003162a72c48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sorry,0PNtnQP8IzWc2TTchaV96I,Swørn,4iyFpbbfjNvfLQPx82OrYc,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,56,https://p.scdn.co/mp3-preview/8fdcb75f3d0e41898bcba90bc6716431f5efba52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Tiny Sailboat,3bPsHHJ6EL2xZSflLsIve3,Kupla,7daSp9zXk1dmqNxwKFkL35,Coniferous,2dPa5nSDfNDStYSYJBc6sU,66,https://p.scdn.co/mp3-preview/459dcb630b9879c6c101472674553f88ddf5b84c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Rockaway 5pm,7aUgl6Fm3L20V0xGg9PkAX,auv,6mmGVOvxusEdkxXmPg0Wlm,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,56,https://p.scdn.co/mp3-preview/1ba1488d0fd67065246afcd44514baa1bcf100f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Let's Forget Things We Said,1kY8bUi60zZxbVwNK3aFFH,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,46,https://p.scdn.co/mp3-preview/7cf927ec78ee656ffa634e7f8764b7aabe4a33fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Effervescent,1aeTr5rN9suNZU3wbxmRDM,Toonorth,5cnRXRa8otbppSiXvfdmo3,Ambedo,56O84QVn8kSnbof3oJ9N5h,52,https://p.scdn.co/mp3-preview/8e92b70668a641a07c2a690ee6a633046cdbaced?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Yesterday,3JdcRs53aBDG20OiPBJO9g,chief.,0HCAzT0cSCpiNje7AcAQaD,Chillhop Daydreams,7qdepmAALqX7taS6nMz8v5,64,https://p.scdn.co/mp3-preview/5beb449bea1705e2bf673ef50dca5bd1e2e12f87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Sunsets,3EB629GKclrdBBMJStxs6y,Aso,45Ui3GdcxzbdJhhTtZLXO8,Chillhop Essentials Spring 2019,0FBkB6e7deadNGBxQCpQc0,63,https://p.scdn.co/mp3-preview/184e85141d05f114adacf4a5db907cb6b238cfd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Daybreak,1fmGSSlJXOrjAoH9g1ZlL1,CoryaYo,3xqrRhBSgCer7lokC0Lhk4,Young Vibes,0RQMr4c7ALBieNfRm5ekUu,46,https://p.scdn.co/mp3-preview/1c75d646aba8f04651d90a7ca2400d6ed1443e80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Perspective,1yrZp8B0mLT18RuZccaDBJ,Barnes Blvd.,1sWWXO9dckUfAgKYJLZ8Nc,Chillhop Daydreams,7qdepmAALqX7taS6nMz8v5,63,https://p.scdn.co/mp3-preview/5fcca4af4a7e24c8b6a527cb2f5d46c40b979bac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Proud of You,6mRmaBAb8ysO3pcGDaegL2,A L E X,3nCJkmgdZQ6l8o828Y3vNQ,"Growing Up, Vol. 2",0ssOcOJhwRHzBFesFsJuye,65,https://p.scdn.co/mp3-preview/ba756a63344a073ffa2ffd7f7a5d7a3a9031e498?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Butterfly,73CQoxfNSsnXV8q8WpsxIY,Swørn,4iyFpbbfjNvfLQPx82OrYc,Escapade,1HaMd10QbuXfZhn2MWEJRt,51,https://p.scdn.co/mp3-preview/3d080ba2b0b26e0ab4e3bed9a017cb4a3e8a5ca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,17,6O5AGRHIKvSeyWIUpWfugt,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,56,https://p.scdn.co/mp3-preview/73d78e1b35f764fd6e6df40e293efa6b2ba427a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Forgot It Was Monday,5zEsGtsZzKhVWSAerDfoSD,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,56,https://p.scdn.co/mp3-preview/407175a5c4371e527b3ee7a0c39c71827d9fec8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
