Chillhop Radio 🐾 jazzy/lofi hip hop beats to study/relax to,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Drive Home,0E8IUQ6U20nbu7ErUSQWEE,Shy Cope,1WVrUGgqeU94YjCKCbAH4y,Drive Home,1GUcftkfDeHXfBIONALAq2,62,https://p.scdn.co/mp3-preview/6fc90574119359407f0d6a79ab442c8fee214128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Action,4ioIoCW5zpdqHM1HUiZvJ3,Allem Iversom,6RaUtVLO8R5TsVdJIxSrq1,Notes,6ShHgKk0EnMFxMdxgQVzPn,56,https://p.scdn.co/mp3-preview/31729870d4cbf1309170d1b51958526d34161887?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Memories.,4bXePAIKpIsJn76EMNIoW0,chromonicci,746nA9NSKsqBDRk343UtkE,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,48,https://p.scdn.co/mp3-preview/b2648708d39f8c16b06ad0b55fc160019ab283f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Tumble's Lullaby,1gOdqsAxMgkhIOM8LkuHXj,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,53,https://p.scdn.co/mp3-preview/b326fbbb10f99ec181a1a682e37140c625d57c46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Procrastinating,6jInavnstNIC9tjcKPKcUI,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,57,https://p.scdn.co/mp3-preview/fbd19aa78e906a6e1473ea4129e2003162a72c48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Know About It,6ERATF7nIRg18tqGvSAORn,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,37,https://p.scdn.co/mp3-preview/cde7b11047b78d51382ec68ddbd171d9e6dfba7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Wildflower,1eYTN19ZXz0i9iuIX2TD5U,Joe Corfield,4PTdN7iZceYLYGvOTxwAgl,Chillhop Essentials Spring 2018,6fhZk3c9CkVFgYvDzjZDIV,57,https://p.scdn.co/mp3-preview/44f14479f4df2c91ece1aec84a8d4707a361e07a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Vibin' Out,6xZWNYuoNPDOJnH8ez4Ydc,Ruck P,0SIxAAknV8iR2jHcQJ9Sfn,Vibin' Out,06bL2kFakeshz1Kii4lDl4,59,https://p.scdn.co/mp3-preview/42443e26d6dbabb4bf0689488161ceca7e5494ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Levitating,0Ueq7HrYgIzQ8wcIW6Duzg,invention_,7uA2p3333eiW9Cknf1twtU,Chillhop Essentials Spring 2019,0FBkB6e7deadNGBxQCpQc0,63,https://p.scdn.co/mp3-preview/51ffbb7c7cb26179e15abdb31aa0cd99b8cb0bf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Hideout,2B2DoTt6xuP1NrR7pKZBR8,Tesk,7ntBtETW7gkufH8Hw38gb4,Hideout,01ePduu8ufy2urQRK19XLH,61,https://p.scdn.co/mp3-preview/e4a7f5c08efd56ed0cfbe73f2d33400e1b150b26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
