Chillhop Radio 🐾 jazzy/lofi hip hop beats to study/relax to,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
84,Whistle Song,6gJXt2HY0onebviLv0HRqs,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,55,https://p.scdn.co/mp3-preview/d1ae34b8b9c8da18d226f2ccd3a11f03f503549e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Morning Walk,1PLPABjQPXvy0YFzopCD4r,chief.,0HCAzT0cSCpiNje7AcAQaD,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,58,https://p.scdn.co/mp3-preview/e4247b3f4bb7aa920a7b2980de9c690db0832bc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Nice and Easy,3NYcbxlKeXOMRwIMFeHcEm,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,42,https://p.scdn.co/mp3-preview/cc0fff7fa00d648ff4cc3ca517fc2a493959557a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Aeroplane,2A3bViFrWuEoxReU9YgCyc,Tom Doolie,4C7NcNb9V6lakzMGHQlm8i,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,60,https://p.scdn.co/mp3-preview/0f2b750ffb53a2171413e3fcf7fa602be33f0cdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Persuasion,69czV6GVs1E2KOzhlqP2o7,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,42,https://p.scdn.co/mp3-preview/a156cfb1b1f355ded79d83a8dd6c2bab330fda3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Skydive,5LUEPhMsFXmksRQADMpnix,j'san,5iMUho98faEp2w6j5p44PH,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/89369c2b5a344aa03d3abecacbcbb73b0d3c0666?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Townie,0kNyIrBLw7CUIK87kVnoRc,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,56,https://p.scdn.co/mp3-preview/56eba8b13ceeca87b5da6cb6c9a6dca16f716f3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Yo,3aRnSEEdQo2LYFO9reNF3g,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,43,https://p.scdn.co/mp3-preview/dc86607dd1441ed18382d61276566e9bc9d6a0d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Chiaroscuro,3C14z9Ln3QQnD9QD7u0Vgm,Toonorth,5cnRXRa8otbppSiXvfdmo3,Ambedo,56O84QVn8kSnbof3oJ9N5h,43,https://p.scdn.co/mp3-preview/a74e356f911fd44113762efed7baad3a10294178?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Playful,311dPlWgkEnpyTIGVFWxlK,Yasper,1axdL80XjVHdInGsJbURyt,Build,12GNXzHWdzTfUcW4JYZIvd,44,https://p.scdn.co/mp3-preview/1c74e7482d2ec9cf2cec702d95a3290c2866fa4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Nimbus,5EKLPSz7Vtsguu06bcql0f,Toonorth,5cnRXRa8otbppSiXvfdmo3,Ambedo,56O84QVn8kSnbof3oJ9N5h,43,https://p.scdn.co/mp3-preview/42b17d11995ec250a603f60944f0734cae28aeab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Lake,3zV9Sj35U90ROA5H2SPlZ9,dryhope,50Ej4gF8iYESted3e4JZ4t,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,57,https://p.scdn.co/mp3-preview/e51b206e76c7e1cad4077ee055e6725db86b42b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Levitate,6P2QhqPjwompubGtRyN7Kp,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,42,https://p.scdn.co/mp3-preview/b4ddc001c0aeaadfb050893eaaf59e8c9890182e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Smthn Bout U,0jsPu4ssbhytWYb73MPGqh,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/55fbff9161441a134abb9113498cde71e4a91cdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Nostalgic,1R1b7WJyRm8gt1T7fJLC3T,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,43,https://p.scdn.co/mp3-preview/67aabd32826ae6410b0db99099958327f3e1ff1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Birdbath,7f13FFDArSEbjc5THYfUgj,Flovry,2pLu3Ut2C3RviYZ3xUanBs,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/2717d5b98cded0228930dfad89666b2e924ac18d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Hibiscus Emoji,0Hb74VU55g7kqIQhuhR7eu,Strehlow,1pUWzVmu8ACMnIAu9BsOHm,"Sleep in, Love",7lq1pDU8BmaBBpXq0nmCoQ,58,https://p.scdn.co/mp3-preview/43f550a819b560b9c9a940bf2502d4229cbd88e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
