Nashville News,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Nobody,2SHbF9xWleu30pAHfOZaEn,Dylan Scott,78YqeIji3mgAS2K1Maca6x,Nobody,7zbGssKdxVpFJJg2TQCntk,17,not available
20,"Big, Big Plans",7yNJCsUH3tXlpQiHSsAc5l,Chris Lane,68abRTdO4meYReMWHvBYb0,"Big, Big Plans",7xVbpLEzt8IQn82IBSMPzu,74,https://p.scdn.co/mp3-preview/d959c020edeb05260c5764ca84ff4f0063170b70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Love Like We Used To,6OZm11tv9NWS25mAMMubFq,Troy Cartwright,24I45QsPZf5Gr7aVlVmTfr,Love Like We Used To,0cNbAN48YGWi6q2FtqIDt9,50,https://p.scdn.co/mp3-preview/1a42066864430d215383138cd1948600a021766b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Nothin' on You,5ggoxc2dhlFjListerctlA,Cody Johnson,6zLBxLdl60ekBLpawtT63I,Ain't Nothin' to It,62aYom0k3j1RBe4uPC64ob,65,https://p.scdn.co/mp3-preview/e9e64427fd58374f792c4f94582cd1747605cecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Vacuum,3htiJyq5gzhWmIz99C9jTp,17 Memphis,4vqV8IpWyagD7V8RjMO63g,Vacuum,19y3RIZYKqznRYe4PpXTfk,24,https://p.scdn.co/mp3-preview/2c133378c30feb6e378cd85033f29ce4ea9445ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,I Hope I'm Stoned (When Jesus Takes Me Home) [feat. Old Crow Medicine Show],6ryR3q7HbJr0d9C9xz0kdV,Charlie Worsham,1nYvElumwIjMkOczb985bq,I Hope I'm Stoned (When Jesus Takes Me Home) [feat. Old Crow Medicine Show],6CYdrO7zDqFQcTCmFqXpx3,46,https://p.scdn.co/mp3-preview/b8a3bb87349e3ef212a841184850fd9d84652f52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Crowded Table,4CQWR7selY38Hi5UJcn7Yx,The Highwomen,3iyG1duuxWpcuWa57VSeZ0,Crowded Table / Redesigning Women,3ecYV2HE7noz8UI8rq1Oti,57,https://p.scdn.co/mp3-preview/d55b03f439ef4950cfeb0ed67233fcc3ce743807?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Done,4wJBJ0RoSkm0v4ovQzug32,Chris Janson,60gmlHZmT16wiO9GiXKYK9,Done,0y0dzLaEGpyZmFVRqAAM7f,56,https://p.scdn.co/mp3-preview/0cec3d4b5a8b78d27a0a78fa2e3b599739b64294?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Let It Go,0W68UhHSkBGIknqXvrOtVJ,Kendell Marvel,7l77Y7qC5sVTsVoU2MymGX,Let It Go,5qjwPa3N5wc7EtIlx2SnTi,48,https://p.scdn.co/mp3-preview/f24ddacc27aa89e20f858a8cdc5a9070c6dcafbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Down to Earth,1q2T4TrQ30ubfsxyNxou5f,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,Down to Earth,7jfUmwKuzlrnuYdLwUTtTN,54,https://p.scdn.co/mp3-preview/ef57b78086157249dbca41e6e29ea90e490985b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Tennessee Whiskey - Live from City Winery Nashville,1nfUSnZMt48KEb3hyAMXCm,Sara Evans,7qvsLYsYP0MHD7jkdv6DAG,Tennessee Whiskey (Live from City Winery Nashville),4xTb2ls83jlIaO9WylAmjX,23,https://p.scdn.co/mp3-preview/0b67b59f09d9b32b1bbf6f6dd903b30186e040b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Better Than Me,1CpmUpZFD0Gmss17D5NUPC,Tucker Beathard,1FQXio7XougvCvKLIu0CCk,Better Than Me,1y2sPs86lLxc9YgambOjXS,48,https://p.scdn.co/mp3-preview/7d87a95c5996696de54386ff0a9df283ecd3b086?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Joshua Tree,36XvVcxYLXYOQj37McVSHD,Ruthie Collins,4qf3V2xmsI9GDIkQGlMfwV,Joshua Tree,604SYSnLaQAYume81vqV1z,34,https://p.scdn.co/mp3-preview/30ead6f2638df85a6a56b4e0d6167ac4977c2313?cid=fa83a2fec7c440b7a2795d600d6b2c7e
