Latin Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,14010,topsify
1,Party (feat. A Boogie Wit da Hoodie),5PDoWY5Av2Ba3rWIdY9Ij0,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Party (feat. A Boogie Wit da Hoodie),2ce9XFj7OA3f78oO5XFFhV,76,https://p.scdn.co/mp3-preview/e7d8a4a8c5200f284bf30197c90bca65d2ea0fd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Solo Dios Sabe (God Only Knows),0Mzv5taM5yLazmQPMVRcrX,for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,Solo Dios Sabe (God Only Knows),4vdRB1EwNphVttSyop63ib,49,https://p.scdn.co/mp3-preview/73bb071e3c165d120714dc42b8276b50777a3511?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Contando Lunares (feat. Cruz Cafuné),6uW0PIRcyZLvkoonm763xD,Don Patricio,6vPXtLmNd3mW0dd1Rb9eQ9,La Dura Vida del Joven Rapero,507EX6i0GGn2b4l2DGcl2y,84,https://p.scdn.co/mp3-preview/e1671579aff3922e0445727ad8563c42b2540628?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Cosita (feat. Sech),6ycsFSUUgyOSZiz3P2o1pT,Valentino,4GAS1OgXh8D5pEA6s6eBNW,Cosita (feat. Sech),6uwxNQwvvqBymh2Jalg44n,70,https://p.scdn.co/mp3-preview/7a7d809e3e502adb5e59299ec105bcf6d25ca063?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Te Amo Sem Compromisso,4mkagJJ8AM1hzeyrgAJc3x,MC Doni,1cFrkBniD1fh6m5UHmmOBC,Sintonia (Uma Serie Original Netflix Sintonia Kondzilla),0SG6SKXEwpoQLrrpuD5wDv,82,https://p.scdn.co/mp3-preview/872fd496704cf2e7a66d8494e861b20495d8adaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Highway,4rhdtzBmrrDxYi35yQDpzF,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,Highway,2DtVhE1RH6odEmwtywYqdQ,70,https://p.scdn.co/mp3-preview/96e3fab0a7e5b359e76a178199f9e55d9cd23395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Mami,3bDD7GGvIzAZeHz2TOYD3A,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Mami,069LGoUMDaNgoKStPYdSi8,79,https://p.scdn.co/mp3-preview/7fc85e58775f26a840990f3f251af120fb9af63a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tengo Un Problema,2rkES33en1hJMXCh1exFeh,MC Davo,3TGeuw7OmACouH5JAKkX7I,Tengo Un Problema,2YGQZQykjxYktrTrR1NQM6,63,https://p.scdn.co/mp3-preview/f01164ec8cf86fc3e23e70b3b58fc2bdabf1227f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Punto G,5Lb1pjnll07UQKxNpnnGBy,KAROL G,790FomKkXshlbRYZFtlgla,Punto G,6z6KcmOiZbZWFMOsfquQ0z,74,not available
