WOODSTOCK 50,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2029,topsify
1,"Star Spangled Banner - Live at The Woodstock Music & Art Fair, August 18, 1969",3lpa6fzS3rSAbRogEhWxu7,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Live at Woodstock,3ok1qnMfMHuJTjPo5G0sQc,44,https://p.scdn.co/mp3-preview/18322c8e16bf166c0e4f04a692be4436658ed519?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Woodstock,2iqKVzMZpyUVPwxIVaQkhm,"Crosby, Stills, Nash & Young",1CYsQCypByMVgnv17qsSbQ,Deja Vu,5bHkK1X4WEOzNvRhehvOcb,57,https://p.scdn.co/mp3-preview/404aea6296af7e76c88c2226c0f41dcfbe44210b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"The Weight - Live at Folsom Field, Boulder, CO, 7/13/2018",27Np2DPYhZY54Fupeuub7W,Dead & Company,4QMYdqiJf5bEC7P0EHbnxn,"Folsom Field, Boulder, CO 7/13/18 (Live)",0cDKe6yiP3ikispUYrzC2O,14,https://p.scdn.co/mp3-preview/aad875d1d573da992d3c780cbad54e84fb535049?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,With A Little Help From My Friends,1yOPFin76ojxOnecsV3v81,Joe Cocker,3pFCERyEiP5xeN2EsPXhjI,With A Little Help From My Friends,3C5cW9dAz11OXXsavHNR7N,14,not available
5,(You Caught Me) Smilin' - Single Version,5XTiyBLVLjqhAGRcJBUC5F,Sly & The Family Stone,5m8H6zSadhu1j9Yi04VLqD,There's A Riot Goin' On,0ihYToxMgYcuHuxOKjGQKO,33,https://p.scdn.co/mp3-preview/8e38089109b82433c2e99526abeb12bd0bcd4c74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Last Hope's Gone - 1997 Remaster,2XtxkQUNAUjlhuzfi05SF3,The Paul Butterfield Blues Band,6kz7WuPaUa4QVreP27I33i,In My Own Dreams,1st5CMxAwDzfBie0lE7PaH,16,https://p.scdn.co/mp3-preview/804f006e2a7d8ddb71acc7e15747ba39c0cb901c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Born On The Bayou - Live At The Woodstock Music & Art Fair / 1969,7chg0Ao228HpM17g61w7k9,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Born On The Bayou (Live At The Woodstock Music & Art Fair / 1969),6GEKvqquxDws7oasVuT4k8,18,not available
8,"Somebody to Love - Live at The Woodstock Music & Art Fair, August 17, 1969",0Mlt9aKcyMpkm28EjKrwQR,Jefferson Airplane,2qFr8w5sWUITRlzZ9kZotF,Jefferson Airplane: The Woodstock Experience,625s2gdwGv9II76gXGAelS,41,https://p.scdn.co/mp3-preview/7c8a085ac3c84fec4830564eb356e1311c1bacb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Me and Bobby McGee,1IqFh00G2kvvMm8pRMpehA,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,Pearl (Legacy Edition),3j7nicLAWXM0Fb08q9XGyf,71,https://p.scdn.co/mp3-preview/d24806aa02d1acb4b7b77ba99440e10e15cb9894?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,For Yasgur's Farm,76WEdM5L1tsllTGk2CW64s,Mountain,7LCp4MN0SOIVWlssid9KyE,Climbing!,2tWvZmP9EVRYqmWyJPLzjP,38,https://p.scdn.co/mp3-preview/8d1b43a2bf077a5e2d4f1420f900c3056fe873e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Spinning Wheel,0spSRHFS4zF4Imvz9sJcfL,"Blood, Sweat & Tears",24GaH9tRBgZjlvOhpFuKi2,"Blood, Sweat & Tears (Expanded Edition)",7qFad1a6Q3kUJ1oAz6fT9m,52,https://p.scdn.co/mp3-preview/e6ae264c9079a040aa2757f4bd8a3e7eba33d13b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Teach Your Children,29HaKOpeLSYvqdFyEQSRdj,"Crosby, Stills, Nash & Young",1CYsQCypByMVgnv17qsSbQ,Deja Vu,5bHkK1X4WEOzNvRhehvOcb,64,https://p.scdn.co/mp3-preview/a4b0d977cac5cf760933592681cb865231133142?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"The ""Fish"" Cheer / I-Feel-Like-I'm-Fixin'-To-Die-Rag",45F8EHWBYjzEYo9yhcpv15,Country Joe & The Fish,0a63dfrxBQKqh160P8iUNL,Vanguard Visionaries,7fV881C4Z2Wx4VNopi9BbE,24,not available
14,No Woman No Cry,4xsbcFEIM5dkQZmEKg7Z9e,Joan Baez,1EevBGfUh3RSQSGpluxgBm,The Complete Gold Castle Masters,0l8cToBNMTOfSjdvxqEAwv,18,not available
15,"Ramble on Rose - Live at Playing In The Sand, Riviera Maya, MX 2/18/18",54GZYmNps19eT6B2txJpFI,Dead & Company,4QMYdqiJf5bEC7P0EHbnxn,"Playing In The Sand, Riviera Maya, MX 2/18/18 (Live)",7w9kQbCsclUfnOAjaWqxMW,27,https://p.scdn.co/mp3-preview/6772928e440ec01ffa416694b0fb2fd15e612ef6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Suite: Judy Blue Eyes - Remastered,2PuUFT13yCzUOZun94WOXv,"Crosby, Stills & Nash",2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash [with Bonus Tracks]",6vUWpE8qciYHOhf7mgaGny,68,https://p.scdn.co/mp3-preview/30ba15226c66cf93d7026dfd3971736b2d3bc6cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Johnny B. Goode - Live,73F27GoRvD1fjGijK0OUd3,Johnny Winter,2ODUxmFxJSyvGiimNhMHbO,"Live Bootleg, Vol. 14 - It's Johnny's Birthday (Original Recordings Remastered)",6vd9Qwl4oDiAKMCidO8dBr,5,https://p.scdn.co/mp3-preview/cd8aba3a3f37b69a0c8b093cc5d9c3a090b5b91f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Proud Mary - Live,0OS2UUdlviKw3Xgks2qPYM,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,The Concert (40th Anniversary Edition),61MgZIlIkgU1Fb4P9MUV2g,32,not available
19,My Generation - Stereo Version,4u9f8hqstB7iITDJNzKhQx,The Who,67ea9eGLXYMsO2eYQRui3w,My Generation,6Oc6Ok1Oawu8lRkjmD4mXy,72,not available
20,"Althea - Live at Playing In The Sand, Riviera Maya, MX 2/15/18",6sONCZGCo6BOsG0NKgpcIJ,Dead & Company,4QMYdqiJf5bEC7P0EHbnxn,"Playing In The Sand, Riviera Maya, 2/15/18 (Live)",610XNFFPZpCdWNeukLsl3I,38,https://p.scdn.co/mp3-preview/a333849b6d596be11ab69b6aae955a6e01e5bdca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Going Up The Country - Remastered 2005,0YkfbOiT5ajoUzE4mbv6rG,Canned Heat,27a0GiCba9K9lnkKidroFU,The Very Best Of Canned Heat,6tFVTuFanTqdlTeTtTz0ag,38,not available
22,Long Black Veil - Remastered,5GqPgRQLxAZGPzDfjciF6y,The Band,4vpDg7Y7fU982Ds30zawDA,Music From Big Pink (Expanded Edition),0nuPXgAXAfPmz9AW1PPrlk,0,not available
23,Feelin' Alright,3LQuPOvQvNVQaE0YzoiymV,Joe Cocker,3pFCERyEiP5xeN2EsPXhjI,With A Little Help From My Friends,3C5cW9dAz11OXXsavHNR7N,7,not available
24,Before You Accuse Me - Outtake,3vpaSQ6E0kf6KpDFY0o51a,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival (40th Anniversary Edition),7oIftk0P8cViwNpNEdCYl2,33,not available
25,Little Wing,7dusTBYUt5sTKbOm2FelFW,Santana,6GI52t8N5F02MxU0g5U69P,Guitar Heaven: The Greatest Guitar Classics Of All Time (Deluxe Version),4YltsTclvvB9OJbSinueLB,43,https://p.scdn.co/mp3-preview/87a5ebcdcbf6cbde2900799627ba576144d9c06c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,"Medley: Run, Shaker Life/Do You Feel Good - 1968/Live At The Santa Monica Civic Center",6ugJ7H3fjrfARhq2v33MWK,Richie Havens,4Qk0lWGeXydDvfrDufDQ9p,The Classics,6PyaEWbZJ7ZJ8SFmrVC6gk,5,not available
27,I Want to Take You Higher,4qpIk2rvkmxJEVvt38tepd,Sly & The Family Stone,5m8H6zSadhu1j9Yi04VLqD,Stand,7iwS1r6JHYJe9xpPjzmWqD,52,https://p.scdn.co/mp3-preview/fe14877a6dbc217d2b246003c52d5b7265e7b9ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,"Playin' in the Band - Live at Playing In The Sand, Riviera Maya, MX 2/15/18",40tWVIEqV6SCoBIr3fYN7w,Dead & Company,4QMYdqiJf5bEC7P0EHbnxn,"Playing In The Sand, Riviera Maya, 2/15/18 (Live)",610XNFFPZpCdWNeukLsl3I,28,https://p.scdn.co/mp3-preview/7d767e8891a9053ae7539c58b3584854955b272e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,The Fish Cheer / I-Feel-Like-I’m-Fixin’-To Die Rag,4ekhcmbinPu8eLHtxD2lav,Country Joe & The Fish,0a63dfrxBQKqh160P8iUNL,I-Feel-Like-I'm-Fixin'-To-Die,5qLH7ahsjN4qZumjwdlkhT,37,not available
30,"Hey Joe - Live at The Woodstock Music & Art Fair, August 18, 1969",3CPLiX94bQmtr0vGbl38MR,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Live at Woodstock,3ok1qnMfMHuJTjPo5G0sQc,41,https://p.scdn.co/mp3-preview/adec5d95416755f37e065c04f34f9cf76cf957e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,"White Rabbit - Live at The Woodstock Music & Art Fair, August 17, 1969",7bX1W9KGmgr3xN1jkNpNnz,Jefferson Airplane,2qFr8w5sWUITRlzZ9kZotF,Jefferson Airplane: The Woodstock Experience,625s2gdwGv9II76gXGAelS,38,https://p.scdn.co/mp3-preview/6aa99622aabbfbf0512aac348ba3ecd2ab0c70b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,I Can't Explain - Mono Version,0XXszp3QoZ9tUYyncpG1sx,The Who,67ea9eGLXYMsO2eYQRui3w,Maximum As & Bs,6Evh8ovUQhDp6qoOmeqozb,19,not available
33,What's Wrong - Live at Woodstock 1969 Version,1FGolefVk3rQ2Vo4KvyGwb,Sweetwater,6f1OLKvr06mLIFI4UQaV8o,Cycles:The Reprise Collection,6PDqW000XWsUb9Mlqe5phc,34,https://p.scdn.co/mp3-preview/1e2784ea3d7125309adb4209b03834503465335b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Coming into Los Angeles,5aFIv1omaY5VUbHyw1N3YQ,Arlo Guthrie,0B6QEFtRnneEzb4iqjI0Nw,Tales Of '69,1QUdX5UJvxgOuivxHINHPV,17,https://p.scdn.co/mp3-preview/7f61a1684368467e88b9aef87309d3f40b312f4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
