Alternative Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
18,"Hey, I'm Just Like You",6EZZCHDoZ15XWDh1ZvRMy2,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,"Hey, I'm Just Like You",4tnkPLLedgamtrRCDdpqwX,54,https://p.scdn.co/mp3-preview/45468ea0cddf10e3140bbc7e597d4141e62febb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Might Be Right,2hJIp64P8hh2VLtvxuIT3Z,White Reaper,75klPfIVnyYcyEGaicRUSF,Might Be Right,1euxMKOns4X6POhO9QMLvt,59,https://p.scdn.co/mp3-preview/10708f755e0eda63059ae3dc4ada35d281c2b57b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Long Live (feat. Travis Barker),0sGKd1m4o0ZwwQhbDJLgaD,Lights,5pdyjBIaY5o1yOyexGIUc6,Long Live (feat. Travis Barker),1b2zt8BV1eLwgA4IeRBd9g,56,https://p.scdn.co/mp3-preview/ab2f57bf1600687826bd24ffa18d49dd79f036be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,The Runner,0AWYvdcS6N463VlsbrzijH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,7CwnnH6mZCAKwKLgwrLWRU,66,https://p.scdn.co/mp3-preview/c5d8e1f2a045d2e5917e4eab92352a31852aa399?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Agree to Disagree,58Eyr2rZWIYM19qhpals74,Sleeping With Sirens,3N8Hy6xQnQv1F1XCiyGQqA,How It Feels to Be Lost,19BZXyyyJmxcCys5VDFOOB,55,https://p.scdn.co/mp3-preview/349184ba03c5ad37eeae4c33f72d122f5aaa6055?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Salt And The Sea,6d2MCbByfqhU85Fmj8WCAN,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,III,5DIgFG1fM76vmNYlvfv2JJ,64,not available
24,Beautiful Drama,38SDejGuFWMELVl8B9Ut4B,The Faim,6VsU92soWFLtVsSP65rkrN,State of Mind,0C8bAFI1POhzztBVShuzll,48,https://p.scdn.co/mp3-preview/9b51e1a7589743ec2a8c2a6b2785cb7940072cf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Everyone Hides,2dZ0PelHrnlIEGJ6nwpcW1,Wilco,2QoU3awHVdcHS8LrZEKvSM,Everyone Hides,0kkc5CptgKQFIil9DaGiu8,60,https://p.scdn.co/mp3-preview/92cbd9fc6d33b1a57afb9b4de93743a3bbf46b3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Oh No!!!,1hHn2SG7j8Ux61wWiUcXPq,grandson,4ZgQDCtRqZlhLswVS6MHN4,Oh No!!!,4tZXu9mrH5lukHf9ujbSUp,63,https://p.scdn.co/mp3-preview/6f3c1b5e4f5684b793ea526bba8e15640b5bdf5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Dear Future Self (Hands Up) [feat. Wyclef Jean],3Fm4KEBiLmj4e3x4Qqv7W0,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,Dear Future Self (Hands Up),7u4VcQQ0tr36gfYmwdtF9K,72,not available
