Morning Coffee Acoustic,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,11107,topsify
1,Feeling You,03KisebN9LuPAchPJm32M8,Harrison Storm,5Ld19xtpAR80G2boTcHaVx,Feeling You,5h7AmGEvtj3PElchUfxU1B,61,https://p.scdn.co/mp3-preview/ff045e680a0abe99b25923e2d55822ee607f95f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Distant Land,4LkT6t2o3URthSNIoUQ7xc,Garrett Kato,4S3VOqqGguEZu3vbJMig4t,Distant Land,3KrJS8hGfg6OSrIVbzWO96,54,https://p.scdn.co/mp3-preview/0de6c131153bd1c997e3514e4fcb6617b938351e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Johnny Cash,2QL4txSPHXnMV8DvOaTHRF,Sofia Wolfson,5WPGc84zEZJXUIp2ELrNFN,Adulting,6HbenOj3dJaGyjJkbb1lJp,31,https://p.scdn.co/mp3-preview/9fe895fcd6459396d8dd07e9ed01c31b24e3b7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Never in My Wildest Dreams,3MJov5mT64K42o1Rffhblq,Dan Auerbach,6YWdHD3R863Apw1hkx3BwC,Waiting on a Song,0OSYZ7EMRs14RPvwowd13F,66,https://p.scdn.co/mp3-preview/af9d517fa6a08d56eaf1e8b21927c068c7964307?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Baby Where You Are,7tZwFmarYtM2Yxy8IRW8wb,Mountain Man,5kmPNusdo1mCTyz4u1uEGm,Magic Ship,26ahuw4JsKSGyNN1PCZe83,42,https://p.scdn.co/mp3-preview/af4434652c21f16948170a23aa7413d9830660c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Love Is Everywhere (Beware),4hrJhMznNddR7UThDKHSJy,Wilco,2QoU3awHVdcHS8LrZEKvSM,Love Is Everywhere (Beware),0xZgWQ2PZZnFK6T1Lr0OMv,60,https://p.scdn.co/mp3-preview/fdb0bd5e0a8ebee4f7b3a3d047dce2601a86eac0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Bones - Acoustic,2Z9LGFJvS856wfl1RW28up,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Bones (Acoustic),1UVGUP1HTAMxa79o2n4QMz,46,https://p.scdn.co/mp3-preview/8a77095869a9c945d4e8a8dc8f6d90c16ab9a69a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Both My Friends,5JzwefYzEOfhc6OtZT3mUa,Harrison Whitford,2KAaIurA00NK4IAnbC6nB8,Afraid of Everything,4bwu1dOv5DUyYw0DtIiWhr,27,https://p.scdn.co/mp3-preview/f23eb7e8ebe13aaecf3efeffd60d941eac0e71d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Arrows - Acoustic,4mVTkdIUe8sTyDTo017rjV,Angel Snow,4awtkia1cywuwJ2OrxNw6j,Arrows (Stripped),144Hgc3HFyxSzrCxoorYqf,31,https://p.scdn.co/mp3-preview/57c05c94ee502e2138adc955dad230cd1a4c5c68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Human,4uBiUTHSuuRT4CtEoZHz2f,Molly Sarlé,4XLoKwIIoARkhaKuZocq5d,Human,1CG4EjCxgzgQgadPN0piBA,40,https://p.scdn.co/mp3-preview/d3c62304a155b811ed8ba8d289e654063a2dbe0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Crowded Table,5HuaHij4kVpfEVv93MYCeW,The Highwomen,3iyG1duuxWpcuWa57VSeZ0,The Highwomen,7sGTt1N5XMIQPCYHAnO1Pl,60,https://p.scdn.co/mp3-preview/da34bc6b4532eccef95bdc21670f0d7194244d1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Grow As We Go,6hYvw3LLTViP2mT4MpDNmT,Ben Platt,6qGkLCMQkNGOJ079iEcC5k,Sing To Me Instead,2AluSp6sapRu17yc4r2a5F,72,https://p.scdn.co/mp3-preview/ef89ad6d8da7b7a6be355d88e7728a9ccfdc15d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Someday Soon,5xv9Shs68bVmUd9tiJSK8r,Wilder Woods,26DytDdxKgr9N0tdrBSLs2,Wilder Woods,35rWm0QieUmTizxsC7dXnG,52,https://p.scdn.co/mp3-preview/95c72a5939ff276d54ec5b39ec2e4ecf3fc359e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Satellite,3xIP4i2mstqylCME7dek0G,Ben Abraham,3FfbgiZhcCkoiI7IzOwXlI,Satellite,5wmvoawQeyRINdlMJtZJlf,48,https://p.scdn.co/mp3-preview/513bf5a6e64d922b9e69fe4ce6ac16b6ae3628f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Road To Trouble ft. Molly Burch,3lrkZfD86TW2v9i1sBaNoK,Jordan Moser,18EFQa0POlHuxoZgm2gKr7,Long Night,5XRN55pOdQOEFclJi2y5mG,28,https://p.scdn.co/mp3-preview/0d5352c01e1729d129ab2e29d32c2804ae395c84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Either You Love Me Or You Don't - Live Acoustic,6B3uybgQGoKkKT6k8MIbbm,Plested,2nJYGgfTf2846LtVB3AES8,Either You Love Me Or You Don't (Live Acoustic),5rJkAXsbIr9T4BCY2R1XsU,57,https://p.scdn.co/mp3-preview/92ab8accbbe303fb5bedeae9df97f3d81c2ad340?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Keep Out The Cold,2VceeoAIBbdDaTkQjeCH1D,Ian Janco,7aV3497dprpnqVKw1UYtGc,Keep Out The Cold,3COOhY2XnTNAatP3LyhTMS,35,https://p.scdn.co/mp3-preview/8575bcb226b800028352282351f6e0e1ca2cd951?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Breakers Roar,7rR5X9RKz5VprclstYOLb5,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,A Sailor's Guide to Earth,5I3UdCxtIh6hkQ7rMPUvA4,57,https://p.scdn.co/mp3-preview/98e50e4035afabd3ed4ddfa754646d2f24279209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Every Time I Hear That Song,0hoRmVUp5cZ1empu0nSHU8,Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej,"By The Way, I Forgive You",2wDKBKgco7u3V1IWEK5V8l,63,https://p.scdn.co/mp3-preview/b17d29006e7d2b921df118ef0bc8a1cca8806213?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Memorial,1sXdly4AscLh38opR7AkAN,Devendra Banhart,1YZEoYFXx4AxVv13OiOPvZ,Memorial,2442xkROtnAcVWFuWQgRTE,43,not available
21,Warm (When The Sun Has Died),6pDqhuoqpWbhLbLz9keQZO,Jeff Tweedy,2rDxtYUzTAYJJE3Bl3Z5IN,WARM,2XTPulCL6EUx1thyJPnlmj,35,https://p.scdn.co/mp3-preview/50a44f5940408d817430cba69ad20e70dcc76fa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Karaoke Angel,0VPkoxJw9XvacydfqoIgbM,Molly Sarlé,4XLoKwIIoARkhaKuZocq5d,Karaoke Angel,4Op0Io346Tajgi7M6iLRV5,36,https://p.scdn.co/mp3-preview/6b5615ed739cee866404830d2ee46cebab627973?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,I'll Be Around,2XLhVVerKskZrWFnhu8WJZ,Garrett Kato,4S3VOqqGguEZu3vbJMig4t,I'll Be Around,3HQ0GDN2XHNUhCOlwNpTTT,46,https://p.scdn.co/mp3-preview/fd558bf9256ec0742ca3fb52db6dabf39dc70a57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Bright,3nuAbJYVAMuaprrfxvsMPY,Plàsi,4XPttwv3iZzydK67YRl8tL,Bright,0n0uFFVMM0u8i3zo9au8rf,51,https://p.scdn.co/mp3-preview/575fea4dd4d68d983ed2f2cbfdc7b23100cbe353?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Taffy,4ATNbbTP670rOntrrowSA3,Jenny Lewis,5cMVRrisBpDkXCVG48epED,On The Line,2AHG3vkC3H7zqHbYdgCCcy,40,https://p.scdn.co/mp3-preview/adcd5be916038e6f2d28cc2208ee697eb36a6837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Truck,2pUjy7f9mmt5DwOY2dyGF7,Hovvdy,59RNNqeEfkq3X5pfOQxZ3C,Cranberry,3PUdQfl83OwaEBR5P7T7tj,30,https://p.scdn.co/mp3-preview/f65c8ec39d24eee34bfdffd452e97cf3b64899fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Birthday,5w5jFcI6l3Bprp6x4RVCuc,Gia Margaret,7fnMav7xXJwwjbyWbSjF4C,There's Always Glimmer,4W0GjlWkF5lLRiw6hF9UU8,5,not available
28,"Caledonia, My Love",7cgka1GOkbcvNqQYrs2FwE,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Hallelujah Anyhow,0UnyFPAZ67GwQztV0DPyfj,59,https://p.scdn.co/mp3-preview/6f2f59f1c69913df3525752bde6a540eefe68ec0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,IOU,566x9tfHqcnSM2LgxdIjR8,Olivia Chaney,0IRzm0TuehkXRBVKNzSX7e,Shelter,6LLJ8sHSiPlTXBNcNTiKOC,43,https://p.scdn.co/mp3-preview/e8eb01a9970530f6894211d120ec536a0880b100?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Rough Around the Edges - Acoustic,3RiWEKGHywUD3L3l2d8348,Courtney Marie Andrews,1EI0B66miJj5Fl408B7E9H,May Your Kindness Remain (Acoustic),6QCGY3YumUApcVkcjTqCUB,19,https://p.scdn.co/mp3-preview/0f3035fd3b223fadcc3121493279150f58aac200?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,More Hearts Than Mine,0LcspVKJxhEQQSvVMiTPWz,Ingrid Andress,0jPnVIasXzBYjrlpO5irii,More Hearts Than Mine,4VMYwWFqX9vUv9otWLRRF5,66,https://p.scdn.co/mp3-preview/f63b5a15f76000fba922484d0d41d0bcc6630780?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Shine On Rainy Day,7quBiDUDKznmbCLDjjIUdm,Brent Cobb,26C2AjqgMr5aDzj6Yp2ORz,Shine On Rainy Day,3UJXcmx1XSLeimF0dwVsbg,41,https://p.scdn.co/mp3-preview/079d8c81ae37a6c2d0ec186c94da29ddbcf6f222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Golden,77EOVfDhyUX5nSzzc4ZEGX,Becca Mancari,5n9jfCRA7AFY1JfYc5ZYK5,Good Woman,63mkT1UZtwofel0rP4rfZR,44,https://p.scdn.co/mp3-preview/e3abfd915a1bfbcb14d193e29a575662739b1767?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,The Dead Don't Die,4Ef1laInbBHGfn3qUMilBK,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,The Dead Don't Die,0d2OrxfHnQVwchS6OyyUZQ,54,https://p.scdn.co/mp3-preview/636b3bdfd9cfb2ad7d6f0042c090cb80be880f57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Prisoners & Guards,0rVE6NMbmthAKmErBhvf9e,Aisha Badru,3vsVCHUe68gqUMIZwaVUIK,Prisoners & Guards,18wAMNydSX6DzSaqdCbNx6,45,https://p.scdn.co/mp3-preview/964582d3bd51c8ff40c0dd2bedbd76dcf6446dbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Don't Go Far,3pzc4ipTvnIX9t8zSydnGe,Charlie Cunningham,78CiW0UJbHspFaVuVexOK6,Don't Go Far,6NrHf91NP4zDICGyGzaiYd,25,not available
37,Only Lonely,5Syg1oPEvj5MS1vf4etOrP,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,Paper Crown,0uy6EewPzVoPQ1sxRphfre,60,https://p.scdn.co/mp3-preview/e30857dbf9dedfccdb6478df3003c431affc064a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Don't Pretend,3ZeYX0D8ocWzkG45hpLNKy,The Wild Reeds,3Q9WLyqkHw04V6DDtvPWwH,Don't Pretend,0jO2nE2xqZ71C6rP0Xg15y,28,https://p.scdn.co/mp3-preview/db757d6d574c76e5b919a53ad1d507d9642d5e56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,The Voyager,2jOBv78VYIGrvvmmSTTdkl,Jenny Lewis,5cMVRrisBpDkXCVG48epED,The Voyager,5sCsfubNchaI9RCpP7K7aB,46,https://p.scdn.co/mp3-preview/399d49293e062c65afe5825fba3fb326ff15b4eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Make It Holy,6aIDKjD8xOEEd6xcNnINw2,The Staves,5G49Sq5mMzAkGL4ZP6eVPY,If I Was (Deluxe Version),2VxNr0ZeGhWJ8rQNe4d8vS,47,https://p.scdn.co/mp3-preview/a13e0688b94b31f3d02ae4f29413e8f606a8a111?cid=fa83a2fec7c440b7a2795d600d6b2c7e
