House Music 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,544654,topsify
1,We Got That Cool (feat. Afrojack & Icona Pop),59DwgMV9nnY8lDTl7KWXlT,Yves V,47BEc2RoW53owMyxacXWdV,We Got That Cool (feat. Afrojack & Icona Pop) [Robert Falcon & Jordan Jay Remix],0hJvepm4Yu51QkErgBO0yF,59,https://p.scdn.co/mp3-preview/0dcb6c9e6f1c533bf57a0e9a21400bf2bf814269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,About You,0h9E5yHd7mn3d7tvWh12pn,Papa Zeus,34Q1USAO0pv4gNxcnOKNav,About You,1oHdDyyC4fWdKXh3edie7d,61,https://p.scdn.co/mp3-preview/d8970aab74413bd8433fbab419383ed7fd0c1042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,1PvEp0qeU6o2rm0i2qUC2N,82,https://p.scdn.co/mp3-preview/7821cae529a3cfafd1919b05a1c154e9cb5fc53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Nothing Else (When I Think Of You),3hHcL95Pqlj93e8YCAkkys,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,Nothing Else (When I Think Of You),28RD2BPGDTlPvnz8kR6i1e,55,https://p.scdn.co/mp3-preview/6e82f9a5b550234601d8a1fb548cf104451c1249?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,91,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,88,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Something About You (with Rudimental),3hYdai5p5sQ3vAmHQ6uaK6,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,Something About You (with Rudimental),0yFCgpwcC2AMcbEkRTgl31,73,https://p.scdn.co/mp3-preview/75705ae7c893e0c6af8a3c27694aa23637286f77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Go Somewhere,71rHHK9L22rVdmofJTjuSd,KREAM,0DdDnziut7wOo6cAYWVZC5,Go Somewhere,3VjndwWZzzLROe05SLqG5I,66,https://p.scdn.co/mp3-preview/673b3e64f3e5f9f263d02512f19e343e7cdcad8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Joys,2owws8NRqfPUdIn3Uag7Yp,Roberto Surace,4Peqx8CmkLiHHRCfm3HR7G,Joys,5dwpmQPOTG6rm25LfSXOR0,67,https://p.scdn.co/mp3-preview/bb39c607a9b0b049ad497f4d4b195494712f1fe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
