💿 The Knocks Complete Collection,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1977,spotifyusa
1,Exit Sign (feat. Gallant),320WwExOiFQ1BXvdtp7xsc,The Knocks,2x7EATekOPhFGRx3syMGEC,Exit Sign (feat. Gallant),6poGB37O7AqGjKZ9Pr3Vdf,54,https://p.scdn.co/mp3-preview/0ee581754994c1980182db3ca003d3fff5e0e5d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Summer Luv (feat. Crystal Fighters),5YPfFN0EsuvOgisgC4tzBq,Whethan,0vqJkZ0RpLZixt3lTmD8vP,Summer Luv (feat. Crystal Fighters),3b35FYaef5SDlDjPWliK0z,59,https://p.scdn.co/mp3-preview/6d346638e731ebffebb9830f41b9a90b73bf9701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Colors,70nNSO7MKo0E1ZJsMy0SKT,The Knocks,2x7EATekOPhFGRx3syMGEC,Colors,1J6CK2IgCMsUj7quZr8U3K,51,https://p.scdn.co/mp3-preview/3b1e2fc36d19c239e29004930e72530a4a18b106?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,New York Luau,1mMShUsneWfzEwzs3oPjfa,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Luau / No Requests,6lAJ16lKgMNUBlfmuvOHXi,54,https://p.scdn.co/mp3-preview/657e179fac6f416bd4e829e42b46700af7a19448?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,No Requests,3jbdYkGfqfEhhNBmqXcxBE,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Luau / No Requests,6lAJ16lKgMNUBlfmuvOHXi,47,https://p.scdn.co/mp3-preview/c3b7419a06a87685f746453ff5910a140973dc5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Awa Ni,4ob71GMH7PAokRzPhejagR,The Knocks,2x7EATekOPhFGRx3syMGEC,Awa Ni,0JcasIRv6rbQG0Bb98o7In,56,https://p.scdn.co/mp3-preview/9970b171f99a3c123f3c5d21254a551e3adea255?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ride Or Die (feat. Foster The People),38Zr5Q5O5o6CYaioIRHSqL,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Narcotic,27gxI0GHiP4Tw88DULN6HY,58,https://p.scdn.co/mp3-preview/4d0d7407c0684bf07e52b00799a7d82b5c34b847?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Classic (feat. POWERS),42TrdbXsmLybxUGJczYbrJ,The Knocks,2x7EATekOPhFGRx3syMGEC,55,66eHI59X5UEaLrEqrEDKTx,56,https://p.scdn.co/mp3-preview/194ee4c39e78c3d0d61c75dc27a9fab6c898c73a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Kiss The Sky (feat. Wyclef Jean),06cu3EF2msKUEy0kCaY8tR,The Knocks,2x7EATekOPhFGRx3syMGEC,55,66eHI59X5UEaLrEqrEDKTx,51,https://p.scdn.co/mp3-preview/dcf5027f10e862786a22da7af6ac6ed581781828?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,TROUBLE (feat. Absofacto) - Single Version,0SE7gSflAhE1a5HEs5Hk9R,The Knocks,2x7EATekOPhFGRx3syMGEC,TROUBLE (feat. Absofacto),2d4pNp3UBXNghzbYvG5sE7,51,https://p.scdn.co/mp3-preview/dea4e5e570da185e7c5af25b286798fbda25525d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Comfortable (feat. X Ambassadors),6KkLg2UJB4sUIbtDyc8Esu,The Knocks,2x7EATekOPhFGRx3syMGEC,55,66eHI59X5UEaLrEqrEDKTx,41,https://p.scdn.co/mp3-preview/e8b3338533c522fec77add07e374837a337217b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,In My Head - The Knocks Block Party Mix,3tUz0ZMfSfZxxjzOdKCefw,Blu DeTiger,5NyCIBCeU080ynEj33S4hC,In My Head Remixes,0lHlYU2QhIGib1OTk06z41,24,https://p.scdn.co/mp3-preview/dd58dc2b692fcc5bda59abbaba1121bddb2e23b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,1999 - The Knocks Remix,4i6Q5LoOjKIFoik31IkfHy,Charli XCX,25uiPmTg16RbhZWAqwLBy5,1999 (The Knocks Remix),6ia6UvBkkTEUrC8a6EVzg3,21,https://p.scdn.co/mp3-preview/7a3a2c18e5a595151e11ecf6d01c46ad19ea638b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Brazilian Soul (feat. Sofi Tukker) - Acoustic Bossa Version,3xxz277NbYSFLbj1DRYtsf,The Knocks,2x7EATekOPhFGRx3syMGEC,Brazilian Soul (feat. Sofi Tukker) [Remixes],2jqeTQjuATZeN5vErDNH5m,26,https://p.scdn.co/mp3-preview/ef7680349b578859da7b71eae889f0c287d01035?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Brazilian Soul (feat. Sofi Tukker) - Acoustic Bossa Version,0KlSESXHgzM1Ai1n0bwvfT,The Knocks,2x7EATekOPhFGRx3syMGEC,Brazilian Soul (feat. Sofi Tukker) [Acoustic Bossa Version],2EaLeeZdN8xwPlDQHajXej,5,not available
16,Retrograded - Wankelmut Remix,0MFf5ClNLSEfFSfs28GmDb,The Knocks,2x7EATekOPhFGRx3syMGEC,Retrograded (Wankelmut Remix),6GQSSSn59FvCTKxvRet1ZP,37,https://p.scdn.co/mp3-preview/5eecf0b7b0e58349c819dd557fb0f68c3ffdcb98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Sun Comes Up,750qJqnylblji4TCCDsmGE,Will Butler vs The Knocks,1hqBaKU5JB9hRncbh5mjkC,Sun Comes Up,6FZwlW8Gcecdn7IMoTphgz,28,https://p.scdn.co/mp3-preview/6d50517932178f4219ff39d9c9681a1ea6f93940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,2008,7iST0QH79HqlGiWBHA8kT4,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Narcotic,27gxI0GHiP4Tw88DULN6HY,27,https://p.scdn.co/mp3-preview/92ed5b7a183e3aadb8baa93b567c63bf8fb067ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Goodbyes (feat. Method Man),13aoBd2xltO00dRNq8QAeI,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Narcotic,27gxI0GHiP4Tw88DULN6HY,39,https://p.scdn.co/mp3-preview/691278484cfbb98fed27dd484fb081a736d2a2e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,New York Narcotic,3dbYxhS5uvvSLLScVyyhvE,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Narcotic,27gxI0GHiP4Tw88DULN6HY,36,https://p.scdn.co/mp3-preview/459768ec42a6ea8816b3de7af4382aea65e9cce1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Big Bills (feat. Big Boi),3oZYS0qxBVCk8q2hJGIza1,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Narcotic,27gxI0GHiP4Tw88DULN6HY,34,https://p.scdn.co/mp3-preview/2f9902725411f4b09198f1bbcd0b5998bf278a1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Shades,6KaAoHXhm2SAQynQ1aI0Yz,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Narcotic,27gxI0GHiP4Tw88DULN6HY,36,https://p.scdn.co/mp3-preview/a567901c39af1e3aee54c8d4aa935aa3fb4e5fd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Brazilian Soul (feat. Sofi Tukker),6rKq8Ri90B3UGEiWuN9e2I,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Narcotic,27gxI0GHiP4Tw88DULN6HY,55,https://p.scdn.co/mp3-preview/a56de1589d722c82cb2a521342a7588ca666a715?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Retrograded,23LiFFl2rMLdV8fS8mhzfb,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Narcotic,27gxI0GHiP4Tw88DULN6HY,32,https://p.scdn.co/mp3-preview/f919c9cec9d69b367722e4eaff04db5874f69fd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Feeling Myself,61SIppi6JfTZnNTJ6QtPZe,The Knocks,2x7EATekOPhFGRx3syMGEC,New York Narcotic,27gxI0GHiP4Tw88DULN6HY,29,https://p.scdn.co/mp3-preview/1a5bd70ef73e7b2a994eab1bc60f1a79769958b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
