Fresh Rap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,545734,spotify_france
1,Popopop,18HNGxDOcshRU2Hdu8tMOM,Gambi,1lB3I3SI30v2ZOpR4XQqzJ,Popopop,0JJoNDGjK0N0SolzcDQpbX,73,https://p.scdn.co/mp3-preview/fd0de14a046c156f66810907299a0476f5b568c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,SOLITERRIEN,7qj2pdwGVmN7E26nMVFeMq,Ikaz Boi,1h0vYLWMAElSWYCjm6RBpe,BRUTAL 2,0Z8bCHPXxxukmYWFFfsXFs,66,https://p.scdn.co/mp3-preview/1904b9b385f3d09cd519867f385b2e82d2faa3d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Rari,3jUqLa1ed5K25iZuO5TQMT,Gradur,2tcoLkA9Hexz70Kuc1NTUl,Rari,3PZlbMaWPBsr0kLsfYuMa9,62,not available
4,La Peuf 4,1yOZzgJxVe1MUWkLNyjLnJ,Hornet La Frappe,1kwzW1IszUiq4Gs9BFesvW,La Peuf 4,7eehZuLmTHHDcRq578uaNg,65,https://p.scdn.co/mp3-preview/4907e1247e4ad56eb8370025665330fb9b799b70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Repeat,3Ij2Ioz9UNXfVuod2uJXBK,Rémy,1rT9J8vtPCzEKL7oGntxnr,Repeat,3TfgWmZlhNQbXLSJYKsq2U,45,not available
6,Bad Boy,6IbOaypphyxm40ZkmfBoY3,Landy,2EFpb61Lpi0l5ldOiqbZkK,Bad Boy,5zWq8T1FB8Ifda5iIZeSuV,55,https://p.scdn.co/mp3-preview/57f85028c872d0686628540263de735c3e268140?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hé oh,1bWafkUCOp6luXRs1cm3w9,Gambi,1lB3I3SI30v2ZOpR4XQqzJ,Hé oh,7slaJRxjUJ5PtKOLGClvRb,80,https://p.scdn.co/mp3-preview/73034dfaaebae7acba1fc7186e6575561876c6f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Parigo,3ll4t0mAv9wf1Mp4VghEFE,Feder,5KnoVkIUGmK0PiDKMjz2LM,Parigo,0Vug7cDWsOzaR9sJ7oF08l,49,https://p.scdn.co/mp3-preview/db66fce531d60347184b020a870ab76324783688?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Un peu de haine,5yYfCoMrhcuxMP9CAmA2rU,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,Mental,0HCMpqJsF9hym2f4uKbfUV,78,https://p.scdn.co/mp3-preview/2b43b29d4669315c19059c018f8c7560f6cff680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Mada,2ETRMTZSxymoNLgQVFMdyA,Kalash,3J7r4VsNmuWixU0nXvyPd8,Mada,0jSB5gOWLFYjKEZ21gMInE,50,not available
11,Marie,4NcZKLjdfTJLpaCOspAjQn,Koba LaD,1q7T9rFQ2a2ukA1PU51fo3,L'Affranchi (Deluxe),72g6zlwerNl2zvcWqUeGHD,66,not available
12,Factice,6ITb2Oy0CEDKcpitujRHEA,Josman,6dbdXbyAWk2qx8Qttw0knR,Factice / Feu.Bi,3qxTT3SbkppHUTZCAAjsJA,55,https://p.scdn.co/mp3-preview/a41e4f2c3c408e06a3e8420d229b377e47d2466e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Bâtiment,7FF6HRsQlc0CtfAbLmrEGX,Niska,7CUFPNi1TU8RowpnFRSsZV,Mr Sal,0EMsWsHF1tU9YpMpSbrvrX,78,not available
14,XNXX,2bpe4mIntXNrleUkVvL7pu,Dinos,1QPdp5duV6lV4XINCzjwQ2,XNXX,7xnlPUEtsvKXnCckgvFSiq,54,not available
15,Attila,1XxoY3UR0pRlKZ95LEv5gy,Fixpen Sill,72TdCQUBRXtFFrbNtx3p8J,FLAG,5UVNJ6QyEjGLP2rBWO5oRI,42,not available
16,Boss #2,6zMfM0GSsllbGz45imr8PE,Junior Bvndo,58lWi9l7zeTHdUz6Glzm9p,Boss #2 - Single,0sl2It191SiMxVF26sW6Hc,53,https://p.scdn.co/mp3-preview/07e9d7bebb49737383464195acb2dc24ec0a9e98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,4 Life,13UelWKczHvCSHWvmjpzfx,Dinero,5ww4TnrPAbSUOE0kvRjuoB,4 Life,5txByEP5YRYaEtLONRmdVC,19,https://p.scdn.co/mp3-preview/b1f6e1e961d886522b358c565b6e83a4e49a878a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Veni qui,3ocwF0Wf2TJybnpVIBA24w,DTF,37ioGUZGhKk7VjWIocx8kM,Veni qui,6AIXEYTiJod31AY6TMIvjP,64,https://p.scdn.co/mp3-preview/8d82395596dff9fc57dba90f5d84385c2fd0d2f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,J'suis dans la cité,2L4iQ90oAUXPSc6q4yxV7O,Driks,3mTLkUsH6xz7b0UjcNcVsN,Enmalaøue,4jl8nzwOsk2XiOpfG6N6D3,36,https://p.scdn.co/mp3-preview/e68e5d0a0fc9b8998058b49810db27f3f400d375?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,PISTOLET ROSE 2,4TuY98D8jZ1wJDrG58e9qv,Alpha Wann,7yeFMUrYTY5cAZx0GKXnti,PPP,2IhyR5rtAxPU7BmuaxwjQ1,61,not available
21,T'as tout perdu,1oE898WW4gkYrII4fPF7bz,Jul,3IW7ScrzXmPvZhB27hmfgy,Rien 100 Rien (Réédition),3Jtj1RlmKnRvBkp3YJWHXO,54,https://p.scdn.co/mp3-preview/0cb0f53e2d583d40b3cec9945e2097331a1249e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Nécessité,2BJXEKo0ec9neO9EbxoWMA,Mous-K,3Gcn7eKPiTv6jwqoyIhVMO,La Quicka,0zsrrL4e8bfzhllmpwYeol,29,https://p.scdn.co/mp3-preview/17bcbeb3fe755c4c7a26fd7670b760329a1caf1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Gamme,6yE734jgKBYFAzymZ6Elal,Larry,0YqeL4iGLLNiwRXZvew1TM,Gamme,75TqDtpA1i0qYcUHSI0y8o,49,https://p.scdn.co/mp3-preview/9476a878524ee5162af85313518ed81f64723f25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Mauvais côté (feat. Ninho),3QFglbDobzbq230oUIH78j,Amy,17KwxXJEwSHoQsgZjRYn9z,Ne le dites pas à ma mère,4SzfVorQq1zZE3uzcD9KoZ,41,https://p.scdn.co/mp3-preview/f780a100aceb5713a89eeaa9d37ee1530d01ad1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,HAYDN,4LZx4pJpQCB2EVZ7sCg7ux,Fixpen Sill,72TdCQUBRXtFFrbNtx3p8J,FLAG,5UVNJ6QyEjGLP2rBWO5oRI,40,not available
26,Toute l'année (feat. Timal),5PlemGdKGymY91Emm5xDbr,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,Mental,0HCMpqJsF9hym2f4uKbfUV,72,https://p.scdn.co/mp3-preview/752fb35dc75b4282661042f3ffec38f961319c14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Secteur,07XUyk7X8B5BRROpUmAdOs,Le A,3MLibxmnYlJEtSLG4s6XvC,Secteur,19jwB14CEK6uhW9zh7iCYz,54,https://p.scdn.co/mp3-preview/db80124d6f98bc025f72156cb319282ae2e2a686?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Sauvagerie 3,75MobxZFtOVj7KXr04goRn,Kalash Criminel,6ytOHdKh4xt4YvF7tz8Zcv,Sauvagerie 3,6Xf0BSHgyUeoectf6d6bGh,46,https://p.scdn.co/mp3-preview/f83676cd54acd41a432795292e2ca88b9e53dfd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Liberta,0axdQVg4YwpZFukbwUiUZB,L'Allemand,3BX2N7cc1OrBUJQiiei3On,Liberta,4o0zNQJa7yuFlI6ui8VBRX,46,https://p.scdn.co/mp3-preview/12512ccab9853e80beee6371c98737f4ee6c9b3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Chab,6lAYHjN4zRB7fqZxM9NlwJ,ZeGuerre,3Rz9ULXMl7mfhCCFNnhd5N,Chab,4trKi8h0XasOQicVbVdczG,62,not available
31,Journal perso II,5D3QfcDoUnLjMtsOdxmucm,Vald,3CnCGFxXbOA8bAK54jR8js,Journal perso II,1wncLVm0a5afVzqaMNPKoB,74,not available
32,###,6XuAMyd7tbx6cCGtw7QoJb,Di#se,0MFhyRGfvCMLTlW8HtKIzV,Parfum,3baZzDBEcJmbrQJZwGAh53,33,https://p.scdn.co/mp3-preview/4f7735adf9775aa53881b1ae34b7fa49197035a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,TP (feat. Hornet La Frappe),7aRlFHYFRngsHVdSHDxaiF,Zikxo,7rjPaOQdQeTIQhmApviFqe,Temps,2ziaZI4ptLdQI6NU0GCUKJ,61,https://p.scdn.co/mp3-preview/a153250bd1de63c7cbb5944d97dfafa572ba3ad1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Uber X,2Mv1sh5BIm1HTIMZuRQK6q,Niro,1wAtSe79kItIb9nf5EhI2Q,Stupéfiant : Chapitre 1,3iyKUppmGvHTjud2ApVe4J,59,https://p.scdn.co/mp3-preview/526bc81e2ea2cdd79e283ac23c699c09e74b989f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,WeLaRue 3 - Vilain,21osrWiNJxpILjR6vLlp0r,DA Uzi,3xEJ7cDz5rdg6VM8E6Mqhf,WeLaRue 3 (Vilain),5hQUz6wgRotkm9cRJg7m7Y,62,https://p.scdn.co/mp3-preview/858aa0e8ef99eb24aaf789d44f790aea54e1beba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Pour un jeu (feat. Leto),5CLutQv2rjVuLZBGG9XNlV,Kaza,4MRRW42s9ymwa5zu4xTKJh,Pour un jeu (feat. Leto),6CYjD7qHrgSfxUax6ZxI86,65,https://p.scdn.co/mp3-preview/6a5ccaf1eeaff5f8e30d45cd660c2b4eea748c37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,LVC,1RE1SDPjuilKM6tLIMxTtP,Shotas,626MEj1uIFt7eZMSroO01a,Capuché,7hkQyUduD8ZtT8bBz4KkQh,68,not available
38,Oulalah,2pxgWydgVrpNU01JPVx47q,Gambi,1lB3I3SI30v2ZOpR4XQqzJ,Oulalah,1iC4wMlsOVAaGJJ8oyc7hb,66,https://p.scdn.co/mp3-preview/0736dd2800ce576a5a86cbae6a1d58ea1dae9f90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
