Nouveautés Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,70,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,2cFrymmkijnjDg9SS92EPM,hot girl bummer,37CqAwxTungNxKpIK5vSgE,91,not available
26,Twisted,4urcciuWMaKIdttG8DV6R2,Marina Kaye,4hHzZPvlU4rRbYnkXddpid,Twisted,5PfMj3RSoxyEQ9UgohWauL,48,https://p.scdn.co/mp3-preview/49e64d10a46ae479573f7bde39e8f222039cd4ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,White Mercedes,7fOFeVSyL18q7RiU6cnhiM,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,72,https://p.scdn.co/mp3-preview/e8c53850910eb95a6ca279c2a8a5468e0bc67c5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,70,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,72,not available
30,Sweettalk my Heart,4Cgedth1L3nBdVLU5Z42m1,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Sunshine Kitty,5kaCqETtik8oE7M9D8wxrW,72,not available
31,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,75,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
34,Time - Edit,68Vm2W4oURsPV3121vUZgB,NF,6fOMl44jA4Sp5b9PpYCkzz,Time,1QcPl6AFNTiczxCuSpOoEM,79,not available
35,The Game,64kY8ox52wBR7sWI3pcNwj,Milky Chance,1hzfo8twXdOegF3xireCYs,The Game,4o8zheBB9DDkWKjUIEfGNe,54,not available
36,October,2cDcrN0P5EupLuv0iye5Oy,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,October,3NArrZxpa1TP6h1xVis146,67,not available
37,Wave (feat. Mike Sabath),3Q6fRSTIz9AZLfmTMGNlxG,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,Wave (feat. Mike Sabath),3RRlQpHcnBStDiuVD88wtp,67,https://p.scdn.co/mp3-preview/2fc2030ee592b8900ca6b7cef6babda42c9f3e17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Staring At The Sun (feat. SZA),2leIuE4fdcJoNMSKu5Yr7a,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,80,not available
39,Wanted,6hLkeOMrhZ2CMLBp2of576,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Wanted,19xtr8RaBkQNaDaNmXnVDj,83,not available
40,If You Need Me,3dqcHUPGMQD5baOC5Ylp7L,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,If You Need Me,4eeHl4rHfVSo0IDTSZ2ECq,71,not available
41,Good As Hell,6uAm7pG66O1XesXS9bpHSF,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,5PMpdvn38HScK6IuLniRep,75,not available
42,Baggage (with AlunaGeorge),214h7kR7uNssAoU5AbcaIS,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,Baggage (with AlunaGeorge),6HkVLOM8m07Du0cz7SsnwR,71,not available
43,What Am I,1HimGOB6BjOaCQYMIF1xtU,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,What Am I,6IEEEv0mmFYPjhATWKYZRE,80,https://p.scdn.co/mp3-preview/07c61d627e0537fa0d7f11bbab0c763bd9165d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Not 20 Anymore,7vWbERTWGCiu6fil02e9kj,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Not 20 Anymore,50fjXOO6vhakOGaz3ATZlM,73,https://p.scdn.co/mp3-preview/57f696cb0d03f7069c6916ba3bba15253d809b11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,I Warned Myself,3707IBa4HnS3zDDoWfeUBl,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,I Warned Myself,3TDyDrYb9qx7DtGWXqvLfW,82,https://p.scdn.co/mp3-preview/b4185f469a9b8997d96e5835320cdb91fe89d724?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,smiling when i die,7yCyhsU75MYdbeqRLhLY51,Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,smiling when i die,5bHqzyMbrdJTLui0HQdRG0,69,https://p.scdn.co/mp3-preview/3da66e1004253e1ad83b53a16f59bc5628c55010?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Higher,7E0UqLtjH5ipLhkX3bCCuK,Ally Brooke,6TXM1kV4L8DsDAkAfbOPYk,Higher,5peCrBl7RlaO4qDdxAaBON,67,https://p.scdn.co/mp3-preview/f2e8a878bc46b3c355781ee5d8fa1a89e4bfdc6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Boys Will Be Boys,70exbZDzS34CgTHZv4GMZK,bülow,5vBrKGOjN10BMwB0cJADj4,Boys Will Be Boys,2rX8Den6I6W43KO8FaNL1L,64,not available
49,NEVER GONNA LIKE YOU,5lzp3WgXCd94gI7cQaQ9bQ,Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,NEVER GONNA LIKE YOU,0TjCBvNrdzsmj7EhQsEYik,68,not available
50,Ain't Together,0EolrgZsjOyjjTuHEhgVuk,King Princess,6beUvFUlKliUYJdLOXNj9C,Ain't Together,3nY7uA5jciz3tNyw8DolUl,65,https://p.scdn.co/mp3-preview/a75ee4295c52f512edb7960b3613704c394d60f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
