Grand Hit,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,506040,spotify_france
1,Donnez-moi,2NdhZPNjOHMZfyUd1iGnbT,Les Frangines,2sYOUJa6fNc4ke4Zo6EkZ4,Donnez-moi,1b1XSsiBrVNOz6Aptq4FMn,60,https://p.scdn.co/mp3-preview/742df4bf6d5972250e57f16e2f6fc5269070266f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Tombé,3EiDyqPIjDDo6F8RS5Lj4t,M. Pokora,6euPnGzBlDysAC5ecVguNZ,PYRAMIDE,7lh4MGKwIo343kS0gcjcB0,56,https://p.scdn.co/mp3-preview/d08324894d4380f5c8baf550e090c01dffce03fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ça va ça vient,1d88B3j48iAB6oL7SWZlxy,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,Ça va ça vient,4rBuK11DkyD5o19N6iblNI,68,not available
4,Reste,2vruJV9zbgg0CE1x14vVFW,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Ceinture noire (Transcendance),1YXFTSMHY8kqwiJDDuOIrH,62,https://p.scdn.co/mp3-preview/39cf2774d7c4a60d9937e0440c82c5f5e441ad23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Flou,3b89BehicGUgc60pLBo092,Angèle,3QVolfxko2UyCOtexhVTli,Brol,6KSvWFf4g4PrIldtchJsTC,73,not available
6,Le coach (feat. Vincenzo),1RighqmKZNqLP9rklJ4HCz,Soprano,2RJBv9wXbW6m539q9NOfW1,Phoenix,7aa71fyBd1G9q4BPQlibUu,70,https://p.scdn.co/mp3-preview/728a1f71d7c46d5ccb98097fb9939b3c8de877ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Dans l'univers,2PYXOG6GdxF9sUIH2NfOAD,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Les étoiles vagabondes : expansion,3TDNimUU4nzPRD8BEwiZ0i,74,not available
8,Les choses simples,63oSGdyQWGMaGfVdkuoJ1A,Jenifer,7p0bICJNx2HM4jS28qexvv,Nouvelle page,5PIKD9PXYxnG7M3JSJKcSk,62,https://p.scdn.co/mp3-preview/86dc6ecf413d77664c414a7615123c420a0eec5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Hola Señorita,4DaMDiRi2VukvrLfJDtmTu,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Ceinture noire (Transcendance),1YXFTSMHY8kqwiJDDuOIrH,71,https://p.scdn.co/mp3-preview/1ee1bba3e880d42a12c351d0ab298eb4453a0aa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
