After School,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,14530,spotify_france
1,Liar,7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Liar,3xgS4rfthlsvhW7J2WLiiR,92,https://p.scdn.co/mp3-preview/10cc798e1e25bb65f13cbe166aa77e51e2f11474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dance Monkey,3HCfLj84q3qXdArLlA1dV5,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,797fOEI7XtMW8HMfL0OFbp,81,not available
3,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,90,not available
4,Soldi,4szQkW1CDHqbRZGltXJdd3,Mahmood,06nvjg4wBANK6DCHjqtPNd,Gioventù Bruciata,66vkclmRoFqj4IYEnKGKPU,79,not available
5,Mirador,4j5Bb0saeXmiz62XIZjcHj,Kezah,0Xy42slaJyTJV1vfi9Hbey,Mirador,6E965MWebkcp7kAPIUMSGN,70,not available
6,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,89,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Lonely,1MF23oT6lg5q47LnZ91UPy,81,https://p.scdn.co/mp3-preview/3fa1dc5fe5068d6c7189d3871cb1fd1615330b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Instagram,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Instagram,7FTzcNdsKhMe53orWXsai8,88,https://p.scdn.co/mp3-preview/3ab276e3f7066d652e7d631afc55e054de42ad1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,89,https://p.scdn.co/mp3-preview/4541d9fdce0a1a70103690863356bee8ca05d02b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,88,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Egotrip,7d9VYpmw1zj0Zdeex0uZLf,Therapie TAXI,5MynxBz4ZMqvUzpcxTZl4C,Egotrip,2pvAljd8SURmWheBSYhtbp,54,https://p.scdn.co/mp3-preview/f6027acdb60de157407ddc15de666159796b3c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,boyfriend,3zVB99XMdbP9HTVNg0GJwV,94,not available
13,Teeth,1JRK7srBWUtAW7dPabKBwJ,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Teeth,6JdZip7wqJcGYtYDnzpp8T,87,not available
14,Baila Conmigo - Willy William Remix,2O6g3SJspU3CjciIs1NSum,Dayvi,2TWBei99x2tV70bdYbWdAf,Baila Conmigo (Willy William Remix),7dIhl3nrSEiyRq65jMhqzJ,46,https://p.scdn.co/mp3-preview/f8268bb1435e2709f160f3702be063138ff60b2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Zemër,68av1mZz0VsIYXJWATZWUW,Soolking,0GgY7hjMoGDsX8ZDe2mwds,Zemër,7Cdc189pgYExabUQoEBfGS,75,not available
16,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,84,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Only Human,0DiDStADDVh3SvAsoJAFMk,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2,87,not available
18,Be Honest (feat. Burna Boy),5pAbCxt9e3f81lOmjIXwzd,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Be Honest (feat. Burna Boy),4d2oTHRFwGifGFgve7zSGC,85,https://p.scdn.co/mp3-preview/55bfb31d5fbbc26818f8585c66911a5093642bc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
