PVNCHLNRS,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,C’est Elle,7gFue3UseWrimCsI1gdJIE,Alonzo,2z2TRvloJt4EfUNQp9rHAi,Stone,09jUor2SmHK2Rr9HoFnJm1,69,not available
25,Journal perso II,5D3QfcDoUnLjMtsOdxmucm,Vald,3CnCGFxXbOA8bAK54jR8js,Journal perso II,1wncLVm0a5afVzqaMNPKoB,74,not available
26,GLAIVE,4kgHfnWMk3rK5upoZgJrFr,Booba,58wXmynHaAWI5hwlPZP3qL,GLAIVE,2W3xXKVZiMYIIU7Ff2MjBl,73,not available
27,La vie qu'on mène,0Jh6iWjna1wk5le0Ahn7No,Ninho,6Te49r3A6f5BiIgBRxH7FH,Destin,14p5CVdJCMRcgvICDAGS7k,75,https://p.scdn.co/mp3-preview/b89dea3be3b5aa7b218166ab26ff01378a726ff5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Pardon maman,3lcji9p6PgHYftz88p9SW4,RK,2s7fZ34RK8RUJQ2ewsh6I5,Pardon maman,3RlWCoA2bUJo7sBSPjv40g,67,not available
29,Passa passa (#BooskaMechant),2AFEY781u68sON4BTSPJz4,Niska,7CUFPNi1TU8RowpnFRSsZV,Passa passa (#BooskaMechant),2zS47o0yUxZwTqiTRwk56A,71,not available
30,NWR,4tWVLBZ3EiSqegpf4jBsei,Maes,6L34dW6SKMSDaGIfYDU19j,NWR,3TVEgETMlYc2W5kLNila1K,68,not available
31,Veni qui,3ocwF0Wf2TJybnpVIBA24w,DTF,37ioGUZGhKk7VjWIocx8kM,Veni qui,6AIXEYTiJod31AY6TMIvjP,64,https://p.scdn.co/mp3-preview/8d82395596dff9fc57dba90f5d84385c2fd0d2f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Nique la BAC,4VzalpjiHHK5cKSgrZuNjg,Lorenzo,62zLrboqOTPyozwi721CVy,Sex In The City,43QKj7lqltgm5UYQlUpviO,74,not available
33,Tel Me,4He5TSvX6WhyTeiXpdFaCZ,Jul,3IW7ScrzXmPvZhB27hmfgy,Rien 100 Rien,34IhuOzKdcBLqZtYYpTOQ2,46,not available
34,Tricheur,5ZwRTJD1bTACtIuW5Iibnu,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Les étoiles vagabondes,5eLZYtCXkFIsOmpVc7vrI2,43,not available
35,Possédé,0VN67HBzRT22ZGvOCi3dQ7,Djadja & Dinaz,5hREZP0zTQbTLkZ2M8RS4v,Possédé,5eMWtVOASFVZ9Zg2JzDoLN,10,not available
36,Aristocrate,7gNlaZaMIjRUfnAYd9Dvmt,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,En esprit,4YUEcV66XwylhSNJI51ABq,74,https://p.scdn.co/mp3-preview/38a2a03026081c7cbd675e2ad308f5fead1bcd35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Canal,4ue5wBIDNJelqiHkm1aMWi,Dosseh,3b5bg1k6N9u31OtzSfK2dP,Summer Crack 4,5X3ZqzQfQGjyrQEvKEAjWB,66,not available
38,Papers (feat. Ninho),3vmoC735YdyvsrF0HtbmGn,Zola,54kCbQZaZWHnwwj9VP2hn4,Cicatrices,7wyEWWnkMq3pMPPx8F1899,72,https://p.scdn.co/mp3-preview/b3937409d10c3fda172252e408a4779af2f49dcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Binks (feat. Koba LaD),66kEUL4IAGwmquPa41Jka8,100 Blaze,0JxUh8qDlG3xflSV9Of500,Binks,08dZlqKreZU3zmOiQBM5Gb,68,not available
40,RR 9.1,28fP6qcMGPfYOjrx8AOWFn,Koba LaD,1q7T9rFQ2a2ukA1PU51fo3,L' Affranchi,4upy0tuOOcyBLcEWvYnYGB,75,not available
41,Petit cœur,79qwid3uZ7CgGQOvCNBsQQ,13 Block,7rTPCNINGzMp3Hc8Xqht5Z,BLO,277kKL1JVmDFK66aQoO655,66,https://p.scdn.co/mp3-preview/30f6eea2d90559df8fc8e2e548b8340a1e78d18e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,JTC,2IlBgMGbkKDfu7qveyT9AB,Kalash,3J7r4VsNmuWixU0nXvyPd8,JTC,1CPeRbubF9gG3PyylJGKw9,69,not available
43,Haut standing,7iuIofLDxuD3BXmUmStKWR,SCH,2kXKa3aAFngGz2P4GjG5w2,Haut standing,1EnoU6rMCs4tSiw3pHhHKK,68,https://p.scdn.co/mp3-preview/254be7f51dabf7bdf73a4e435068eb54faff3100?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Clic clac (feat. 13 Block),7znQW9RxQLTk0hvTWgIrgy,Hamza,5gs4Sm2WQUkcGeikMcVHbh,Paradise (Deluxe),4AoeLf8WUzUsSe75k3berm,66,https://p.scdn.co/mp3-preview/b2250b1ec1ca6886ed28e2959ec6107b58e0526a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Goutte d’eau,5ojNTROUJJgCFFbdD3xTZn,Ninho,6Te49r3A6f5BiIgBRxH7FH,Goutte d’eau,2IPvwPUhlkKn7fLvtp0UUu,26,https://p.scdn.co/mp3-preview/4c9138adc146745a0b0f11d5f6fc74986b4142ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Matin,3COpbW4W1Qab0ZqiHZxdjv,Koba LaD,1q7T9rFQ2a2ukA1PU51fo3,L' Affranchi,4upy0tuOOcyBLcEWvYnYGB,70,not available
47,Tes rêves (feat. Maes),3InZfowMPrxoL0Z2zRGAU5,Dabs,0VF7XcB73fBSIfX9hOTVij,Tes rêves (feat. Maes),1lfjw97iZ9tqIItMLlBBg5,58,https://p.scdn.co/mp3-preview/e8b509d289578363cceed5bce6ea825b78d520fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Appuyer,0ztjGxafDgN1f6vBk19Ens,Niro,1wAtSe79kItIb9nf5EhI2Q,Appuyer,2fhaeoeSb2UsY4vCdTaGaP,47,https://p.scdn.co/mp3-preview/d21bb815898d098f4d1c832e421413199a89395b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Prêt à partir (feat. Ninho),0ZKi6Khl1E9EoOQadSXN5m,SCH,2kXKa3aAFngGz2P4GjG5w2,JVLIVS,2b2K5XuhYChG05wLpebMll,64,https://p.scdn.co/mp3-preview/b532235d84a4ab9ef5d5c499d871461e2eaf5789?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Médicament,55mCsKCo4bPuYtZvHppp8z,Niska,7CUFPNi1TU8RowpnFRSsZV,Médicament,6vUCeESai9dzr8pS6UxPAG,75,not available
