Slingshot,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,"Changes, Pt. 1",5R1depT5guD9JEOmjF4NuF,Neal Francis,2e5y5Gs5lgnDmiY4TKLsq3,"Changes, Pt. 1",4uhsf6MOk9FoQppzSR8Dgm,32,https://p.scdn.co/mp3-preview/9760d862f378efb72d658aab52991087158f8141?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Do Right,12Ol53a2qMZ5hkx3m7OCGh,The Commonheart,74fgnoMTNfvWwayrEMa3lT,Do Right,2DBZGojkD9RrTvTCGvL6vK,24,https://p.scdn.co/mp3-preview/454441696cf1020ee3868065b2dedf613f8e83aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Deepest Light,3box6wkIWTB4eiPrYo37Fx,The Get Ahead,4iBgPaD9hI6n7uRppTbyVO,Deepest Light,7Mvs28USwErzSAs1e1v35p,12,https://p.scdn.co/mp3-preview/52e7e5bb5a688a837dcb980c19ab98408da4a4ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Sharon,51PI43gS0Dgml6MaoUczoS,Rosenau & Sanborn,6fSXaI61QwhurdSbBWty65,Sharon,1Xi1v3JipBu7TTbbmqo7Q4,11,not available
24,K.R.I.T. HERE,68a1QFrzqGeprtli75KCM9,Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP,K.R.I.T. HERE,4daYW4Eeza2g9MjxDhVzJ0,52,https://p.scdn.co/mp3-preview/849e62edc8d17d9ae918ee782cbb4c602dd4b4b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Colors,6vaSStNN5NX4nJ4QbRY3S0,Black Pumas,6eU0jV2eEZ8XTM7EmlguK6,Black Pumas,54SlWgNocRPhlZEFTYjOfW,51,not available
26,Say the Word,1X87evGaXBEo0HXl3UDWUH,Chely Wright,1aSIXmBKKrEVIbGLwhedIe,Say the Word,1uCq8DBNQZ9Mn38AGwOThz,14,https://p.scdn.co/mp3-preview/acc2666ca77c4df810de0037d6c59bbabf122467?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Capsize,0AiOPe8SReCalXMSxTSkmO,Dionysia,5MJRmOUoZK7vJxcvsXYdQQ,Capsize,1ILSFgUlzldSp3XsY9WOKV,10,not available
28,Fragile,59Y8Ra9HDvS7cSSlGmC7VM,Eryn Allen Kane,5xI4mPixKfrCCspATqbpy3,a tree planted by water,5bl22ODAmnzfJ35n52vAQB,41,https://p.scdn.co/mp3-preview/2077e66c57c36ae31d549bc39a6f759336decd35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Two Sisters,4y8gsaZaZ2Wak4Moc0bIia,House and Land,7wEcAL8SfPKhI85Qw3Opfe,Across The Field,71wLq7xvcMcSjM2gFmZ4Kf,18,https://p.scdn.co/mp3-preview/9d5422e550e37631e44174517f2fb3ec1e206b49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Say Something,3a6niBlB1QhSgfbj0REFlh,Jordan Rakei,24icoQNJSEWNu3XvqKBR68,Origin,7fn4t6YrZzqowiab2fugQK,58,https://p.scdn.co/mp3-preview/c121fdd5937eef5b15f23d37213858762b747c04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Pin It Down,6KRDAF8QCxLucdSfInMWjL,Madison Cunningham,3h9TfIgwhovQELlP2jj4xL,Pin It Down,3f5IDdVoEkKyTLsXNJQ3UL,47,not available
32,Millionaire,3JzIk2Cnx0zhqXuS9HHKNy,Mattiel,69ZtLNs4CNIFnf3Vq7wN5q,Satis Factory,7m9Xk3lUNhaPZ5UA3YELvw,20,not available
33,Bad Dream,5K3SnNlRwiXFnnN0Fb4xZl,Middle Class Fashion,0zPEyXUedFXvinmege1sNq,Ego,1HMTg4STGtQr7uB2MRkDf7,7,https://p.scdn.co/mp3-preview/a6bbd184ffff3008fb22481414f976edb825996f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Cocaine Country Dancing,16l9NihqKg5PcBbbIi2buW,Paul Cauthen,6yHM0XQEdu9sIlbILMaKBp,Cocaine Country Dancing,2Pex98kXgvEKVRROOTONZL,49,https://p.scdn.co/mp3-preview/01632c70c713e0a062710e2d282336431121422e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Keep Your Head Up,4SDLL7LRPm4VZv6bP2XdPa,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,30,https://p.scdn.co/mp3-preview/c22187716a7b806c0b4eeed8cd095085e00e80a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Heaven Only Knows,1LrxFPNHKvbJ8WeDfT4oEd,Ryan Porter,1kiNqP5rOEbTchaFXyTY5c,Heaven Only Knows,2Dn9UDsID06pTMqpbIBWGX,7,https://p.scdn.co/mp3-preview/fbfe917ed67b453324d3f0f14086610354bd9904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Santa Sangre,0IFJaOYBWGJJBgPzuLNt6L,Guayaba,2Yu1awZURNoKz0gOdeDBz5,"Black Trash, White House",246fMtcdD8oteWkNJkic2I,15,https://p.scdn.co/mp3-preview/68e34acaa98409d0b0c83b86cfd66fc012202a36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,"Come Get It, Daddy (feat. Reverend Dollars)",4fcGGRPGUt9lM2j6VHycdU,Michete,5oWl515KC5OVpirpSqwWJa,Cool Tricks 2,7dOIGb0S7mKPtExrhVPMVg,11,https://p.scdn.co/mp3-preview/bc32c9294868c459a4ce3a5d4faddf6a8a90f854?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Swerve... the reeping of all that is worthwhile (Noir not withstanding),6zlfO5ii8DEInf7R9dpkBW,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,Black Up,7BivjtZDPMhWSyCPCt7rau,40,https://p.scdn.co/mp3-preview/41ae6f24e5677e83e898a392fea9a53fa20080c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Don't Go Missing,76ZHgB23n4we4gXxLzCrbO,Kung Foo Grip,52zbDqBv1tuK1bG5XL60sf,2.K.F.G.,4Mgou96rbAVyXcQmvN4P6i,6,https://p.scdn.co/mp3-preview/4b647560aaa3567d710a08954b3deb9592fe344f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Humpty Dumpty,1spBip8Ln6lnV8WSlJQokF,Acid Tongue,40Lbiq9N6jsxYezjnzCaKc,Babies,5teGqijuT0q66dyrelQ2wi,37,https://p.scdn.co/mp3-preview/16eafd277afa22b4d885ab95836f2108e8b1a2fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Stutter Step,5q5utOCDozJVcKhwBx2FlS,Antonioni,2Cra5aV7EAlzKE9NZj0RBZ,The Odds Were All Beating Me,0xiariSncJKa41WizBXapd,12,https://p.scdn.co/mp3-preview/5eaed1fce5af111cd2e4db64745c6a96d8355359?cid=fa83a2fec7c440b7a2795d600d6b2c7e
