Slingshot,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
89,Never To Love Me,203Afnag0ajPXl4GtfQQx6,Jack Barksdale,0Xr86XoAGFGXZTAFjr3EMt,Live From Niles City,2cMCfPqxM41NPW2hVvwJrk,11,https://p.scdn.co/mp3-preview/58d59126325706a0e233a47259b6e9edd3aeae43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Ghost Town,49B1NsfYJXX1tJBm8cOI5P,Abby Cole,50u7kcM5TRy0CjZ47EUUlU,Ghost Town,1V9atZIEGxLl5jxerbaubw,4,https://p.scdn.co/mp3-preview/74baf5d1b5a7780c5a92fcda3b33b10e017428b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Grand Prize,1tcchuc0hawKheigZSDpf6,Oscar DeLaughter,3X3ArP0sl6OFgYUAPhjsXh,Self Titled,1nK2ZtyDTo9CkNpXcMlP2K,9,https://p.scdn.co/mp3-preview/f1c027b731010133ef681d1362354ea27290f4aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Fuck Luv,7jqr9TcdTTipRG0oZjNI3q,SADFACETHUGGIN,6xDf0Esa7M6OtKpxtT21eC,Fuck Luv,7ghquVYU3pbc42cjOKqZWk,29,https://p.scdn.co/mp3-preview/81b6671991df0fc767de1257c86d20fecc0a67b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Record Man,66Abr3eN8r3u7pqOgsrgpH,The Ryan Glenn Band,3bcU7vrFC4DCThMtN4LXij,Delusional Disorder,7gHeGYzFlkGuRzxnPySN76,2,https://p.scdn.co/mp3-preview/8bdabf36def7b8be884566403e3d1c15f0860d9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Good Conversation,6Qs2xwLD7FLXWPJW73xErL,Omicron J Trauma,0iMlxshuefW7YpUK1bHHak,Good Conversation,48I8bDTKGrglDXpJOiiUS6,3,https://p.scdn.co/mp3-preview/ed4ee0a4f170a913900a76f3916a477509a124d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,I Won't Give Up On You,3onLvfhhdRIHY3pP3f0E4o,Damoyee Janai,7v5m0UNGVAXdm08eq86Jis,From the Bottom of My Heart,6VXCbHsXxKZeo1XcSKUTPP,1,https://p.scdn.co/mp3-preview/dd3322ae4da6b81d956b1de0409dbeaf01b5693a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Johnny Cash,6BY8ElnJC4QtRJocSFKq50,Frankie Leonie,3t0SKdIa3vr9qTXa2CqLiz,Johnny Cash,053PGmSfmCQAzBIClrhAPT,18,https://p.scdn.co/mp3-preview/3e6c2172bf61508e8b681cee771627233f73530a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Move Along,6R7P4slyIvvYTfwuRql4Wc,Charlie J Memphis,1Akufp0Xkng56ORKg25jml,Move Along,4LMPlZl2Kc3mnyAgRlI4kz,4,https://p.scdn.co/mp3-preview/7d1328a6d88344f000bec198e8c521efaad10d38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Love Songs,6ABrDJwa6iVFuT1O1F9ZUm,Kaash Paige,0f2YkMXwFNJNSX7MymevKE,Love Songs,4vL7paKcyH9alU9RW6oRtg,59,https://p.scdn.co/mp3-preview/e14cb88875a40d26c10c9179efc1cf306c10e664?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Burn,0qDnvrdLBIwgIqOUYyBDRb,Remy Reilly,3287UtPhLNwVUUIz1cOZuz,Burn,2o6DDT58SH8fzN11QyrDgM,27,https://p.scdn.co/mp3-preview/5f4395ca32593f5ab9d07fa4679f8be6120cd6ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Out of My Mind,3qlZgDdqwtxETMG5I2bpxw,Peyton Stilling,7oX58BLYNYrzj11R82ep2K,Out of My Mind,14VvViuUDr9zyRMvTr17yZ,21,https://p.scdn.co/mp3-preview/e39dc26cf870b0ca3d04b07f8f213ac0d9895c18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
