Roséwave: 1969,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,Mother Popcorn - Pt. 1,6mRWYqhRPJVyYpLOLvbtRg,James Brown,7GaxyUddsPok8BuhxN6OUW,It's A Mother,6lN8o7zj38h5pUZ7fAtfdL,43,not available
17,Good Lovin' Ain't Easy To Come By,1NVRTyKvOlh4xleqqvUW2D,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,Easy,4xWQy5s10Udgbqp0ZJQshJ,26,not available
18,Give It Away,1ruJBQ8VifAL4nZjB91pkK,The Chi-Lites,7BFr36uI1dzJyo6tpa5Ued,20 Greatest Hits,5mPnkoXhX4PWuhqVE30vVh,23,https://p.scdn.co/mp3-preview/a10cde5abae1bc7a681b23b57965ee04e106e843?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,The First Time Ever I Saw Your Face,0SxFyA4FqmEQqZVuAlg8lf,Roberta Flack,0W498bDDNlJIrYMKXdpLHA,First Take,2ARWEOvaUgm4FSj25MpY6F,64,https://p.scdn.co/mp3-preview/73866e496e28ca08047660d7df03b7c9a358241b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,The Soul Roll,4aEdS4UBUR5WTKjuHhbP03,Billy Butler,1nWzeAq1znj206rT3xWdwt,Legends Of Acid Jazz,6IzL5Bpz8SuHhOMIjnWSp0,11,not available
21,The Ghetto,1yeIxOEFmpQ3qlOb2R3g2m,Donny Hathaway,0HU0U9kdXEHZVxUNbuQe8S,Everything Is Everything,7k89fD1BB2xQCibsPtSYyh,60,https://p.scdn.co/mp3-preview/d97329687faa3677af19dd8d3177e2c4cc10e87a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,So I Can Love You,0pKhawRu6D5RYTaINzrozu,The Emotions,64CuUOOirKmdAYLQSfaOyr,So I Can Love You / Untouched,43tzlLcK6P1stGMJ5qUI7m,37,not available
23,You've Lost That Lovin' Feelin',5cjppAlVjNvXNnfhuNdQ1K,Dionne Warwick,2JSjCHK79gdaiPWdKiNUNp,Soulful,343ADGfYYyoLedMtdH9PIM,16,https://p.scdn.co/mp3-preview/3ba4b9f992f7559a712bbbcf0ed8db6a25efac2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Cissy Strut,6cZ0w9pFiizS5YvFtCeCeQ,The Meters,2JRvXPGWiINrnJljNJhG5s,The Complete Albums 1969-1977,6MihaqaaCdWh0RazjRdyA5,24,https://p.scdn.co/mp3-preview/481afeac183272b4d5e515f785049c10af694f34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Aquarius / Let the Sunshine In (The Flesh Failures) [Remastered],0HZlND4giwzgolBpaNIRGV,The 5th Dimension,1UUYAQ9LiRsZF0ZukQNWXM,The Age Of Aquarius,1kVipwgtVNAaHM7Py341Ch,58,https://p.scdn.co/mp3-preview/e43fd0e2b68aa2115dc6caf55985ff86b5e3442b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
