Now Playing at Warner Records,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,8201,warnerbros.records
1,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,89,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Routine (feat. Rick Ross & Meek Mill),5MqPHMhLXyZDDPHMGEF6MQ,Wale,67nwj3Y5sZQLl72VNUHEYE,Wow... That's Crazy,0JRDNN0AuZZiwyrOWkNDXC,62,https://p.scdn.co/mp3-preview/3fcd0bc3f922c1cc188cc5f52dd0c2d558ad8615?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Joanna,50MCdJc0nw3DMnzmIJkEwi,JoJo,5xuNBZoM7z1Vv8IQ6uM0p6,Joanna,60vuMJNIZ4WYdKRiKm9HQg,52,https://p.scdn.co/mp3-preview/a936fab135a5902e75d5427760d68d523dec0c70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Becoming,6lJbHxypCGCH4rppV1gCps,Diana Gordon,71Ug2zQHWlJFjNCK8swHfL,Becoming,3qNKX4RL9T4yyOpPpRed38,52,https://p.scdn.co/mp3-preview/1904f17f9b463b2cc1acfb2a60ebab1237744fe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,72,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,75,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,STUPID (feat. Yung Baby Tate),6qNB2ChCVPepl5ZjVJJTUW,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,"Hi, It's Me",5eKuModdAdZRmc51241r4D,77,https://p.scdn.co/mp3-preview/61b13f60bba8b0c04cce0cb5e34a3c9e06482610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,My Type - Dillon Francis Remix,5hCrn9mce5ezuRaP6lMfDR,Saweetie,6cK3NBO6uP7hh0oyuVELFl,My Type (Dillon Francis Remix),2AI2UeiSvsbybQ13tdnHCK,36,https://p.scdn.co/mp3-preview/572c9183ff710885e8b164a1223c0f0dc8b112f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,UP,6goojh0DIp1jAaqXBNrd6J,Baka Not Nice,3yvCFkK57FXH7JIwZQ5CmU,UP,3xbRlt8aMesxgNblRkzd97,46,https://p.scdn.co/mp3-preview/4a6d82c58f75b2db9a2f1a2cb6d660906bedeb5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Looking For Love,3u7WPMzK3sSLlbt3F19vPB,Carlos Vara,42hROq8g0GtFMMYaHHQmrq,Have You Ever Seen a Boy Break Down?,6h8TTXMZFnJADFw5Ilf44o,22,https://p.scdn.co/mp3-preview/73b7d6b343b51fd353dfce817f2ea1a051cd433d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Superstar,4EYvuvqzUepdNaUlUZKVve,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,Superstar,45ScJwTLqnrTpmsjehHPHM,65,https://p.scdn.co/mp3-preview/bc9ac69e0dbf531a29d55286aa6e1ba08d0d2818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,73,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Thunder,5dSMIKHTQEE641IEpWKEOh,99 Neighbors,5uhqkMm8dyQvX83kl4Znq0,Thunder,7JCnCy4ac5H0yN4WTHZHD6,43,https://p.scdn.co/mp3-preview/3ba22349393f0869cb765b3bc68e77a3d90993bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Jump,7yEM9hYRsw9R3pJB5W0gxb,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Jump,1y8yeYpcaqJB0DWN9KWUlb,68,https://p.scdn.co/mp3-preview/702b54763fd2a3c7d429ed3b2d626bb69a0f9492?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Father of All...,4r59yc67nric1MZQ2igkhx,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,33eDyKXqDYRHeu8cq8ToRl,72,https://p.scdn.co/mp3-preview/b16f8b71d4c25172e9dc53b2e578a597544b76b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Bubbly,2rGgIteiX209jWcsbS1MXq,Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Bubbly,61EUToVfhT7of9Dnd6WP1O,66,https://p.scdn.co/mp3-preview/1c153d5f4759fd0ccdb8b1eb642f772094ed038c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Compromise (feat. Sabrina Claudio),4knQ536ymVE6WJTlmTlISw,Gallant,7wFDo161xYdeaiLz3KIHoM,Compromise (feat. Sabrina Claudio),5sTglsazSFT2Wkvc7cbKdA,59,https://p.scdn.co/mp3-preview/8afaf618ec61d83c08ca62334693d9730aa34c92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,24,3pX767GK22EHwYEYLNEuoo,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,60,https://p.scdn.co/mp3-preview/4f361054dbc2989ceabd146c26aeb8935b67ba38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Ripstick,6VpixOqGbywfTDhrUAT6S0,99 Neighbors,5uhqkMm8dyQvX83kl4Znq0,Ripstick,6mYrasjAeYYHETr84VTOVm,56,https://p.scdn.co/mp3-preview/cd58aeca0a809740af383373b9ced6e3630e3c3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Subaru Crosstrek XV,7fboXPGYCuHwv9o2jIsJft,Hobo Johnson,05SdqPzK4m3k1ljK2wrTSP,Subaru Crosstrek XV,408PFGX5r6Q7KrCA1gWZ5Z,62,https://p.scdn.co/mp3-preview/abb1f26de421b66d2436d319568d59e88913279b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Digital,7GcbUQUvw2TIfmDfya8Jgv,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,63,https://p.scdn.co/mp3-preview/6f1e7795e3e9d6d1d0048b68606a8442cd4bf62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Sleep On It,5S5Cf673GkmYWBJNcGAVuP,Gallant,7wFDo161xYdeaiLz3KIHoM,Sleep On It,6PBKOpCw2Hs1kWsNW9PsW9,58,https://p.scdn.co/mp3-preview/cd1887c33e14fd8b0150eee97f2e7c9cfe2fd73c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
