New Music Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,203480,spotify
1,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,87,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,75,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,82,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sims,7sJwGtoWgkVRwzujlyT3cp,Lauv,5JZ7CnR6gTvEMKX4g70Amv,~how i'm feeling~,2ASTOinfP52bAbWPzXmjYz,70,https://p.scdn.co/mp3-preview/6c4103a1d4ee6272c1f29f991a90d02c6bfe5275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,71,not available
6,Overtime,1flJa1SvgmYzlLSa0AXgJ9,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo (Extended),2rICHwivbZlmMnzEDmGNXX,64,https://p.scdn.co/mp3-preview/836d4b8526deefee6686146b889f4bbe3bc790bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Nice To Meet Ya,3KrYBAbfxlssMirZLs6HzZ,72,not available
8,All My Friends,70pP6E6VvznsfrSsznnQnk,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Without Fear,7jGNAMzrW5HMXdxl9XyBMG,65,not available
9,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,72,not available
10,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,67,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,70,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Ride (feat. Kehlani),6FmnsSVdJJojBYzecDlpPO,YK Osiris,7meyrw7Or5DwteYxDJrkCM,Ride,7MWDbgk0WUzO5pg0g3H2cX,60,not available
