Dancehall Official,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,825148,spotify
1,Toast,3VEpRXloN4rbzNRPSQzZFW,Koffee,1gWjcmBsveEYMxOZ0VRi32,Toast,5wrjX4P4iirfltdwKC3VOc,41,not available
2,Boasty (feat. Idris Elba),7cz506PyIgh2bMN90Mc8Tn,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,Boasty (feat. Idris Elba),7JoyVaXzxpgTPjkgB8mWk3,76,https://p.scdn.co/mp3-preview/c5c6bfce58de92ec322568b3af849311c853fab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Blessed (with Tyga),5imCvF3VHty1TZ0qaE1JEj,Shenseea,1OFOShsIbhy1l5x73yuVyB,Blessed (with Tyga),7aTeShQY6NnCiFmjYluvcl,70,not available
4,Shape Nice,30pqcW30krzzm5ggiaPWnn,Afro B,7oMRcCu0OYSCtCyS3P37iC,Shape Nice,1TrQS3s6nGup77dYikWyTI,60,https://p.scdn.co/mp3-preview/e440cc5ef009b9ae07d4a5b86d737662a5656779?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Bounce It (feat. Stonebwoy),5NpET8pwPjwxU2XD1W4rT5,Collie Buddz,5Ayl2bJtN5mdCsxZoxs9n1,Bounce It (feat. Stonebwoy),6tBI6y43IXJ1GMUeFsiNEf,35,not available
6,Rapture (feat. Govana) - Remix,3ax46NPMcayblVzLaMu83f,Koffee,1gWjcmBsveEYMxOZ0VRi32,Rapture (feat. Govana) [Remix],1hAT99TKiySWeweQZ2yGqz,61,https://p.scdn.co/mp3-preview/85ddb502c74b4dfe34c3f423d600647f164e03f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Shot & Wine,1M1k3Sxtf7u8Zj3eIzrJm0,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Shot & Wine,1bkP3XCKZg4v9fywRkiS1a,64,not available
8,"Holy Mountain (feat. Buju Banton, Sizzla, Mavado & 070 Shake)",6WAG5lxW19aok8cQ299ufE,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Father Of Asahd,4vuV7xWL4TDaaO412nbhuK,19,not available
9,Simmer (feat. Burna Boy),4JSEMSiKPVcIEBQIlmGuI3,Mahalia,16rCzZOMQX7P8Kmn5YKexI,Simmer (feat. Burna Boy),1l08IrLHEL9QQfsYBEs9MM,73,https://p.scdn.co/mp3-preview/27decbe2ead96b166523cbf973b9dc08ba84444d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Peace of Mind,0mdTvlebd5dVjieu6Hezq6,Sean Kingston,6S0dmVVn4udvppDhZIWxCr,Peace of Mind,4dZSgV0eNxy6mHTt9HgGme,62,https://p.scdn.co/mp3-preview/b763ae8ce6b400b5ae782ec88d7fc3483742dd9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Inside,1epGf8W2CmiJ8zh4kEvDUj,HoodCelebrityy,5t6cgFa6vbJbNuxUTgT1L9,Inside,1LRCOmPYIVfkNtKjSmaYuW,54,https://p.scdn.co/mp3-preview/8b89f2d095241108b2b3295f6471be7131ed7b7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
