Gold School,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2071150,spotify
1,Juicy - 2005 Remaster,5ByAIlEEnxYdvpnezg7HTX,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ready to Die (The Remaster),2HTbQ0RHwukKVXAlTmCZP2,78,https://p.scdn.co/mp3-preview/04edad628874515d2316e6946a2f815f645328f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dear Summer,5VkuqayHiiU5ZHyYEH4Oeb,Memphis Bleek,4jWzNq3sdzSpqn7BnzvIKn,534,3toLn9BAnrscDsY8PoDLXM,58,not available
3,Ain't No Half-Steppin',0dNiLb9FEHrRK7VFDJctiR,Big Daddy Kane,6futYSDVulYR2PktBjTB5W,Long Live The Kane,5STvD2F7IQ51f4Cd2y5r3z,57,https://p.scdn.co/mp3-preview/9e0241178a2a399180f7440cdaa614ad68a1b2a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Who Got Da Props,6Xio661Y2iL7SDKFFOG9cv,Black Moon,2yN6bq26wynQcRuPkBYTDb,Enta da Stage,6WqXR9PUGCCQe26QDL5gY3,58,https://p.scdn.co/mp3-preview/2c381515b49ddc5ef8f92978e72a57541947ab92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Breathe,7fuoqve1SOEBmhc2PoQTF0,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Real Talk (Explicit U.S. Version),0852dsZQyLOGmvotlvOvoA,57,https://p.scdn.co/mp3-preview/cb6fe7da91a8b09634f79e0dc042e175a621191f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Crush on You (feat. Lil' Cease) - Remix,2LP2uDQQ7eLMcUVE4aOpAV,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,Not Tonight EP,6ziNUlW26RQhiHOdJpSyVD,53,https://p.scdn.co/mp3-preview/0a11e09ff84b1947183e8e15a89df5a1b621d6df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,I'll Be,6Ag4SYLUGFdnJrCwUIb4mT,Foxy Brown,1wvlC6NwleHt1iRD6d5X2C,Ill Na Na,6qLC4weRVEetELyQQgkAMk,56,not available
8,Put Your Hands Where My Eyes Could See,1NHwvBmrUje4L1dxfWnXCH,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,When Disaster Strikes,6nPdlsKWGOFepgMMXTZReP,64,https://p.scdn.co/mp3-preview/5ae053e6e0d3bf3cd061f517038c053ce6fbb4ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Brooklyn Zoo,2FWmKZ3kNbVsKGhuNHsltW,Ol' Dirty Bastard,50NoVNy9GU1lCrDV8iGpyu,Return To The 36 Chambers: The Dirty Version,4tI4WJdTN5MzDMRMl2i7VR,62,https://p.scdn.co/mp3-preview/f2485e6907d446c1725620ff11d23bdabc5df2c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
