The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,327469,spotify
1,Bad Heart,57Ky2Y8zqApk6Wz29Rt05c,Overgrow,0JF3phIHeUwu0WwMBGvegA,The Name We Share,6vW7iTJmX0pWVusTt7bOMk,20,https://p.scdn.co/mp3-preview/6b79bfe0013aa5e015c5d7360be40c85568008bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Strange Love,1y9AS8gXPuF8sn3K6Awbyb,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Strange Love,1j6QSpMFpwtR9SEZvGgR4L,57,https://p.scdn.co/mp3-preview/9d92c67124e76594dea39e77d2b1740fe4f0463c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Golden Age,7kRYQJmeP8br0ZZrDXl8cX,The Story Changes,4ESrVjoUNUtw0QUZl6t3nF,To Hell with This Delicate Equation,53RDG8S4bVMArK8jN7o21x,25,https://p.scdn.co/mp3-preview/c12de385ef5588f08174187f1322ca3fb14e22d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,First Blush,7z36vq5UIi8kHhd8ipG2L5,Locket,6h0cRpTv4GFq0zYbCbsDXy,Disappear,3CH5aysv7LcybjuywWJNv1,24,not available
5,Lavender Bones,27wvnSTpsyS9k06aDtXvt8,Stand Atlantic,1W2Fv4YUnjC8hx2qQd6fGh,Lavender Bones,6CvGI6E8zQzbHLXPEsWnnt,48,https://p.scdn.co/mp3-preview/5bd9a9b4938f00c0505ce167c9004d0a594a32e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Heartbeat,0GTN1pUhCHBBC2nOKCtxFt,Have Mercy,2UvzehEVGcYTPKNwJSZ2kM,Heartbeat,58Jj06chZroknlToUAFtwp,31,https://p.scdn.co/mp3-preview/671ab94c09a84e27452c24467f6bd522d4377b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Seed (Rosemarie),5o0ahcfMrZiYHgXqBK3MWu,Certainty,7EV1shS1eQmwnlC5iYMYuo,Temporary Love,59HyUqcYq4MkGWKGL7VuXQ,22,https://p.scdn.co/mp3-preview/812678f0e81a9de0a3edff54e50d1b2483b915d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Misery,35IeRS1gEcZizb3Wi7zAcf,The Comfort,4AdKPbj3YEx5r1vfB63R4q,Misery,6mjYavmgTCz4ZvYLXPf5FS,24,https://p.scdn.co/mp3-preview/17050c470c9da74ff6de146e1518684ec2bb43e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Awful Truth,1FAlry81kFuC6ihhhpVAtM,Catholic Guilt,5PCZtucj9Akr6zuVUqXYQZ,The Awful Truth,0q8RzansKF3z4GvL13MxmW,20,https://p.scdn.co/mp3-preview/459cd3cc30a7a0c721b5c4d927da4821bc227434?cid=fa83a2fec7c440b7a2795d600d6b2c7e
