Black History Salute,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,245009,spotify
1,Ego Tripping,2cleIFMT2K7fLe6dGehsvQ,Nikki Giovanni,06rw1GLIJu1xfIgO6iI7RG,Nikki Giovanni In Philadelphia,0kK5qOkixiaSZ7HhUdYF8Z,18,https://p.scdn.co/mp3-preview/85ad0189195fdfc769b01d38ae773274bb836e69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,GIOVANNI,5djKvDxjAywbUAFlduFngq,Jamila Woods,4UodukR17NIQfNu5uaqm9B,LEGACY! LEGACY!,5NzK7S7oQQnO8eLRf7kDJx,42,https://p.scdn.co/mp3-preview/813892e8059a936d38c4f391d0005fb417ef86c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,I've Been Life,5WZh0K4KfPRX4uKCUrFrfG,Cody Chesnutt,3sO8muEXafy2NGwUZByrTr,Landing on a Hundred,37ay1Z8l7tLLcByUsukF3S,10,not available
4,It's Your Thing,2oezpnnea1VXHpJEbqnBhw,The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp,It's Your Thing: The Story Of The Isley Brothers,21O10zQ7YrFOTgfyRmopHs,59,https://p.scdn.co/mp3-preview/e09bfcb6a0c7de1fa955848d191d966c6490143f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,I'm On,1cuwhQ0sMe8qmW6Ixt2y3m,Kamaiyah,3XVpDdKav6C6zwlDXPhMEO,A Good Night in the Ghetto,1jKclz9xknsgxOK9XGAXRi,35,https://p.scdn.co/mp3-preview/867e3854e79be010d2158ef3920871b7c1945678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Pick Yourself Up,22YesFAvecv7iOvx1g1REX,Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP,TDT,7DUNqEpnwePiDrwO4R1xz3,45,https://p.scdn.co/mp3-preview/582fe2fc8397a7705e341b85359751965f202c78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Institutionalized,4oFtLSgHyZPNYDCcANhTnO,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,To Pimp A Butterfly,7ycBtnsMtyVbbwTfJwRjSP,60,not available
8,Blaxploitation,1XiKRU9Dg7QPlGRSWbfXgo,Noname,1EpyA68dKpjf7jXmQL88Hy,Room 25,7oHM3Sj0l2nXAzGAxW0KOt,27,not available
9,Is It Because I'm Black,2tqd5MGF8wXhpHoOKXoF3A,Syl Johnson,6XItHNeKXecnFpkJHOn5JL,Is It Because I'm Black,076qHSzvu55zhfDwgOGiv5,47,https://p.scdn.co/mp3-preview/4abf966a472857a8ffd56d35bfd88a2da4d2f291?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Crack Rock,5lcyIeEfwZTs8Ajw3kdF7P,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,channel ORANGE,392p3shh2jkxUxY2VHvlH8,59,not available
11,Gwendolynn's Apprehension,5CjV03o6e1Ja0zLdttXVji,Mick Jenkins,1FvjvACFvko2Z91IvDljrx,Pieces of a Man,2oenkFNS8GLDubNAn2gxQH,50,https://p.scdn.co/mp3-preview/d0bae654ae2d1744bbe05117baf732124600dc7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Blk/ Wooomen/ chant,3iFDHZ8nurmotwOdupbH0f,Sonia Sanchez,0hvH9P1nlB5xrNdlXwZ22P,A Sun Lady for All Seasons Reads Her Poetry,2m7s5UIx3Jhri1or9QRyuF,15,https://p.scdn.co/mp3-preview/6b33b0a85f42772a951d758663f79a22e5d91c4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,SONIA,3y8S3fMTBYd94PwmMdHtr6,Jamila Woods,4UodukR17NIQfNu5uaqm9B,LEGACY! LEGACY!,5NzK7S7oQQnO8eLRf7kDJx,40,https://p.scdn.co/mp3-preview/698d49ec4665fe9a87caa9f14374cc3cf87cef12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Wash & Set,7gLTmWuCVj75DFAzgXa2Mg,Leikeli47,0DtXHIvJ8NWBg5pGvsgWnR,Wash & Set,1VAZdFNZ1t5BYugJ3NfaZh,53,https://p.scdn.co/mp3-preview/f7d94c0cf00086158c3cbdadcfd42bdb4805c1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Black History Month,2v8AAFM55qPYv0uzE0Uk84,Saul Williams,11K0HIZKfdB6ez0VhIgxPm,The Inevitable Rise And Liberation Of Niggy Tardust,40Hyq2XWHHXJ07Ofap0gIe,23,not available
16,Mad,22DHmfJa31hKpc2Lg0gVBV,Solange,2auiVi8sUZo17dLy1HwrTU,A Seat at the Table,3Yko2SxDk4hc6fncIBQlcM,58,https://p.scdn.co/mp3-preview/d38eb3195050c576aea2e276bf1a4f422459c05e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,BASQUIAT,3B11HLD8nKerFzXwMuszi1,Jamila Woods,4UodukR17NIQfNu5uaqm9B,LEGACY! LEGACY!,5NzK7S7oQQnO8eLRf7kDJx,52,https://p.scdn.co/mp3-preview/1da2ee2c56b6920e65843c02733125e1f2b4e846?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Treat Myself,1kM8oh9dti60zxcviUK9Rh,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Conversation Peace,1AjRRHn7aHgPxBWHlF5sO3,23,not available
19,Bandy Bandy,5UGxudOejfGzdgfcPQJJ0J,Zap Mama,5UUHefXYUqgqmROQvDmJLL,Ancestry in Progress - Disc 1 / Zap Mama Disc - 2,2IR9rghQNNxHllQxk95O7j,27,https://p.scdn.co/mp3-preview/29f2bb5aab81ea9d4900f9155b63c27630b468f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Waterfalls,4RuYZFABDinD9tFTNBFfFF,Meshell Ndegeocello,0uZRjholJ0fVC2J9EvnYnj,Ventriloquism,31HcIpZ9GOo9aKUPYwV3kG,31,https://p.scdn.co/mp3-preview/c7c78ff658fb4c0783f82b3ade2ff99526bae75a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Smells Like Teen Spirit,5SmYRW8JySpZnsg0yzEFR5,Robert Glasper Experiment,7vZ7qmfXiu114lY0qm7rOe,Black Radio,1yqUCdbw73DpnHBVDwNa3X,41,not available
22,I Too,15dnUF1FvZ6tbth69CPW4T,Langston Hughes,1mNcebzTg5QlHEY4WYhLSm,The Voice of Langston Hughes,47svgVhdLaB00HOKFc4Bo8,14,https://p.scdn.co/mp3-preview/d92bc244a5e3a517db206e94860cc6efb4d20bb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Django Jane,56RfNBJGUgL1ZFCB1KEJrQ,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,56,https://p.scdn.co/mp3-preview/1c4d67fb67f650a233ee0e00d3a84f8d9453da82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Phenomenal Woman,5UKaekWw9wkPts9iORegbP,Laura Mvula,0Dy94lW3txJhWQHqNXP1BT,The Dreaming Room,6CUIs9W7jJk0gtb5VzHlJ6,37,https://p.scdn.co/mp3-preview/e2bb9f1abd086632b916b576184115231c8b8586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,A Song For Assata,6dhfqStWHETvJWNhhLO1Qc,Common,2GHclqNVjqGuiE5mA7BEoc,Like Water For Chocolate,0ZSwTSaR9VUe3uYsXNQgub,29,not available
26,I Wish I Knew How It Would Feel to Be Free,5CKHhg31HcYYhwUeeGqvhq,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Silk & Soul,2miVfa78vOd0o8Vbsgd7g3,61,https://p.scdn.co/mp3-preview/6d27653deed8fba91697e3ab2987aaaf1193b5e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,BALDWIN,4Kfdvb8Qgq892AhIpG1fN3,Jamila Woods,4UodukR17NIQfNu5uaqm9B,BALDWIN,16SqpFQesSwuJ0iohsxIbF,32,https://p.scdn.co/mp3-preview/6cc7575c9c0a3c9a0bcbc5daeec394cbfcd80713?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Superfly,4XsH9zBWPOCdXoH9ZDdS8r,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,Superfly (O.S.T.),5ljIGCRRvS48V4ADzPGav2,55,https://p.scdn.co/mp3-preview/4ab4720efd311ee87a1fafe4ed7f65605addd8cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,They Say I'm Different,7yQpHgbDPweCZhTD5ZtXES,Betty Davis,5Ryxgm3uLvQOsw4H5ZpHDn,They Say I'm Different,6cnH06Wxjb2QqUHFa8PEwc,49,https://p.scdn.co/mp3-preview/d64c57a595e566353d0f8a1a612296eef2a3c716?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Formation,6g0Orsxv6glTJCt4cHsRsQ,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Lemonade,7dK54iZuOxXFarGhXwEXfF,77,https://p.scdn.co/mp3-preview/470cfb59470d8313dc99634c2845170b56a8762e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
