Workout Twerkout,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1607457,spotify
1,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,84,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Wish Wish (feat. Cardi B & 21 Savage),6pcYAFkGyFRCrmcXk6iauq,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Father Of Asahd,4vuV7xWL4TDaaO412nbhuK,34,not available
3,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,66,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Cut Up (feat. Tory Lanez) - Remix,5VLHz9vAcU4xq5VKODueYX,Blac Youngsta,41klVmDluQZmGGqoidNfbe,Cut Up (feat. Tory Lanez) [Remix],1fF2G7cQgaQvm9vHW8QVtj,60,https://p.scdn.co/mp3-preview/43858e1cf800b9cf191b0285161a696653d3b6f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Good Form,19Fcrc0nJiwMKom00gS9SW,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Queen,2acDkDTWdNFie1HjcFa4Ny,66,not available
6,See Sum,2eJB4I0i3gsInEn2JMF2iP,Mulatto,3MdXrJWsbVzdn6fe5JYkSQ,See Sum,0z8TJbXQXLyjggxIpZbZ0o,52,https://p.scdn.co/mp3-preview/57aee0d954bc5c543b1d8c5e8d4e1e76d846141f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Money,2GGMabyHXnJmjY6CXhhB2e,Cardi B,4kYSro6naA4h99UJvo89HB,Money,2drqVzCt52KiDxKgl0Rq0P,81,https://p.scdn.co/mp3-preview/98ae39c7808d3c596f59e02311236f04f5201940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Give Her Some Money,6hrHoJmuISU9FhbFxGgrr1,Maliibu Miitch,5J1JcdYCPj44YKz6kVA5wx,Give Her Some Money,5CbwRtRBOpaDOl2yuKvOtw,59,https://p.scdn.co/mp3-preview/cc43b78e1f0f5ed4f765c2bcd6c38a7809083236?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Act Up,4eIT2gZ0WZyJpgfmoD6saJ,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,45TU0GIOO5AxFoiOPk08i1,19,not available
