Are & Be,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,FREEDOM RINGS,3f9eR0IZrktbCSqPfxM9jr,Brandy,05oH07COxkXKIMt6mIPRee,Freedom Rings,5yK7v9cHza2xr079MbaOCR,59,https://p.scdn.co/mp3-preview/ef180be38b1fe865ad4b4a53ccb52eb28eecc26d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Racks (feat. YBN Cordae),2rTjKV5wbfROo0nOzO1wHq,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,Racks (feat. YBN Cordae),5ixUfKMlE7z5djoQf7kP4k,70,https://p.scdn.co/mp3-preview/fe9992bdcf3e98376192f9682dcdbf1a23a852c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Why I Still Love You,30QVousvHxslg00I7dNLU2,Missy Elliott,2wIVse2owClT7go1WT98tk,ICONOLOGY,6t1leWJ43SjwKoKRL9YWiX,64,https://p.scdn.co/mp3-preview/cfe9068bc2bc72c9793e9817d03a23be44d57e0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Stretch You Out (feat. A Boogie Wit da Hoodie),52mr2VZIJT9SXCuTgQ7KFC,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Stretch You Out (feat. A Boogie Wit da Hoodie),7H6zTjMHK9DSaTZwA9SZbH,72,not available
21,Girl Of My Dreams,5I9JpRapHDULuFxOqkjP5m,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo,1BfLzaTFI5qKsAAk0Ae6aV,71,https://p.scdn.co/mp3-preview/4b6a1f6a342153e9d5547ed83277e229fceb4833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Love Riddim,59zN1921ag2pVv80Oz3sWz,Rotimi,1xBARhKI09ZTmeePVDWMCf,Love Riddim,0FtaeZat9rX3tooDlGtzWM,68,https://p.scdn.co/mp3-preview/4646809ddf9bffed8dda7f2367064785a50a2a65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Blow My Mind,1xJTW86sJ1OoloXeOret6t,DaVido,0Y3agQaa6g2r0YmHPOO9rh,Blow My Mind,31Z5vOXMKPSZjpERQHtaSp,75,https://p.scdn.co/mp3-preview/73ab78bea00407603fda8bf1bdee1bc31eb37042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,CYANIDE,3uouaAVXpQR3X8RYkJyitQ,Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,CASE STUDY 01,4mvxoogQn8p84Wz17zTHnJ,73,https://p.scdn.co/mp3-preview/f46092682053fdc38645a6e3379e25aed6b970aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Imported (with 6LACK),5zXmmhtXrhDbYnScaYpqZg,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Imported (with 6LACK),29vt4BpW3GYX7hHCbFkhfg,78,not available
26,Girls Need Love (with Drake) - Remix,0mfCH4nfpshBQR9ueZP5eP,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Girls Need Love (with Drake) [Remix],3i9w4RgUuxBxUVaarH91kx,18,not available
27,Know,6SPRv1ARom2ChnujUIVUjg,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,Know,65JdepaCEar3u2L8G4ITjY,59,not available
28,Leave Em Alone,1bIEvOOqf2V3QBrFiClE3Y,Quality Control,6i392l38cR3uBPF0DbNs7S,Leave Em Alone,5KUB5SrzL7i7vNlUFd0wXH,70,not available
29,LOVE AGAIN,2fhePAlCSsJplwkjqMYpVm,Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,CASE STUDY 01,4mvxoogQn8p84Wz17zTHnJ,75,https://p.scdn.co/mp3-preview/120a0e33e9f75d808bf1aab3a8b5af28b9a2b829?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,You Can't Save Me,5LKzqs734Xs528hqK8bGS1,SiR,3QTDHixorJelOLxoxcjqGx,Chasing Summer,5zUDvKAyEKkrhYLWJJWGPQ,67,https://p.scdn.co/mp3-preview/65cf0682c523ec2bd9cca6e0dfdc1b3c4cc27b79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,BUILT FOR LOVE (feat. Jazmine Sullivan),5LpLw3R6TDlvmOIsgeCNjy,PJ Morton,2FMOHE79X98yptp4RpPrt7,PAUL,1KcrRVDTURK888og82oPwg,61,https://p.scdn.co/mp3-preview/9d8e8590529f880f9f8afb365885975461d48961?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,I Don't Think You're Ready,3cBDXeBa5jR7nCks8KQQrN,Tank,4mwXUEKaW4ftbncf9Hi58l,I Don't Think You're Ready,4254aK6cnGgGZGPSyVb3Pq,60,https://p.scdn.co/mp3-preview/408a4fe51386e533d9a8f149173f8c53ef6e74ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Time Today,1ENwTLdSFBmbIfmiK6o6Ue,BJ The Chicago Kid,07d5etnpjriczFBB8pxmRe,Time Today,4XmIG6EqLRDjTGsG0i8Bu5,60,not available
34,U Say (feat. 6LACK),6eKQpHfI07oX6KEJRGWDtl,The Bonfyre,4oIGrMYn1N1xPNYVXcaEZJ,U Say (feat. 6LACK),6yYnbJJKEoTpvxUTZxfQUl,68,https://p.scdn.co/mp3-preview/a78f2002e70bbc511487efcd9e98e66e9c2bd5e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,All Year,5LbXnDbn75IQSm5FCTANHd,11:11,5gsyao2Qm21EKylbVIuRQ3,All Year,1JYhw4YmgK4v3Fqmq9lgAz,64,not available
36,Something Keeps Calling (feat. Rob Bacon),2TuRqxy7EI8gMGDQFt3iTV,Raphael Saadiq,6g0Wah2YFtb1rFgKhUktlo,Something Keeps Calling (feat. Rob Bacon),2bbtGylMVav9dn2QWNiGIw,64,https://p.scdn.co/mp3-preview/6c26e161f3fe1feae064724733eb4b35488e746b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Purple Emoji (feat. J. Cole),3OJ4LEE50iFELaHiZ09zif,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,Purple Emoji (feat. J. Cole),5tcLbrane4ipoQy0liSuNH,76,https://p.scdn.co/mp3-preview/a3542482492bb8af7ff2531770595c54f4ebcd5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Just Us (feat. SZA),13L4184XlA7KaHQdMJx6br,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Father Of Asahd,4vuV7xWL4TDaaO412nbhuK,31,not available
39,Before I Let Go - Homecoming Live Bonus Track,7LikBkHerFGZ58QHVOKp1t,Beyoncé,6vWDO969PvNqNYHIOW5v0m,HOMECOMING: THE LIVE ALBUM,35S1JCj5paIfElT2GODl6x,69,https://p.scdn.co/mp3-preview/4bb6a5c6fcf0d79f15229ae3c55776cce7a58d2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
