One Hit Wonders,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,58,hot97.1
1,It's Goin' Down (feat. Nitti),05Sgj1Hx03ZXc57gsV1kfX,Yung Joc,23LbwefIODbyGdRbAz3urj,New Joc City (Explicit Content U.S. Version),1Lr1TMh8vcdD3OvrzQTGVn,67,https://p.scdn.co/mp3-preview/29b704def664479fbf634d2a74c210ff39d57dde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Move Ya Body,2ndnVdR8si7CW9T8vJRHyW,Nina Sky,6eBYLQONaYZhZNAVK061t6,Nina Sky,15Zjx7K5ifTVmXa3Nk5B88,67,not available
3,"Never Leave You (Uh Oooh, Uh Oooh)",1AjQE5MtP5jHQMyDepbvLI,Lumidee,1IO0GVa1xjkFMXsg66FiE9,Almost Famous,6rqhiXmQNt6YmuavJhCVNv,60,not available
4,Hit 'Em up Style (Oops!),3flAV51ACbtIcEixb0QeZv,Blu Cantrell,6vytZ677lz4LzCrUDcDokM,Bittersweet,3UviDOQkc4WbXkNi6DIBZu,51,https://p.scdn.co/mp3-preview/b45731b31c5ad4490f954e42954f593d3ed4bb54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"My Neck, My Back (Lick It)",5r29mFrurlVBbqJzjr2XW6,Khia,3q7isf09BuwXLyR2khBs60,Thug Misses (Digitally Remastered),4Xa2dq99gQqzGj4vq0rGoV,62,https://p.scdn.co/mp3-preview/58bac5ab381baac9c76d5be23768b49337d107ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Déjà Vu (Uptown Baby),33i1NxhGadaXhPgJaiD6ad,Lord Tariq,5EC3MUN6vECf8sxUU9IVw6,Make It Reign,4KWMxsh4rouk0fttqn4c0p,39,https://p.scdn.co/mp3-preview/17c84bea6623a36012829fefd2b5152e7b3dfdcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Whoomp! There It Is,0wcVlEVsOpYXQWZnXgRjxm,Whoomp It Up DJ's,00monHkaXcGOdGlmPJiCP8,WHOOMP! (There It Is) (Salute),4hWodNu5yUKFzBZQCkFfDh,24,https://p.scdn.co/mp3-preview/c2f267788635efbad3ef16f9ee5cb6fc24b55da3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,I Got A Man,4iAYo83eWlktjw97oebIal,Positive K,5NtJpNZgRqBvRCq6OE08ZU,The Skills Dat Pay Da Bills,58UVlAF336Gl8lSabnvwMV,46,not available
9,Duffle Bag Boy,09lqmgrszQIGrS5tFlrmhE,Playa Circle,29WRLZEHkCncrdBhb0JcdC,Drank Epidemic 7,5G5Pn1y30Zh9ZWHwMfFVBp,52,https://p.scdn.co/mp3-preview/eb27da5e71f88fdfb24a3bc3bcac24f8f1d7046b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Tell Me,7aXXjA800sXYKpM8D9pCVT,Smilez and Southstar,2ZwdTnCl6ck2cEnTNRL09I,Crash the Party,2tjXTKIUkNfzhWA69MHaXo,44,https://p.scdn.co/mp3-preview/469198c887356f57c8ee96bb28b1ffc02061ee2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Never Scared (feat. Killer Mike & T.I.) - Club Mix,4kmIO0yPq92dXtKCL28RfC,Bone Crusher,6cwlhbT6PnscdmUYCLUJsa,AttenCHUN!,1tHNA1zsv6EKLHAR1idmAi,55,https://p.scdn.co/mp3-preview/b71a3fd08d85f7f5883378c9bb6dcf5011637479?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Wish,3LklW07tvdx2AHsgfi1Mng,Skee-Lo,55Pp4Ns5VfTSFsBraW7MQy,I Wish,34hLOvajp6WQOGlt6CNLSA,63,https://p.scdn.co/mp3-preview/167a42213add8b06d1660aca5be4cd3112fbd140?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Last Night,2mj1Z5bqu0UfW4o4a7UxpW,Az Yet,4UGMQyNcbGHYg5CDMKkSw3,Az Yet,0OMxYaCIggV2z8aOKbGbEk,48,https://p.scdn.co/mp3-preview/60ced94c96651f45afa72ee5223465b203209cfa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Jump Around,3TZwjdclvWt7iPJUnMpgcs,House Of Pain,0AuW7OCyKfFrsMbtHrYgIV,House of Pain (Fine Malt Lyrics),2z37UnazitI7yDEF0IjE0v,75,https://p.scdn.co/mp3-preview/8c0563c907c9415db2c1f73220340325d27dd84d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,5 o'clock,7zF7MBcqZajPu76t50tdkX,Nonchalant,1CLDamRUJGkWkM3STSpz1P,Classic shit,2lOeCkOo7Lq6Wz9bMWp7m8,25,not available
16,Whoa!,71u5SjnkSQgzIt1UzHchbi,Black Rob,1QPZhx0asYTBxD5RDqfU49,Life Story,1MSBtKtGF1VLBtSLgwcwKR,55,https://p.scdn.co/mp3-preview/3374c806fc8028af9c7ac4b2cb8869ed415427df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Put It in Your Mouth,0G2AuXLiwG8CDccAo3ZeiL,Akinyele,3P8PFi9LRirEf3JiEDOHZM,Put It In Your Mouth (EP),4yn440my0xbQEb1ueTBVB8,45,https://p.scdn.co/mp3-preview/804058857f5ffcf0b4776cdb50549168d31e58ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Heard It All Before,0xikWgPgYN9BEes0ieZ8Co,Sunshine Anderson,0hnmRa5ahunapQbPjKUbMK,Your Woman,2y7sSNd02a5uTfauRPY0lp,55,https://p.scdn.co/mp3-preview/f0337b9aa69056176d68490d1151ae48665320d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Top Billin - Acapella,59vYYvb9JS5IQAp8xpf0CY,Audio Two,10toSzLMkc2zIYiiAemHt1,What More Can I Say,4ULe1bx6XkffNvsbB9DHr6,48,https://p.scdn.co/mp3-preview/92f5ae28cd5535427a0fef8d34b36e753272dc4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Party Ain't A Party,3plNsz0KQaJjtW75gYTMEn,Queen Pen,0VbIlorLz3I5SEtIsc5vAr,My Melody,5qFxfTMR6bzWVpmC1baGie,45,not available
21,What Would You Do?,1tJkic0TURTCXw3rBhYgWu,City High,0LlPal5iJGcCWwZp8VefVs,City High,36I3DK8uBlxhmkEGxOULdG,55,not available
22,Teach Me How to Dougie,61LtVmmkGr8P9I2tSPvdpf,Cali Swag District,1EeArivTpzLNCqubV95255,The Kickback,7jEhJ72S8vHQOmQTgIATww,64,https://p.scdn.co/mp3-preview/01a222c5e4b280bc5e9c45ce8772449cf06709f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,"Pop, Lock & Drop It - Video Edit",6DbqCKweKwVkHgRv1CI53D,Huey,33wbkdcxtduHKY53LnI1Hf,Notebook Paper,2o5LE6Q7svPXHmwM75xWbv,56,https://p.scdn.co/mp3-preview/8f1e7f02de72fd7711805abc549d05a2f60683a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Chain Hang Low,0tYPj0NYa7vjlJaqlRSnJb,Jibbs,4USNIVeRwXIAdbVSTqelbh,Jibbs feat. Jibbs,75SYfAVNuZcY0488LhZeic,59,not available
25,My Love Is the Shhh!,3TS25nchaYIPb2Y2fw6cbb,Somethin' For The People,1Hu56IprUt6GltqTkpvguI,This Time It's Personal,7H9HgzKgHs2Bb5BM6tmXE3,45,https://p.scdn.co/mp3-preview/b5d9603c6903d173b490ac35b7ceecc803f56daa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Chicken Noodle Soup,6PGrYbKY6I0LnKmAseNBO2,Webstar,4oWRwCsvTevGlcq7OVN2Jq,Webstar Presents: Caught In The WEB,4RcQ4QcQISIA3hRsuTtAhA,40,not available
27,Party Like A Rock Star,1IYaMVfidzSfvCUZYXhsU1,Shop Boyz,3v3clM1KQgVfpPjKJFPAmx,Rockstar Mentality,6tBUJLHPFbzO665rhzFDg2,56,not available
28,Peachfuzz,39VMTN5lZ9x41aySZGTbsJ,KMD,70S4sHnxr55YQxZ53H5guq,Mr. Hood,4XVjGu7Pow8s1aTk9bMIDo,43,https://p.scdn.co/mp3-preview/80b7d652eedd93f86012b7e82e5a732f7e0e938f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Genius Rap,71V59P1ap285AB9TNJdmbH,Dr. Jeckyll & Mr. Hyde,7rxyGNqJCod2DVTBubSTyt,Giant Single: Profile Records Rap Anthology,13JxcY9hKf4t6BGkrNbSwr,38,https://p.scdn.co/mp3-preview/e4a55d15f1522976ff6d64ed293db7d397e3ec62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
