Variété Contemporaine,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,30208,spotify_france
1,On s'en remet jamais,3YfNvszYpptxYtHhsyBCvO,Zaz,1mbgj8ERPs8lWi7t5cYrdy,Effet miroir,5aM8gkw3dJQ7XSc2Uq8g8a,49,https://p.scdn.co/mp3-preview/82b623eeaa00d316167b9dbd6243afaa54b34b30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Si une chanson,5ylnXklBW6Wc3nMYa0vH7h,Florent Pagny,0g7hZVprd3orBpMrSLWeJ9,Aime la vie,6rftVG86VybyEqBbPSNNKi,41,not available
3,D'autres que nous (14 Boulevard Saint-Michel),0Jj15b04yk4s4rqLFHeOb9,Ycare,0hNK6eH7pXpC1yvhnFXTWB,D'autres que nous (14 Boulevard Saint-Michel),1QHRHCWAGgbAbB4MVIyVlv,53,https://p.scdn.co/mp3-preview/546d8a9cd9a569e0b505f8a5177e8cea2538d80b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Stand Up,0ZGMDczCHVPgLvy4l8i8i9,Patrick Bruel,0vmrFTWCwK3gFGDzeUzeMg,Ce soir on sort...,46ayYNdKAGUxHqng5NRTzU,50,https://p.scdn.co/mp3-preview/0f891d243d6a3ecb2db9a870c8e8138afca98f8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Presque,27D1nnB6QkfapdihlEbBUW,Alain Souchon,5LVp2pGNzmOQqXzziBBR5x,Presque / Âme Fifties,6iWDehPBIGUZrxvpJPBDqJ,48,https://p.scdn.co/mp3-preview/790ad5f31349dc99a29ea3c5952aada0a435286d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"Diégo, libre dans sa tête",2pT6aj4EeTKjMsadIEOEoS,Johnny Hallyday,2HALYSe657tNJ1iKVXP2xA,"Diégo, libre dans sa tête",6QM8xEy9i1A7U6Bgoe1IBp,44,not available
7,"Une bière, un croissant",6JJheCQ7iRkGGSUSPheSru,Rose,3VI6nyKdPVIBxorjS5rYNd,Kerosene,2KXUFuuvUFOrJbUSq1Ch7o,29,https://p.scdn.co/mp3-preview/66d594543400b1c1f015158e07560adc8415fc91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Les gens,2RgPLOszO0KYOIeA8LxrE6,Christophe Maé,7jgnJBnpZTiGnCF2Wvka2Z,Les gens,6aoPSt2NivHfTrBmF4F0Ch,58,https://p.scdn.co/mp3-preview/0cde0bd7a0b5613463b8e5614b3d0e5031a5e1ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Viens,6Klkj1PW32GHKC4SN8UOeT,Yannick Noah,0BCkVcs4QEgfHlvZ7rjSNv,Viens,1zrYkyI1BOxrs0lT1sk9Sg,48,not available
10,Combien de temps,01hm2jxmreoEwQf76eIbbj,Stephan Eicher,29My6ypNwcVp0mjpy3sX2E,Hüh!,1Ju3op4tV6qJHxrIoQ5wh1,43,not available
