Futurs Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,158234,spotify_france
1,Safety (feat. DJ Snake),1mzARUs2kMMxcKh1ome5aX,GASHI,0JOxt5QOwq0czoJxvSc5hS,Safety (feat. DJ Snake),1uezDIjS9R7NxGNy2wGlUS,73,https://p.scdn.co/mp3-preview/e75734ec1311cab858bbd07c378dd3c3bab7b2fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Que Calor (feat. J Balvin & El Alfa),1sviDBcAqVOxMXq4xITVEs,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Que Calor (feat. J Balvin & El Alfa),2epUYHJteejHG4trbc8drd,83,https://p.scdn.co/mp3-preview/73dc8de82c0b012c2fc4a4df825b9143e306c38e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Baianá,7MUazB4rGIqFFIkjT95rCO,Bakermat,3MyFDtqB80WZvbtCZRsekM,Baianá,7ImQIxwDqi9OKS93QMsKQN,74,https://p.scdn.co/mp3-preview/4753a081cba26c93a9972e1d912755b0c7d3178f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Lose Control,7CHi4DtfK4heMlQaudCuHK,MEDUZA,0xRXCcSX89eobfrshSVdyu,Lose Control,1qSOaTvsCOyFJya3v1UzkP,63,not available
5,Wild,2ssDiLvEwzThX6MNstpdaf,The Avener,0e6qzpphJHtObTSwD75mi0,Wild,1ySxLRePAUFGXbOpu05GOg,58,not available
6,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,81,not available
7,Qué Pena,5099x34vBakWpGkHourFxP,Maluma,1r4hJ1h58CWwUQe3MxPuau,Qué Pena,1Db95k6t4rCPHSmdfsTeDl,85,https://p.scdn.co/mp3-preview/b82a2d454d23261612a6511904e5498dc064de04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Johnny Run Away,7BooBD8k8ABLTFLzgxcT5G,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,72,https://p.scdn.co/mp3-preview/28fb5aba8d1f3a7a765ba4106c8e107183787468?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,A.N.i.M.A.L,3YSkWJwhWeOGcaO5Sb1c3d,John Newman,34v5MVKeQnIo0CWYMbbrPf,A.N.i.M.A.L,6XCkgkOCWb4YOs2LGKl60z,60,not available
10,Shining,2lGkhDhp20ci0HgcOOk02R,Vladimir Cauchemar,2V5xArcB3BGAHmwsK46tyU,Shining,7id7PsggoMl0CuwnsPjhLM,56,not available
11,Baila Conmigo (feat. Kelly Ruiz),4Clmg1g8n2yBYG13Z1oSdG,Dayvi,2TWBei99x2tV70bdYbWdAf,Baila Conmigo (feat. Kelly Ruiz),68hy2xnNgeo0dO0YOm4Th7,87,https://p.scdn.co/mp3-preview/ea3a6fc2e0b1ac68421a14ed005ddfc8e6968006?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,You're Not Alone - 10am Mix,7AHW6VnJc5B9B1EKw5x9b0,Spada,2hPCF7VDHhihvNdobslOHw,You're Not Alone (10am Mix),3FlIVfbMN19y4X4DacIWsE,50,https://p.scdn.co/mp3-preview/68710533e97b1531a8a7a7a16d4fa22defb2460e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Sweet Dreams (Are Made of This),1o9D0rUusi2V5idyOEOPII,Winati,7hsdPMApV4JTkBUUL4ZWMk,Sweet Dreams (Are Made of This),6j3DvP1XrNbx0FtXBu5N4B,69,https://p.scdn.co/mp3-preview/34b3c90018dcfcc30d4c0a9632925e1c4ee6b0c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Rushing Back,2zoNNEAyPK2OGDfajardlY,Flume,6nxWCVXbOlEVRexSbLsTer,Rushing Back,4d2YOjyPDopVhOkksaALJj,77,https://p.scdn.co/mp3-preview/373526a105a500ceab84e7e0f2b86bae612f63de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,I Could Get Used To This,5BDmCfpzQeXT4AuxyO5ATs,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,I Could Get Used To This,6u7I12iNeaPAXdvOgxsaZ7,60,not available
17,Rodeo (Feat. Personne),1QTO6V5ZnrbxniSbXhW2pt,Trinix,3HqP3nd8WI0VfHRhApPlan,Rodeo (feat. Personne),3uu9q2uPaqDBmkTQ3IWT5E,45,https://p.scdn.co/mp3-preview/ca686da5ade25940fa140aa1be20cd3a39c48411?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Recognize (feat. Majid Jordan) - Mercer Remix,366EdrGaHsiq1JLEr9UUiJ,DJ Snake,540vIaP2JwjQb9dm3aArA4,Recognize (feat. Majid Jordan) [Mercer Remix],4yAElr6AmHVYHOgC3c0sKk,67,not available
19,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Good Thing (with Kehlani),3wpdeV1FZfiEnelZSfAFp4,84,not available
20,Barrio,1MCSc1ZxlwV5muFXKocAnW,Mahmood,06nvjg4wBANK6DCHjqtPNd,Barrio,6alPvLZuVMID5NZJXKWwMK,79,not available
21,Exhale,3habomq2nwlaN5Jqrl5PT8,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Exhale,4c8EDhWsVDfqw8knVVTOn8,62,https://p.scdn.co/mp3-preview/0ef8f727eacf8d669f680411821f8dd8c96efef6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Lonely,1MF23oT6lg5q47LnZ91UPy,84,https://p.scdn.co/mp3-preview/3fa1dc5fe5068d6c7189d3871cb1fd1615330b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,All That She Wants,1MuZG4wCdiFmxiFZKxy0Tw,Sound Of Legend,3g9yyIlJ0sIunQWJLmIYhn,All That She Wants,1tyl4gqb66HfvO3jRafGF1,53,https://p.scdn.co/mp3-preview/ff93a79205678e23d6b97240a355caf59b8266c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,Tainy,0GM7qgcRCORpGnfcN2tCiB,Adicto (with Anuel AA & Ozuna),7nqA49hzXJWPH4cnM8nk6x,93,not available
25,Messiah,01iab9HlD9EP9LZaimGQqo,Klingande,1L9i6qZYIGQedgM9QLSyzb,Messiah,0nW9GaU94iGYDhiNHju1Cr,27,https://p.scdn.co/mp3-preview/ebfa6467785e0ca41affca0b4c77f48979175d97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Party (feat. A Boogie Wit da Hoodie),5PDoWY5Av2Ba3rWIdY9Ij0,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Party (feat. A Boogie Wit da Hoodie),2ce9XFj7OA3f78oO5XFFhV,77,https://p.scdn.co/mp3-preview/e7d8a4a8c5200f284bf30197c90bca65d2ea0fd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Mad Love,79JBjIq90BrQ8Ws0pUhlzD,Mabel,1MIVXf74SZHmTIp4V4paH4,Mad Love,6fwNMnwzVoclK4zOwl3ou0,85,not available
28,Teeth,1JRK7srBWUtAW7dPabKBwJ,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Teeth,6JdZip7wqJcGYtYDnzpp8T,87,not available
29,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,86,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Tutu,1nocRtwyNPVtGcIJqfgdzZ,Camilo,28gNT5KBp7IjEOQoevXf9N,Tutu,6xu5asYeoMIT5Sa5b1P13q,93,https://p.scdn.co/mp3-preview/bbb93b30e71d9c18736fb3ba053b876af87cf9e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Holy Water,7Ga9ZSdPAcQXQvd1ObVFpm,Galantis,4sTQVOfp9vEMCemLw50sbu,Holy Water,18C3JLfjKrkCKZubEhqJuw,72,https://p.scdn.co/mp3-preview/c2c54ef611015334a3a315ba8352365bbfaf9877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,2cFrymmkijnjDg9SS92EPM,hot girl bummer,37CqAwxTungNxKpIK5vSgE,93,not available
33,"Fuego (with Sean Paul & Anitta, feat. Tainy)",660eekzsNZ7sdATvfIsAkR,DJ Snake,540vIaP2JwjQb9dm3aArA4,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,78,not available
34,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,Marshmello,64KEffDW9EtZ1y2vBYgq8T,One Thing Right,4QAC6FquY8D0RXom13iE5J,89,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
