Génération 2010,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,28966,spotify_france
1,Alors On Danse - Radio Edit,6LXRvh3S8TB5P1PKy4lY1S,Stromae,5j4HeCoUlzhfWtjAfM1acR,Cheese,3XAyEMflBDI6eDhnKikvbd,18,not available
2,Soulman,6c21yLx4wGz5CvRxO7O6Hd,Ben L'Oncle Soul,2dJTa3mUidZAO9sKcY72tK,Ben L'Oncle Soul,237pZ8Gn9VWqyhnWFsDd58,7,not available
3,Elle me dit,12QAs5Wq4jvGxvnQ9UpJF7,MIKA,5MmVJVhhYKQ86izuGHzJYA,Elle Me Dit,4TXsfHuraxbxa3pol7wq15,5,not available
4,Andalouse,0fqlz0L5w16uQrELsFxTp0,Kendji Girac,4IS4EyXNmiI2w5SRCjMtEF,Kendji,1iddjUYhfMpjTVY5SQZxKm,55,not available
5,Le chant des sirènes,0gSvEcIBXqiYqomjp6hKHj,Fréro Delavega,6bebPrkEPr2xEkiHP3QkNT,Fréro Delavega,6vRDgJ6ZlOQ8DH1Y4Olx46,59,not available
6,Un homme debout,4XaVGXF1KVcXBvxN5ovVxM,Claudio Capéo,5KBbs98MK59UNMF1VTwMmz,Claudio Capéo,364wBf3b5hKbH0NigrUGuj,55,https://p.scdn.co/mp3-preview/ed52e21d777041854f8eef7c29e6c280532161b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,En feu,6FxIFhVlOvI1wcXWe8LKei,Soprano,2RJBv9wXbW6m539q9NOfW1,L'Everest (Deluxe Edition),7sNP8kJJr8Ji1wc4eA9HHr,62,https://p.scdn.co/mp3-preview/9d2726a648e716f5d86a9f6d13404a12f06e68cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Christine,6lEl2aNhhY9QZCijIztEwj,Christine and the Queens,04vj3iPUiVh5melWr0w3xT,Chaleur Humaine,2MRP1IVOoDz3IYpmmCgP08,8,not available
9,Dernière danse,6fhApGZALHXQ5AMrUeQgI3,Indila,0FEJqmeLRzsXj8hgcZaAyB,Mini World,2RLpQx8GmfK2eJgTueg2Jy,7,not available
10,Voodoo Song - Radio Edit,3Eid8tDXUjwPDXgWqKR26D,Willy William,4RSyJzf7ef6Iu2rnLdabNq,Voodoo Song (Radio Edit),19jR8G62OMOmhutpfD3yUb,48,https://p.scdn.co/mp3-preview/df1512dac7e804dfc45eff986ca590a740970364?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Papaoutai,34dx8DACTJsc3rsJdaEIQw,Stromae,5j4HeCoUlzhfWtjAfM1acR,racine carrée,6uyslsVGFsHKzdGUosFwBM,71,not available
12,No Me Mires Más,5OwRFdYTJWLH9QgMj1jzj4,Kendji Girac,4IS4EyXNmiI2w5SRCjMtEF,Ensemble (Deluxe Version),7g9b7LYW0PVDjyYyuRTUd8,57,not available
13,La terre est ronde,3IM7zXywZ6sRTtkRjRLxJ8,Orelsan,4FpJcNgOvIpSBeJgRg3OfN,Le chant des sirènes,5GfsaNstrK8rszTX5XYtXU,61,https://p.scdn.co/mp3-preview/07ff9ea25bc6f7d14e1e85b4ef3b459ab10dec00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Avant qu'elle parte,53J0MZswXsuJfgG6kR3m32,Sexion D'Assaut,4vnmifnGOeRXfNTRtgd4Tj,L'Apogée,6b8P3pIe2bH7AO9EQOQwk9,57,https://p.scdn.co/mp3-preview/23f4e4c13aafbd820ff56159f5609ab80b96ea3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,J'ai cherché,1lzRxwbdl86iJlYMz48KoD,Amir,6rl53MP8HSoiugpqzA50Zh,Au coeur de moi,7qmzJKB20IS9non9kBkPgF,56,https://p.scdn.co/mp3-preview/af9a83b0c595e8399b93ca517b8db4452c8b2d8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Sur ma route,3Uyt0WO3wOopnUBCe9BaXl,Black M,7lMgpN1tEBQKpRoUMKB8iw,Les yeux plus gros que le monde,1D2Rs9qcENebbiDR5wk88T,61,https://p.scdn.co/mp3-preview/f087faa18518ae5bb99953e7b7a611c50dd66557?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Je m'en vais,6cZDf3mpynxrZbnx95j0tp,Vianney,4Nrd0CtP8txoQhnnlRA6V6,Vianney,51uvnRRpgp7FEUO7Y0jj5O,62,https://p.scdn.co/mp3-preview/bcf541d13762b68962307b3f7d5ec62b8902dfce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,On écrit sur les murs,3DHi3fz6yRG8Z3ssWotC0d,Kids United,3Te4igcN19D4UGSdcb20Vs,Un monde meilleur,77wx0Wq7baLkRsaH5ilctF,49,https://p.scdn.co/mp3-preview/70b4a08f4ee874162d9533b67500043d4b4d2099?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bruxelles,3o9FyxQbCzMsyPLwcr0RIK,Boulevard des Airs,6px2zTzjQAPLkuea5qQ2Gx,Bruxelles,5znqZbAnfZtufdkJEyMcNN,55,https://p.scdn.co/mp3-preview/583078570a9a92c740470e760e8b52cb6ed2aef3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Est-ce que tu m'aimes ? - Pilule Bleue,3a9TMd2Yrza6HXqqlfMtfy,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Mon coeur avait raison,4tYyNNlbRGlS6FNphD8mur,68,https://p.scdn.co/mp3-preview/280fc3efd28b05f663808984755fa0cd934fabc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,L'horloge tourne,1sphiFFp9zrlSLmpFhywRV,Mickael Miro,0VtUo7KpkeFx3zwTmSwNQl,Juste Comme Ça,2fMnPZsQORaYp7SCPNAw03,47,not available
