WARNER REWIND,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,American Idiot,6nTiIhLmQ3FWhvrGafw2zj,Green Day,7oPftvlwr6VrsViSDV7fJY,American Idiot,5dN7F9DV0Qg1XRdIgW8rke,79,https://p.scdn.co/mp3-preview/d5d48190dacabe9e45e2e1fe7616c4e411b28b53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Slide,0nnwn7LWHCAu09jfuH1xTA,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Dizzy up the Girl,4UMjBXcRqIgMZ1XumU2x5T,71,https://p.scdn.co/mp3-preview/28cc4f1970ab4dfa3ed97b98ce801e884584a321?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Weight in Gold,1gXBi2I04CLJkTQnhNfEJT,Gallant,7wFDo161xYdeaiLz3KIHoM,Ology,4VZh7EI0gjL2FkLWNBVIWf,58,https://p.scdn.co/mp3-preview/58b4c4288709ef8b8371189795e2056154a0ffd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Hallucinations,0UE0RhnRaEYsiYgXpyLoZc,dvsn,7e1ICztHM2Sc4JNLxeMXYl,SEPT 5TH,0jLynoED1FbV2Ky7vU6Pjc,62,https://p.scdn.co/mp3-preview/3af53124c4f296e8352b9288a66d7aa886097d11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Haven't Met You Yet,4fIWvT19w9PR0VVBuPYpWA,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,Crazy Love,3MXDonOIzrIrCh0HvlACyj,74,https://p.scdn.co/mp3-preview/1d0f610c854617098d1fadef34b398360b702434?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Give It Away,0uppYCG86ajpV2hSR3dJJ0,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik (Deluxe Edition),30Perjew8HyGkdSmqguYyg,73,https://p.scdn.co/mp3-preview/fcdf3224d230b26b637418c2d1028bc482db7fce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Longview,3LRJbFT9rKoKv4aW7PuBJC,Green Day,7oPftvlwr6VrsViSDV7fJY,Dookie,4uG8q3GPuWHQlRbswMIRS6,67,https://p.scdn.co/mp3-preview/3e0df002c12cc9f72b54d1b2e522e48e7939a3b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Bad Bitch (feat. Ty Dolla $ign),4ZJPwET9Jrgpkqi4Vo3Yg8,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,All Your Fault: Pt. 1,2rBHhp9tNShxTb529Hi5AS,68,https://p.scdn.co/mp3-preview/9284a8a94b8c16eff6a396fceb0c485fc7496b51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Believe,2goLsvvODILDzeeiT4dAoR,Cher,72OaDtakiy6yFqkt4TsiFt,Believe,0jZfbz0dNfDjPSg0hYJNth,77,https://p.scdn.co/mp3-preview/579967c91dc409b693b9819c12bbba83e4d0f9a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,All Your Fault: Pt. 2,6t5D6LEgHxqUVOxJItkzfb,83,https://p.scdn.co/mp3-preview/8965aca26c5af239f57cb6ec1570db1fd8be00f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
