Indie Christmas Songs: 60 of the best,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Home for Christmas,53J52c9azFaNxrv7WJ8DEh,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Home for Christmas,142OTsviIAgNKb9ZKJhhzh,15,https://p.scdn.co/mp3-preview/27e0913ddac886edd63d764cb3ca50282f4fc858?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Last Christmas,34kSAsvs36tXZ8DaiBphUG,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Last Christmas,4mVIcvIiA2bIXiN0P0otKJ,1,not available
43,Silver Bells,2hZAvW6eJVkpUAqxwStSiR,Laura Gibson,396L5wXlifF7nfSLhP3tTH,Walker in a Winter Wonderland,0UhF379fa6PvnfLTsBngqa,4,https://p.scdn.co/mp3-preview/c9b87802dfd68782016107da98dd2663c0ccd1f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Wonderful Christmastime,3OnZDfpaIbb2dBCCHtoYSX,The Shins,4LG4Bs1Gadht7TCrMytQUO,Holidays Rule,6WYKqCoezPOWXD9UxbXyGZ,26,not available
45,Christmas,7oVctxa79jqB5HH8qOWZ0b,Rogue Wave,2JSc53B5cQ31m0xTB7JFpG,This Warm December: Brushfire Holiday's Vol. 1,5edOv7GvKdvwNnqXEACfYQ,10,not available
46,I'd Like You For Christmas - Remastered,1BjZNWyCiQMCcj8zaiNSYE,Julie London,3qUMmh5biaB5hqpF4LqS3m,Christmas Classics,3f22Ap0VSZYWsqrGcphUnY,18,not available
47,Don't Shoot Me Santa,4GhImmgp3j9jF3i9F9P3rg,The Killers,0C0XlULifJtAgn6ZNCW2eu,Don't Shoot Me Santa,4KvNcg4EBNkmXpj4dG2Iac,0,not available
48,Oh! What A Christmas,09gYWVn110d1zJVTdeAe4S,El Perro Del Mar,0bnwha8WPTU2sf4Q4P6vE0,It's Not Like Christmas,2HsmRtYCavEk8xgS9hY5h9,9,https://p.scdn.co/mp3-preview/bd6431009b20f1213689fb78fc4d2e4d17b6e45b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Please Be Patient,1BtnlRYNLoU8TX8o9DMjQT,Feist,6CWTBjOJK75cTE8Xv8u1kj,A Colbert Christmas: The Greatest Gift of All,1RuVdcc2I47OclcFcSgCL1,7,https://p.scdn.co/mp3-preview/a7d8879b229d3e93123a55c86afb1f60468fd6c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Mistress for Christmas,6xwxKqCIdrs0RDWkmFxzZs,AC/DC,711MCceyCBcFnzjGY4Q7Un,The Razors Edge,4vu7F6h90Br1ZtYYaqfITy,45,https://p.scdn.co/mp3-preview/62f3b70f97677d65d3b6197586c14fe1a567915e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,12.23.95,4xomPOAlI54Fpwl4zODLfk,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,Alternative Rock X-mas,2RF9AwEAPRB1C1Y3ZMvERu,1,not available
52,Deck the Halls,4Yh4KDia6ZvTBp6YNI7x2G,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Gift Wrapped: Regifted,3mCaKiRTEdj52pxEbvh42A,30,https://p.scdn.co/mp3-preview/3bd66d3d95506b7505cc5631aa729d166cd47b7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Winter Lady,3rlqZ9bJWifciMFzpxRG2t,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,Songs Of Leonard Cohen,1D900xwFxLRSUBvVyMhR8c,0,not available
54,Holiday,1T5wCJezAoB2NTsP4CzGZ5,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,Holiday EP,3zHATpHDZKg8IY9sgjr3wd,0,not available
55,Christmas In Hollis,1MxFicnnrdo9RzFLAm4Gsf,Run–D.M.C.,3CQIn7N5CuRDP8wEI7FiDA,Christmas Hits,6Mtye5lhYh1JtHenUkIsH6,1,not available
56,It's The Most Wonderful Time Of The Year,0Y6fmYc7mqSbtzdroYfQ9Y,The Big Moon,0KU55rzxAihPhi27MAuz9O,It’s The Most Wonderful Time Of The Year,4scWmSlioD2IeyZCaMssLA,13,not available
57,Another Lonely Christmas,4gCQEqTCp0aiDG5ALFiIEJ,Prince,5a2EaR3hamoenG9rDuVn8j,The Hits / The B-Sides,3o0o5WPnqfGOeyx3UMJgvO,23,https://p.scdn.co/mp3-preview/ef94b3e50a43651ac89ec702f5512114568856b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Have Yourself a Merry Little Christmas,5BppO0mRbrH2TSOOShlPXk,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Have Yourself a Merry Little Christmas,5mbES4AbdxFA8hgsakkFMk,25,https://p.scdn.co/mp3-preview/a3002784bc8e8a09adab61454f2d53123360e8c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,No Christmas While I'm Talking,6wYHoJUCDNk4fQ1YOyNJHp,The Walkmen,6kFay2DQ5aZfeu5OsrF3Pw,Bows + Arrows,4QR9jaNP6Ifh7eqXjhAHw2,25,https://p.scdn.co/mp3-preview/109d067f58d546b98caa9eef60deacb32845fc09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Snow,1wp9SHLdY9bMy7pCa2fd7C,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Further,5EOAvD6xmE1g9XV49wFzNG,10,not available
