NME’s best tracks of 2018 (so far!)  ,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,600,nme.com
1,Twentytwo,7MrPr8g39uJnXyS405HJci,Sunflower Bean,1xVcjJ5YsYOClO2Unt3Rm8,Twentytwo In Blue,0Ucku0CR3r5DRYc0KFdNAh,41,https://p.scdn.co/mp3-preview/981cbba1b4929dece60dec69d07a0f965e100cde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,High Horse,2U2Z1IXnmJIvlknWizFykZ,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,70,not available
3,Friction,1Kx7v0fl7Lz7pApb8QHNS1,Shame,4IeWU3NYBI9mISFVhzXG8f,Songs of Praise,3A1kutvBmC6czSsSv7aR5E,40,https://p.scdn.co/mp3-preview/b4f7fa98758c4265869e15d731226ba15662f515?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Canary Yellow,4hNAvUCdwOdsnuiHayERXQ,Deafheaven,4XpPveeg7RuYS3CgLo75t9,Ordinary Corrupt Human Love,2iA7rzpQsOfAPkfH4Ekp7f,42,https://p.scdn.co/mp3-preview/b40ae32071f554f3f676e20d9020e6e186246ce9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Me and Michael,0t4z0WaQomQqPONghWn8c2,MGMT,0SwO7SWeDHJijQ3XNS7xEE,Little Dark Age,7GjVWG39IOj4viyWplJV4H,62,https://p.scdn.co/mp3-preview/137c86ae104c3a4dff405fbba5d28f06a323f2c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Tieduprightnow,66tkDkPsznE5zIHNt4QkXB,Parcels,3oKRxpszQKUjjaHz388fVA,Tieduprightnow,5v7PsESglCFeVcb7wNEWIW,68,https://p.scdn.co/mp3-preview/aafb6617ab6c948d2e8e5cea278ca6f586492486?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,No Mistakes,1DdgqEZk4Hqfpl3drdXJun,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,ye,5EBGCvO6upi3GNknMVe9x9,4,not available
8,Kids See Ghosts,2I3dW2dCBZAJGj5X21E53k,KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,6pwuKxMUkNg673KETsXPUV,65,not available
9,Fascination,28E92qrfaR7pZ7gDyqXjQc,Confidence Man,0RwXnFrEoI8tltFvYpJgP6,Confident Music for Confident People,6Zi6fNrDmYfDWELwnlfP1l,27,https://p.scdn.co/mp3-preview/7ba8c2d56850448eb8f29f23b3f392c12a873eca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Tenderness,2wF5p2dfUbEiqAnCRVNwmK,Parquet Courts,23NIwARd4vPbxt3wwNnJ6k,Wide Awake!,5uTI2HcpAywDP8Vo1DpJta,59,https://p.scdn.co/mp3-preview/0c2e366c7930bcb326bac0b02881c06920a0a955?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Pink Lemonade,5nSDY75s6O6jA0K7J1EMYQ,James Bay,4EzkuveR9pLvDVFNx6foYD,Electric Light,08cprzGPjtLDvKMwtQh93R,62,not available
12,Narcissist (feat. The 1975),4qjLvvBh5ZeKEPyShKRf06,No Rome,6auWB5YAlcKaHyrbTH66nd,RIP Indo Hisashi,5l156gMmHiFQKaAqCWRkI4,70,https://p.scdn.co/mp3-preview/54afe34649b0007b4b43416f8c2ba1e9b13769e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Charlie Brown,5QwAIKnwgEvMlEXzGZIw2E,Rejjie Snow,3lLHpTOJ11tWiUNGYN14gt,Dear Annie,16bkk7YWytTk5I3VPMU4mv,49,https://p.scdn.co/mp3-preview/d262d7863607280e09fc879dc98d2768fa4a90d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Dished (Male Stripper) - Edit,7rUPp3VSAs7MZuCIIwMWTQ,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,Dished (Male Stripper) [Edit],5zbrCRpKZP0iObMDfjwKjm,55,not available
15,Man vs. Magnet,4EiqUaxoBL4DHNNsHxvgQc,The Distillers,7MlyHuGRHi31yYlrttDqgT,Man vs. Magnet / Blood in Gutters,0YKAg0tpSqpfV06UYwufcz,33,https://p.scdn.co/mp3-preview/52c050550f58cad3b451704e4751eff99a18fd61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,MANTRA,7dRj3sTBYkNbEx5kdNHriv,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,MANTRA,5V4SjUDKVzGxIJDxIHfOZ3,66,https://p.scdn.co/mp3-preview/870465f2ffd3b194a2aadaac1712ff1d1faf7da8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Hunger,6HJcuxVgYjxcYDnPG0ystc,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Hunger,2Weyn0N5HAw59OM87LCR7i,59,not available
