Remembering Mark E. Smith,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,117,nme.com
1,The Man Whose Head Expanded,1G8mMR5OO4xOLjCFQgVQvd,The Fall,6WoTvA9qinpHtSRJuldYh6,Perverted By Language (Expanded Edition),2Bt3IPeeHsJyENjNS6SPgv,18,https://p.scdn.co/mp3-preview/a6c0e191427630114ef754872b78bffd72c515eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Container Drivers,69SgkyE7kGOpiUkm1oUHQX,The Fall,6WoTvA9qinpHtSRJuldYh6,Grotesque (After the Gramme) [Expanded Edition],375U3Kolt8TLiqKg3bUiKJ,21,https://p.scdn.co/mp3-preview/d714dd2fd43f7e456a76c75e068f08a5cb3df535?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Blindness,3Ou0VoPCSdmOR4qfjZhrtc,The Fall,6WoTvA9qinpHtSRJuldYh6,Fall Heads Roll,3ZDAzKO4qL932B2D0D2iBI,0,not available
4,Frightened,3QoDoOAy5phjZ5CJwmarNI,The Fall,6WoTvA9qinpHtSRJuldYh6,Live at the Witch Trials,5fXU7CPOLut6tRryEtQEEH,35,https://p.scdn.co/mp3-preview/8647bbebd226a7df9ca46819b7bba8ddd60812a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dresden Dolls,1uYZOkP546bAwbTQtOMl5D,The Fall,6WoTvA9qinpHtSRJuldYh6,The Fall Live In Manchester,1g5UEgiRIFtRwrJUyWL6Zd,4,https://p.scdn.co/mp3-preview/b9dfe1ad35a6fc641a038670251e39e17289578b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Lost in Music,5zCkpvXTFjI1VYwifAEpH6,The Fall,6WoTvA9qinpHtSRJuldYh6,The Infotainment Scan,0KIumCvJClmAZupvMhGNFu,48,https://p.scdn.co/mp3-preview/599d455d923ebfeeb0e474d432e9f106ac2cb33e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,How I Wrote Elastic Man,1IaxpzSyb21detUDPcMkJl,The Fall,6WoTvA9qinpHtSRJuldYh6,Grotesque (After the Gramme) [Expanded Edition],375U3Kolt8TLiqKg3bUiKJ,29,https://p.scdn.co/mp3-preview/99209fefa59a7090b8b583cc787790a5e1594144?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Hit the North Part 1,4M4iR4GQcEnscz2XOC6CR2,The Fall,6WoTvA9qinpHtSRJuldYh6,The Frenz Experiment,3rirpZpS2CYSIxb37cRsMo,46,https://p.scdn.co/mp3-preview/119d6e38555958c4911d7322636e44b8554cc26f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Theme From Sparta F.C.,7ibaJQcYuEjvkyab1hRN8D,The Fall,6WoTvA9qinpHtSRJuldYh6,Theme From Sparta F.C. #2,5sE29OydurVUR6bIYQ4Ibj,25,https://p.scdn.co/mp3-preview/c0b834aeddb31cd3696ba3f91a10cc44c07da2dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
