VO5 NME Awards 2018 nominees,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,85,nme.com
1,3WW,6O1XKTvgVLwytNWdOlFcHI,alt-J,3XHO7cRUPCLOr6jwp8vsx5,RELAXER,3lBPyXvg1hhoJ1REnw80fZ,55,https://p.scdn.co/mp3-preview/3453b29d864199e40bb6137565a47c5c838d55eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bless This Acid House,0R4qjchMMElUO8rY8NsAGk,Kasabian,11wRdbnoYqRddKBrpHt4Ue,For Crying Out Loud (Deluxe),0ymsF6XO1mZM1VKqI680jU,51,https://p.scdn.co/mp3-preview/d8842f523e5e150e0b36e600f9dd19f828822822?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Don’t Delete The Kisses,1LomCMl5wD3MPVlC6smUHe,Wolf Alice,3btzEQD6sugImIHPMRgkwV,Visions Of A Life,7Mn6FjNopuROYZLIN91hhe,58,https://p.scdn.co/mp3-preview/4a670384fd736e7aa737f18ec7c5120ffc3d4012?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Somebody Else,4m0q0xQ2BNl9SCAGKyfiGZ,The 1975,3mIj9lX2MWuHmhNCA7LSCW,"I like it when you sleep, for you are so beautiful yet so unaware of it",12zl1WmHPFCSyKYbL4vBZn,74,not available
5,I Dare You,044qU7kwVZaDwzWnRsmVVL,The xx,3iOvXCl6edW5Um0fXEBRXy,I See You,2PXy9USZAoTSdtrxfkPBnl,64,https://p.scdn.co/mp3-preview/0448f1d3b5983b84b4ee09c230e98db3509effbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,World Gone Mad,1ZyQGXH9dZ4AecevHhKUxi,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,World Gone Mad (From Bright: The Album),1eRw8LHFNcfucLRf0PWbHw,65,https://p.scdn.co/mp3-preview/072eaefd23a000ce5dfc1271df8e70868202ddc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Little Of Your Love,0dHM31MLd2F5jzNPDMHOpN,HAIM,4Ui2kfOqGujY81UcPrb5KE,Something To Tell You,3EFSOzgqaOQqJCMAMMn4Cl,55,not available
8,Carin at the Liquor Store,,The National,,Sleep Well Beast,,0,not available
9,Run,1wLQwg0mloy3yXjL0jPE0N,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Concrete and Gold,6KMkuqIwKkwUhUYRPL6dUc,66,https://p.scdn.co/mp3-preview/fded09b73c6308a8e8dccfad257bee228848481a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,The Man,3Sb1oj0AzQYUy8PCKfXnEc,The Killers,0C0XlULifJtAgn6ZNCW2eu,Wonderful Wonderful (Deluxe),39XzNKuRjcswersdHb8lUx,0,not available
11,Hard Times,0w5Bdu51Ka25Pf3hojsKHh,Paramore,74XFHRwlV6OrjEM0A2NCMF,After Laughter,1c9Sx7XdXuMptGyfCB6hHs,72,https://p.scdn.co/mp3-preview/1ae8a68052ecd129428710e12a0be397273d7d97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,MotorSport,22Je85Q7fw8oVDRIHiv4z3,Migos,6oMuImdp5ZcFhWP0ESe6mG,MotorSport,45nFCtLzKT8rQmtw4eCY96,5,not available
13,New Rules,4LihUZcWy0B6lGLqcJ8u9B,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),4btGe14gIJmTxbcPAQBtqb,66,https://p.scdn.co/mp3-preview/fa38010d4781ba002a495c7da20c5cbd66d83a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,For What It's Worth,5Ih40KFkj3cSzxgisQxBvX,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,As You Were (Deluxe Edition),2V3WS9tlPYmscBNWHHYu9X,62,https://p.scdn.co/mp3-preview/9891b6b04c25fcdc9b4941059f00ad8dda6ade4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,79,https://p.scdn.co/mp3-preview/beb4ed48cca5d2a792e877c7efe92d54046eac67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",0ihguwGVwKihJ1Nj8fGQlY,Stormzy,2SrSdSvpminqmStGELCSNd,Gang Signs & Prayer,5fkFWJ9LZizXE4yPenNGuy,66,https://p.scdn.co/mp3-preview/1b1abdba3ea0b850e24b88ffaa87f15c768901de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,No Worries,41xpMhDDuHodNOQR9dpZqn,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,Yesterday's Gone,0tgsACxUMuBElueq2YRe1K,1,not available
18,Boys,5o4yGlG0PfeVUa6ClIyOxq,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Boys,4cdqRn65PB3wyN2Yog1nc8,71,https://p.scdn.co/mp3-preview/c9b500adf5f76635e064833f77d4ae0983b96c4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,HUMBLE.,7ujx3NYtwO2LkmKGz59mXp,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,7wbJhbCvhPfbK1CLAkpq25,15,not available
20,Look What You Made Me Do,5troof8mcGO3AafoDbk1gc,Taylor Swift,06HL4z0CvFAxyc27GXpf02,reputation,4fW1sFeE43nuZlAw2xtmC3,14,not available
21,Green Light,0gbBzIqrECJOEPvQJIBFs5,Lorde,163tK9Wjr9P9DmM0AVK7lm,Melodrama,4JeJPyNnsB3tqnHR7RL5v5,13,not available
22,Love,4xyNG8vZR3g8FnphVkbjRo,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Lust For Life,1nP1BEciW2qIlkg4bz97nD,13,not available
23,Los Ageless,7jjxO506HQNiBY3dwc82Nf,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,MASSEDUCTION,0AMTjYhbIJTXJcj2fJV5Bx,1,not available
24,Total Entertainment Forever,7oicWlCIeYclL5eUYFpXfz,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Pure Comedy,2QgZA6t1oFOjiJ59x7jrEI,42,https://p.scdn.co/mp3-preview/6c8b46437e544ae4550d25663cbb787f422a9e75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,american dream,60k0xRw1oYUwZYp4e2iue8,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,american dream,4AF1M7bGCFL3LHCtXUUXw5,48,https://p.scdn.co/mp3-preview/720f55cb4629f94a2bbc13996009973c3c255929?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Lights Out,1060gzllf4b0UETAXisR5l,Royal Blood,2S5hlvw4CMtMGswFtfdK15,How Did We Get So Dark?,3Rz6kF8eGqrDOEteo5YsBj,64,https://p.scdn.co/mp3-preview/ebb9ef2f90a577e91dd8d01257803aac30447f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Did You See,6DXEZzM4wBa3EOl0NCNSvz,J Hus,2a0uxJgbvvIRI4GX8pYfcr,Common Sense,6fUnZqjU3bwBOZIsQ4kN1Q,67,https://p.scdn.co/mp3-preview/3439d79fe4b19be6533159516487d5da975d21dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
