The Best Beastie Boys Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,109,nme.com
1,Sabotage,0Puj4YlTm6xNzDDADXHMI9,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Ill Communication,6lfjbwFGzQ6aSNP1N3JlT8,72,not available
2,Intergalactic - Remastered,5fpizYGbi5IQoEraj6FP0R,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Hello Nasty (Deluxe Version/Remastered 2009),6eGYLONkDMja0MNtZWnRRB,69,not available
3,Fight For Your Right,5NLuC70kZQv8q34QyQa1DP,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Licensed To Ill,11oR0ZuqB3ucZwb5TGbZxb,68,not available
4,Get It Together,6aaPceG6TnixvAZQ1wBMdp,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Ill Communication,6lfjbwFGzQ6aSNP1N3JlT8,49,not available
5,No Sleep Till Brooklyn,5qxChyzKLEyoPJ5qGrdurN,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Licensed To Ill,11oR0ZuqB3ucZwb5TGbZxb,67,not available
6,Ch-Check It Out,56H98l4uinRifnTH8e308N,Beastie Boys,03r4iKL2g2442PT9n2UKsx,To The 5 Boroughs,4nnQZQWLibK1VIhCGDFjk3,56,not available
7,Hey Ladies,1X3U53BiZuDRTzz3XCQZnR,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Paul's Boutique,4DfmPm17Nz6a60BlEpGGKU,1,not available
8,So What'Cha Want - 2009 Digital Remaster,4Pe7ug3U0fpK3txjmGC6qd,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Check Your Head,04FRBQIphnjVWLyAs9j5mo,33,not available
9,Sure Shot,21REQ1bCUWphT2QK3bLWYQ,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Ill Communication,6lfjbwFGzQ6aSNP1N3JlT8,56,not available
10,Make Some Noise,2Bz2Q1JNwwPj40T9AvzE7f,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Hot Sauce Committee (Pt. 2),1vQYbqslni0jVfvaVK2lvx,53,not available
