Mad Cool Mad Tunes 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,79,nme.com
1,Love It If We Made It,6WmIyn2fx1PKQ0XDpYj4VR,The 1975,3mIj9lX2MWuHmhNCA7LSCW,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY,74,not available
2,Friday I'm In Love,4QlzkaRHtU8gAdwqjWmO8n,The Cure,7bu3H8JO7d0UbMoVzbo70s,Wish,0aEL0zQ4XLuxQP0j7sLlS1,76,not available
3,Seventeen,7yMYqHqzye8vtyiHqdVlZw,Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,Remind Me Tomorrow,2dvXk4nacVRmDSnbKniwrS,63,https://p.scdn.co/mp3-preview/7e82d2c5fd8f5d66b9072417305d5f1770b0dca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,GLOWED UP,33pDmPx2pkJ7JCAQpRDQ9B,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,99.9%,1dZZh7PvVgce1DDsDPzy8Z,64,https://p.scdn.co/mp3-preview/8664d17376b7057278eab899090453599d8b1d64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Passenger,15BQ7vEDv2LJuh8TxWIhtd,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,Lust For Life,2jnV6ytZOmt71iEC5xHEYz,72,not available
6,Crow's Perch,5Jy5UwbZvQ7kHFOPXScnvE,black midi,7Hvq85OU8T7Hsd63zNBwaL,Crow's Perch,0B0Z0UFqsSCUBdM2nKgSVk,38,https://p.scdn.co/mp3-preview/42723ad376971a4a6ed0b492ff1797a9fe81bb12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,A-Punk,5dKBaysNJtfpyNTRa5lqDb,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,5oXBmKbyJeQftWMo87cQ9F,70,https://p.scdn.co/mp3-preview/197da975d380b7b1f7e8eb3b53abac0b774a6d5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Big Fish,6eL1ncVDtQHgSm3E288TS7,Vince Staples,68kEuyFKyqrdQQLLsmiatm,Big Fish Theory,5h3WJG0aZjNOrayFu3MhCS,65,not available
9,1979 - Remastered 2012,5QLHGv0DfpeXLNFo7SFEy1,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Mellon Collie And The Infinite Sadness (Deluxe Edition),55RhFRyQFihIyGf61MgcfV,75,not available
10,Missing U,11u6Qkl4ri0fMWZIQDmFUJ,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Honey,0CQ68SLY0B5e6L1rn8jfkc,55,not available
11,Galvanize,4bz7uB4edifWKJXSDxwHcs,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Push The Button,715rku55lldqdw9WiEuPgi,64,not available
12,Talking Straight,7zfzFbRc07YsbFef5xnz9h,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,Hope Downs,2sIj0XFYhXv3GDSIv9IXn6,48,https://p.scdn.co/mp3-preview/01f6a715b98933c2ba7a4b7c591840758ed368ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Loaded,091QeYor0DTf2kdhkKk3xk,Miles Kane,3M0H4efyA5YcijrKlaKbYn,Coup De Grace,6aeQVwrZZu7wDpFMtTApyC,46,not available
14,Where Did I Go?,79OKfIXCPbNhZa3h1ZREag,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Lost & Found,3AlSuZnX4ZCab8eoWnnfbm,65,https://p.scdn.co/mp3-preview/996049f20f06f4ac21948883ebb2b91c2f492e61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Black Smoke Rising,32BEasyNQgqXQJKoVa0fUw,Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl,From The Fires,6uSnHSIBGKUiW1uKQLYZ7w,69,not available
16,Hard Place,47OqtEbWGkG6eDNGUNCYYB,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,I Used To Know Her - Part 2 - EP,46imFLgb9fR1Io6EoPYeQh,60,not available
17,Bad Company,6DLKNWx11doB3MnMntfK2e,YONAKA,3Wcyta3gkOdQ4TfY0WyZpu,Bad Company,3HF6jlkbAq5g43uapdas0N,44,https://p.scdn.co/mp3-preview/de078d8e51b7190f24c5afc2461f9fe8a9d63fdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,I Need My Girl,7rbCL7W893Zonbfnevku5s,The National,2cCUtGK9sDU2EoElnk0GNB,Trouble Will Find Me,2JhR4tjuc3MIKa8v2JaKze,68,https://p.scdn.co/mp3-preview/08125363e5f2ac57bfb904a353cdbe959b6a854b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,The Arbor,69VNPkUzI4AzX2YsZVGQFT,The Twilight Sad,6e6GkaF6uiSEFuTrlvDJUF,IT WON/T BE LIKE THIS ALL THE TIME,6yeitgWpug7poDRRMPRb2i,31,https://p.scdn.co/mp3-preview/3a91709cce15c2975aa5830ee31b4697ee78502f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Chasing Highs,3GJjiToqnCxTm5rOaqoxdi,ALMA,6c0mTNAxJxlp9HpKTUZwA8,Chasing Highs,1nF6jsEiGpdjS7gG3DPaIP,64,not available
21,Holy Mountain,1w0mBplHPU8Sbv2C8mqGOl,Noel Gallagher's High Flying Birds,7sjttK1WcZeyLPn3IsQ62L,Who Built The Moon?,2focHUDT3BVYS3EJUPC8Bj,52,https://p.scdn.co/mp3-preview/3e60bf3713a31e001507c73c96eac307f65801b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Water Over Sex,6hNGYXr5Jd1DR1Tm3ZSVii,Lala Lala,492I2sQFcHDcsZECYX25dE,The Lamb,5GFULjIyZ5Yf02OE2sKrPJ,37,https://p.scdn.co/mp3-preview/4dd6cf68a3bbb24960a0e15be0837d30aedd0256?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Breach,0NVQ9k3wKmuK6T02lLMl6y,88,not available
24,Somebody Else,4m0q0xQ2BNl9SCAGKyfiGZ,The 1975,3mIj9lX2MWuHmhNCA7LSCW,"I like it when you sleep, for you are so beautiful yet so unaware of it",12zl1WmHPFCSyKYbL4vBZn,74,not available
25,Sanctify,6vTCTLxLrcJ3MUSouFW6op,Years & Years,5vBSrE1xujD2FXYRarbAXc,Palo Santo (Deluxe),1OUGPngAngAxjliRlrAc6v,53,not available
26,Sparky's Dream - Remastered,2dAWHiEg6UlcDgK0IDyiy3,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Grand Prix (Remastered),1RsRcawTHLE4NRvPXHWu6d,43,https://p.scdn.co/mp3-preview/07411b4ef5a4a55ebde2c84e4c9250277ab1fb3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Skinny Love,1NyFRrFiJAJIaR6icj1goI,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"For Emma, Forever Ago",2JLDMOX168DhnueBb946kw,68,https://p.scdn.co/mp3-preview/58264e81cb57e05c2e97d5f1c0c8b6c033e782a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
