NME's New Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
27,Leading Us Home,7mqcDKCZM6UxJHeQAjxnUH,Sampa the Great,7fw0E8WHdG3r9SuPBcGmWk,The Return,1HxsSJHTqeUxDoKN26h8pB,53,https://p.scdn.co/mp3-preview/6eb5ebb64c4a510ff33fbd7fb82824c40e7b97e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Saving Grace,1QqHrA7n6tjvoIGukZdPrQ,Alexandra Savior,2qqZbV6smvvtohQOUgZqKa,Saving Grace,5xR2SJXSlzkob062klJ25j,43,https://p.scdn.co/mp3-preview/2ff5555991493fef93b9da8b84a9c33dee94f781?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,When I Get My Braces Off,2W5BqUeVE42TSFnIQ2naKY,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Driving Music,51zDBsYFzLwVSMVgRqyhkd,47,https://p.scdn.co/mp3-preview/e9ccb256064ead144e498edc9f6dbebb6186f7d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Seamless,1n1IeCWKNGZpNMKdWWTQA6,Higher Power,6yv0Vd63iiAaW4665Cs9vT,Seamless,5mtCKoQZgLxEuhMyTXZryi,42,https://p.scdn.co/mp3-preview/0a80dbab29b84fc04f4fbc35a276259c2cc58cda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Ain't Together,0EolrgZsjOyjjTuHEhgVuk,King Princess,6beUvFUlKliUYJdLOXNj9C,Ain't Together,3nY7uA5jciz3tNyw8DolUl,65,https://p.scdn.co/mp3-preview/a75ee4295c52f512edb7960b3613704c394d60f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Night Time,4aTXpOAsO1Tfz82d355Vj3,Master Peace,4GNHtO2iEJ09r4JNTlqnO9,Night Time,7B9gH1nGvoKUIyZ48uWnzF,42,https://p.scdn.co/mp3-preview/52e0f46f425e062c09ff92f7fcdaf56404056349?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,bad idea!,12fCqKoz3XXUgB5P8YWwOI,girl in red,3uwAm6vQy7kWPS2bciKWx9,chapter 2,7A8meGDqKo7DqqYgILTnUy,57,https://p.scdn.co/mp3-preview/f99f14ed1250bae0111186e3edd5086efb4c122f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Merch Stand,1i8BczqMCb5ruRoTbKXWaF,Bob Vylan,6XgIk9Y6qy6JCMZVime6DQ,Merch Stand,1JGZoajyarhIYMXbP69I6q,16,https://p.scdn.co/mp3-preview/0c2e9dedd725fc5af3dd353e2d6242fdead9313e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,When I'm with You (I Feel Love),2ULdjiCP3Y9NBx3i5yC4Fx,Nancy,6HN4w8eC0IVDYprG41CKh9,When I'm with You (I Feel Love) / Unforgettable,2xQGfiaBjElOIfNYLYNoCg,16,https://p.scdn.co/mp3-preview/4040e378afa1b8ef92623ba3d529760a6216eb4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,"Spin Girl, Let’s Activate!",7rcBjoYgtu5mQMNfJqepob,Octo Octa,2GH8Mzo3Ur1AdOnGUUpt17,Resonant Body,4tCzrHhdqQ8CiM9e3tZR0F,38,https://p.scdn.co/mp3-preview/5a7614aec7d4e6bb6a89dde0fab661806ecf1aed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Bloodhound,3aj6KpLUGmAQRW12hb4SML,Skott,6J3RPKUwZlKMzh3vWa9wPc,Bloodhound,7vzEGS3SnM4LUvN8gzn3TP,52,https://p.scdn.co/mp3-preview/a7a108ed411328bf3ce248e16fabf3b44a6b37d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Water Me Down,79ap7oTftmfgDUBUsUcYqt,Vagabon,17mwzDXKn4ra9cuxXaptwp,Water Me Down,4kcsdigEl9ascAJ6a2b2g9,57,https://p.scdn.co/mp3-preview/f232486d26b43c1bd1d9845f131e922044d3b3e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Match Bet,5EdXE7FknapGSFzfqWYb73,Squid,685XjGzGztyivfR3fAjoxo,Match Bet,5r93p5X2wWr6RbnKy9VMXI,43,https://p.scdn.co/mp3-preview/a13b511426299660f31a66b609d8d37e51a61aed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Topographe,6gilheHPyQ9hcYTxEd8E0U,Corridor,4nn9uUq4K1vStqxe8t1CD4,Topographe,6aZhuac4h0LOzTRVxfoq0M,34,https://p.scdn.co/mp3-preview/d45d517ed158621f0208a44265b1b6ab28cb9865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Out of Time,72DItfgQEMECHeisTdnb72,Deb Never,55EarwWraRQY9diMo9Oeul,House on Wheels EP,4hOL6Pt97eBeLdLBmqpBID,46,https://p.scdn.co/mp3-preview/648d10e9109bd0996331f26ea69269344a41a846?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Mono no Aware,4LHjzzhvmLB8ttiqiqHc42,Great Grandpa,1Hs5RG6WIwUSJLxRYWaOW6,Mono no Aware,1lqqZgh6OSmU7eLmmFaIiV,34,https://p.scdn.co/mp3-preview/301623c9d44df83af213022467bf15250ac21a0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Black Tree,1QQhvUvnID8E4AIWNKHUnl,King Nun,0FHPAcPoHtExxmF68aEChO,Black Tree,0oXNr6XsutBsMY776zBg8n,32,https://p.scdn.co/mp3-preview/92e8fb367d4dd09139dda95bb447afd3124c547f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Reflections,5J3DSXD1TNBrC1YFWp0ZMc,Imbibe,17KVMmnqvKAER3z0CD16cJ,Reflections,5Comntg3toODpnigeWNzIy,22,https://p.scdn.co/mp3-preview/fa669416412af2367f61c17409840f70e66151b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Fear My Society,1Pv4bgYejM4IyPhxww2Z5K,The Wants,7L5GrMxr9R6NA5MT6UZzKy,Fear My Society,33Ux1zIfiJ9qqC7faYjm6J,25,https://p.scdn.co/mp3-preview/8ead1b432f6f0d3540ed520030c5dd4e8c97f40e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Easy Peeler,4Ye6Wy3vHdUicAjfoReFkN,Phoebe Green,5qt7yk11uFzsBUC3CgbyNP,Easy Peeler,02L1gwIjuIYaZYWFQmuhLn,45,https://p.scdn.co/mp3-preview/68a9c0eb50afb1ae4a962b1f0e822d645547366c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,She Plays Bass,52zzYSu7RUsSFn8cZlVjWp,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,She Plays Bass,6aSy1zAuCiFQxUFITf3ymw,60,https://p.scdn.co/mp3-preview/d248a101bdc51b9dcad2209c7e167b38c8dbe135?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Moon - Edit,0qC6CVPzhHF8SvLzsJAC4c,TSHA,2kLa7JZu4Ijdz1Gle2khZh,Moon,2uwQGLZKdEHJMfEYgPTlZ3,38,not available
49,Ferry Song,6yvkV308FgU626u3R2W093,Twin Peaks,1xD85sp0kecIVuMwUHShxs,Ferry Song,72uWjp58fca9cEwkj5Vvzv,34,not available
50,Connect to Consume,6GAe6Qyx5P3tM5iEpV8wEl,A. Swayze & The Ghosts,6rbA09kzdZICoLg7sWbkGd,Connect to Consume,6MzCOAI8YBSwYV8pE8b1tb,25,https://p.scdn.co/mp3-preview/27da33e3eab7dd57a3844eebe41734074494df61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,If You Want It,4l0bCBBi9WEMNdzMWAOJMu,Jay Som,1wmiQ6ytATiGnJs6uFluKO,Anak Ko,62syoe9xkhQbkNOHgNZEQ4,45,https://p.scdn.co/mp3-preview/99f073031ab5d50955de8b7ccc4cbb7601165e76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,British Bombs,4ZdmTNaBTErD8n9AQE0YaX,Declan McKenna,2D4FOOOtWycb3Aw9nY5n3c,British Bombs,18nvSHmOdaQNgpz7vsJKPr,65,https://p.scdn.co/mp3-preview/204a0791c029faedce01691a68d4788373d377f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Silver Line,1sq29H6gL3xNe5VdvukWuq,Sheer Mag,58ehndX799ZV9Jcv6IefJ1,A Distant Call,0Diq2A7FjraCWgDW1B5u9S,41,https://p.scdn.co/mp3-preview/8d39853bdd54cedf123e7e7211a6223fa3ab3584?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Shiny New Model,6zAlZjnKltHjg1EHl0PrPS,BODEGA,3lnWfdMG9U0oVMC15SEbB5,Shiny New Model,37fwdORFndvAp6KHmhEHNd,38,https://p.scdn.co/mp3-preview/d36779d10c21edd0f1f3503a0b09010ee846e851?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Playing Games,5WGgVeqKNZ70ynPooQjCQc,Anna of the North,1mSJCvDX0W7Dn7S9C6vmvI,Playing Games,5Cq4adPbTsSlDessVaWwNj,57,https://p.scdn.co/mp3-preview/d3df757e04e8a7334b2222772c963b0a97ce5f38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,USP,3VGvCNRN8oBGJLVhmU3A3Q,Liz Lawrence,5v4XGACPGcMZs2ANXBzVmC,USP,0GLETninNE6kFQoFexspHM,41,https://p.scdn.co/mp3-preview/cc2003d7c9c694292fbf9c1893610ad6c3a7fee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Hell N Back,3NRql0A1Ef4RCvT473iqgD,Bakar,3K2Srho6NCF3o9MswGR76H,Hell N Back,3aEdbaJGWXbBxn79DgjamF,64,https://p.scdn.co/mp3-preview/6e4104d14a5ff037a436002f8204bde266b9db27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Raw Power,3vfYZXwb9BfjcXefiignTX,Channel Tres,4cUkGQyhLFqKHBtL58HYVp,Black Moses,2hjwNhw4NYrEgcEHeAyEPj,49,https://p.scdn.co/mp3-preview/1df15e97f2e07ef3dc714ebef962345145f279fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Pista (Great Start),1KdWO6Lv7z10VQ6Jff43hO,Los Bitchos,07b9qW7pabKGO29JPWXn9m,Pista (Great Start) - Single,5lRbEmEC9uIUjHeAGu0V0U,32,https://p.scdn.co/mp3-preview/4ca7c954cec7ebc980159421749e80eca8582f0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Spanners For Hands,0EobqO7LbWvQ3haJaODEw8,Roxy Girls,1gtmuSSPr9dQKaLWHooNew,Spanners For Hands,3qwCnkbiiu2HrfBmXVnf0r,14,https://p.scdn.co/mp3-preview/8976c546f200d517490aaf4abc104dcb62a3e368?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Butterflies From Monaco,7yQztN5OSTY5rUVvGY5pvE,Julien Chang,0QwAWEp3r3Ut1dYNQb7JzS,Butterflies From Monaco,0fbAssKIijDTxpFS75kpnF,38,https://p.scdn.co/mp3-preview/0da53be964348c332074dd40869c15c4efe8357a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,More Is Less,6wV90PIABmXh8Afri0zUBi,The Murder Capital,18M7pJRsgFVjEBZ5ufmJAp,When I Have Fears,17ozByfYT9iEhfGNcT6mdz,45,https://p.scdn.co/mp3-preview/3e30f8c768d0e3f1ab0001c0a645604cfd550f9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Hour of the Wolf,3PdAXalu9OGg205R8JyKyA,Surf Curse,1gl0S9pS0Zw0qfa14rDD3D,Hour of the Wolf,3Rb2HhdiRHoWlWBlqRviME,45,https://p.scdn.co/mp3-preview/64fc71eaf4d02a5f41037a86e5ee3c493e09e850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Charlie,6SPOM20nWbQSBvTwzgIzqg,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Charlie,5p3g2nCVAeUIXzhBtTYWux,63,https://p.scdn.co/mp3-preview/5084c5cc78953d87c394a040aa745b6ed83ee03d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Goodnight,4p9oD9628pjRospq8ztiCU,Dry Cleaning,7DlD7rLG9MKuvXtTeACzkO,Goodnight,7u57U9Is8dsIBg91dsq5lr,36,https://p.scdn.co/mp3-preview/b428efa99c95360b7f9067e6401ece09818daca6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Live Forever,5Y2P2hnVzU0qIOD3xcv1Ve,Nasty Cherry,3a4OHGZwsqHc3eRChiDkS9,Live Forever,6eRl6WSUNdl2bM5ywn1FGV,49,https://p.scdn.co/mp3-preview/d5abc1016927453f0bdc36398537040a1cc3d0b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,TURBO DREAMS,2gXyx7gXH12YwGOxVrfWff,Gia Ford,238uE9s8BDKrIYbzpxIgOX,TURBO DREAMS,1hUXXpmaKW3OfEcXZ5U9sA,38,https://p.scdn.co/mp3-preview/96ee5a68af8b7a5c8b8b310082da89c9c5080777?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Black Moses (feat. JPEGMAFIA),47HWyJVPEmyGLOVgMwrozC,Channel Tres,4cUkGQyhLFqKHBtL58HYVp,Black Moses (feat. JPEGMAFIA),5BbPN7qjPfUSEeTvXoGwNL,57,https://p.scdn.co/mp3-preview/bc2a454c3294cf82e298bb809d9c96208c861687?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,At the Party,1A8fHRsCqXr07p4oiR6i9f,Hana Vu,3diDUq8QMCCtx8a4Jy42aO,At the Party,2eyTI93cgCw7SKjXKjsORw,37,https://p.scdn.co/mp3-preview/ccab789a250abb0fe2d931cc264757a405b22f05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Pixel Affection,46IEYjzyS37lltLLCDJbC0,yeule,1WZarnZpWEv7dDtjAETt4X,Pixel Affection,6293U8X30osYTMXgFpVnub,42,https://p.scdn.co/mp3-preview/349bd8c6a6bcbbc894238f4439d746a0407755ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Kill the Chord,1Kc3CxhNiZdgHQV4udkLgY,Gaffa Tape Sandy,00P2dAOymeYKFx4OSaVgw1,Family Mammal,1BO7FtrmddhXgemo7FDukl,36,https://p.scdn.co/mp3-preview/e5f292822710c069e7a327bb1316183ef7d3231d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Bad,0f2ef9sq5GiFRpo5ATuX5U,Gotts Street Park,2hwy5DELim1AxB1sHPqn4y,Bad,2nleDCTggTF27aqGxIIFod,32,https://p.scdn.co/mp3-preview/4d45ad34799a3d06d05ed6eeb3d5d851eb161e9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Crystal,6a3UjAiiFwhqCNBhF8omNY,AMA,5hzFTGZcy6Rqme2qNC2vUm,Crystal,5zxKuZxpM1dJeoOPz5Aeeu,32,https://p.scdn.co/mp3-preview/4702aa73607484f3c29eb0695ff1d8fe57ed6c78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
