NME's World Cup Fever Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,The Rockafeller Skank - Short Edit,48JrHJdke53Te8dQ9aWzvV,Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,You've Come a Long Way Baby (10th Anniversary Edition),7Avi8h7vv4Ustd6DsN2jYx,63,https://p.scdn.co/mp3-preview/813f09cac7bfc664e873ea514d9c9f7b0f30fb1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Brimful of Asha (Norman Cook Remix) (Single Version),29capylmokCeuNAWqGitij,Cornershop,3Kf7VEIRWquxrNIuyJZnfF,Brimful of Asha,3zImpd2BehQCHbnTiIJlZB,64,https://p.scdn.co/mp3-preview/da622af9726d1dd10b920640c46bbb91179b2d33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Step On - 2007 Remaster,4gAU0cHQJFxj1n2ZDiEIzG,Happy Mondays,339DNkQkuhHKEcHw6oK8f0,Pills 'N' Thrills And Bellyaches (Collector's Edition),2Qo9lJydzuAmcBUjGOvrMQ,59,https://p.scdn.co/mp3-preview/e9a60bee581929f73b910338a16dee5ec64ed0e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,85,https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],2Cd9iWfcOpGDHLz6tVA3G4,Shakira,0EmeFodog0BfCgMzAIvKQp,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),3pzQF7YgU1f66pBayA8uHv,76,https://p.scdn.co/mp3-preview/f01830f7be6c8b654d44c8f7a1f1d06756ab920f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Cláudia Leitte),1PCvKFPWnTXAe2oaReVUcr,Pitbull,0TnOYISbd1XYRBk9myaseg,Globalization,4EUf4YyNjuXypWY6W5wEDm,63,https://p.scdn.co/mp3-preview/a8eacb79f291327ea7adf41073335e9261a4f569?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,"The Cup of Life (La Copa De La Vida) [The Official Song of the World Cup, France '98][English]",7aUCLXZ4D4UD5sCgIgxqjl,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,The Greatest Hits,3k0gbDJ1p2nbqFNHeKVwi4,36,https://p.scdn.co/mp3-preview/3228115c583b7bcab13b3c9d1bbaebbc7fd1f23f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Time to Pretend,4iG2gAwKXsOcijVaVXzRPW,MGMT,0SwO7SWeDHJijQ3XNS7xEE,Oracular Spectacular,6mm1Skz3JE6AXneya9Nyiv,72,https://p.scdn.co/mp3-preview/43cdff18bbe12ddd0a1ec829b87cf15b43a0a73f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Pulsewidth,643gyipSU7dkmrFhJ8UAIm,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,Selected Ambient Works 85-92,7aNclGRxTysfh6z0d8671k,46,https://p.scdn.co/mp3-preview/5a85841e192095fc2b0c13f28561da7f27291192?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,We're on the Ball - Official England Song for the 2002 Fifa World Cup,4gOtLUukvkRnKPUbqbUcTz,Ant & Dec,2gmeFH5Iz8UEA7K0OHDePQ,Three Lions (World Cup Anthems 2014),5EZQDupOt5s9A9ESsNfkEc,0,not available
33,"Hey Baby (Uhh, Ahh)",6LRhfKP8E7q0XEufBUgc2R,DJ Ötzi,0DR4z5jMA1eqx0CmHBUpkr,Greatest - DJ Ötzi,62MBPRkJ1mg75WoBNLnRHR,43,https://p.scdn.co/mp3-preview/cb31e14b94b4688fb52a5a2081e4ef5d25ecb769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,World At Your Feet,0iMD0PUw5uivS92oJSsmG8,Embrace,74K7bX12L8GBAWvPuyIgJ7,Back Of The Net! [Classic Football Anthems],2EFTRQYfn2VZzCDir0Rqy3,0,not available
