A Sub Pop Fall Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1353,subpoprecords
1,Autumn Town Leaves,4xI1VwZa8u3ymeS8hsHKed,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Weed Garden,1xKEX6KhO9pRM85WT7aOel,62,https://p.scdn.co/mp3-preview/bfe14a4b1f1ea281784e3e11962b23c97349bf68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Ferris Wheel,32cPv85z1KziN7KLC78Md0,Pernice Brothers,1CgvL3gASrnuI8SKXr8K7F,Overcome by Happiness,3kNfhM1FJzXUIFY3BPSXj7,0,not available
3,Orchard,3hwQknUg7zl9Jh6qh18ohZ,LVL UP,5vgsJ5wyLQ7tw36OGRzJFv,Orchard,3NWEwPfEutaEvtpWKJ9U5i,36,https://p.scdn.co/mp3-preview/6abe1b38869831cc899dfaa6401fa6637e0a202c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,See You At The Movies,0S5TUQG3sHb5dmTOXpKzQE,J Mascis,1PokjXeIq2zVosXbTEaNlx,Everything She Said,3K46zmFJyL2tPjk3dEIgZd,11,https://p.scdn.co/mp3-preview/c793ff47409767717ae2b6d65626d543eb34cd7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Rome (Always in the Dark),7aP2HavIcTtEznySmt0myq,Low,0wz0jO9anccPzH04N7FLBH,Double Negative,1zTkgOHx3mjrUvrhxq4osf,32,https://p.scdn.co/mp3-preview/c6b45c517c2ac87c1376eb02586bd3497c8ccef2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,How I Love You,4UEo4ZyXWKkXZSgstDASzF,Mass Gothic,5CjfZsl2kJgBUJvdJEBRBs,I've Tortured You Long Enough,5zh3dqzdBXEdMCmfP6cnSC,14,https://p.scdn.co/mp3-preview/96daf2f3f414ffc2059697db2edcd7cead6e3f1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,No Regrets - Acoustic,4kp21kBSQyCPUqn6QnHz07,The Helio Sequence,6JoxwT8CwvpxxNaP55R6q2,Lately / No Regrets (Acoustic),7p2PwhPEUyu7bwAZdHBypj,12,https://p.scdn.co/mp3-preview/f99d8552fee08ebc2793274bc101a650345e5217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Stuttering Light,7cBqUaL9QIm5RWnBMsqaFD,Chad VanGaalen,597yzFFRvWnxCtDInHwciZ,Stuttering Light / Get Schwifty (C-131),0Gugo1Xur7zQggOh5lWOYO,22,https://p.scdn.co/mp3-preview/84098a1114415158d781a61d52b75f1c84de0ce1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Gold on the Leaves,2ziBKYNuAck5mQRLoMouxB,Luluc,2Jtfa8vjvzAAGxDfgIkU72,Passerby,3YMi92E4Jwp6mKfdtI8gex,23,https://p.scdn.co/mp3-preview/c1d8c0f88851c3d33c4fc5d4b7ffa89b8ff08da5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ghosties,6BPSJUylqx7Gel256LVnOf,Holopaw,2LQMERAetFUczButdvcsb5,Quit +/or Fight,3wXffZsMh2mreago4q5qNt,0,not available
11,Disappointing Diamonds Are the Rarest of Them All,133uJ11EGsAe76AZvyRRdb,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,God's Favorite Customer,0hMPUtgjezv7gUsmhztvPv,43,https://p.scdn.co/mp3-preview/9a44679030744900094c22cd1bc9bb3367fab3f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
