KEXP's Song of the Day 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,11125,kexp_official
1,Turtledoves,3JBAmufd8JAir4V4C7pH7f,Gingerlys,3EAYlxIkTHeMTd2KW6xNMa,Gingerlys,1CPKVZZ5K19NMuzc5c23PD,1,not available
2,Mustn't Hurry,2FCu7e2VneBBmOL1uLnyCJ,Fever Ray,5hE6NCoobhyEu6TRSbjOJY,Plunge,1DPT0bAoy8VaQScZpfoitr,39,https://p.scdn.co/mp3-preview/8faa49da110a4becd22f2139234d3af0a5f9f762?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,The Fourth Colour,4fO1ad3rl3QR1yFY43H8JD,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn,Polygondwanaland,7LKjFAk60OgMLvRdfM93g8,35,https://p.scdn.co/mp3-preview/c648ac0ac9ea8a0a8cdc8ac66fc61294bf6a8b35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Not Today,6L552ZQgHzuY9ekhRbgSom,Mattiel,69ZtLNs4CNIFnf3Vq7wN5q,Mattiel,4U2oaOZXdlYWtkwmcGLvlQ,2,not available
5,How It Feels,5k8XsM8Urd3pPVgqvfSC7e,Ages and Ages,3DozezNrsIE37kJJfHhS9M,How It Feels,3DnWhkEAr0afhbCrflsrBH,11,https://p.scdn.co/mp3-preview/5466804ba3f554ed1b7f9fb5b709cdd9c91bfd81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Blue Field,64kzwXiCO8PZHycDPXwCul,The Luxembourg Signal,30E9f8MRwL5daAxsA9E849,Blue Field,3ciDh0KgWruf7FnSraASrC,16,https://p.scdn.co/mp3-preview/221521c474a60d67325335174cc69476009ee0ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Saw U Twice,28sE9k1EVfSx9manhAqCIa,Nabihah Iqbal,7pPOvwCq4bb2iObs8twDir,Weighing of the Heart,1wv2yreeNsyBNnvlhOhvjO,20,https://p.scdn.co/mp3-preview/ddda122856ee336f974eb26a5e1a6c16598b63fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Fly as I Dare,7zOLoo9ulrUsOMb6YoIll4,Shredders,2yVE8rF1Gos332sWFHuWvq,Dangerous Jumps,2zkdVnRQgl3J89xMDC6p9t,26,https://p.scdn.co/mp3-preview/7bb4dca533173750b3e36cd6877347973975be3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Sprained Ankles,72KQtvoRAzWtTAnSneDB89,Falon Sierra,24NIppE01Fh5bN2MpHSdkT,Sprained Ankles,1a4nKIhxdE0kXKNs683hTA,8,https://p.scdn.co/mp3-preview/957156ecc43a654a31f5c12265438dce89a46338?cid=fa83a2fec7c440b7a2795d600d6b2c7e
