KEXP's Song of the Day 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
90,All Of Our Yesterdays,2N16QiEd8CZoEApMGj95wo,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,Here Comes The Cowboy,67PsnkYVPNpEsZffyTWGgW,56,not available
91,Drive On,5yJ30LvJYypBDnUjUzaaMD,Alex Schaaf,0vquuzkNP46uXYXZWZat7S,"Drive On, Armistice",6IYTzuuKYokByf3uGyk1pK,13,https://p.scdn.co/mp3-preview/be1c172aa795615744c48d0db35c900dac294b47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Pretending He Was You,1mr41aWA40oSY5W4se3Tkg,Claude Fontaine,34Ri1nJORbduGK8LLHz61Y,Claude Fontaine,0MgXt3BuZIRMEGaVI3uOU8,20,https://p.scdn.co/mp3-preview/2760f5361b9974f8011e46334b32b7188d5018b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,F Delano,3lo49mXR0DakVtIguASSmD,Kishi Bashi,3LVPGE5jPPwtbGslx07YR0,F Delano,7zuagMPFizgVfgFSRwPYvR,35,https://p.scdn.co/mp3-preview/9e285fd6e954e667fc063ecb68a75ac27e2186c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Chain of Being,5IqMzWKNhyO6AgAUtIy54D,Crows,2P1pNFB3qsW0CsEouzdRjs,Silver Tongues,5T5jGPiDbMAlt85k0Vi24Y,29,https://p.scdn.co/mp3-preview/94e562427ff8e1a07a89878a34a9c9b010bf829b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Two Colors,4s37Oi8yMjWzO3DlOPq5ZT,Chong the Nomad,586OHhbBhXRpOY8LezbUcK,Two Colors,4gFVcH001DpwPXzob2poQm,29,https://p.scdn.co/mp3-preview/a87764377afc3952a240b2608dad4b30603b6dc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Old Engine Oil,2mykyU0Q5oz4Bc7CMeBsk8,The Budos Band,5q4eLKmqFVP0xII8087PHz,The Budos Band V,4XA5Hd4Um9bJVWpuQAl1Sa,40,https://p.scdn.co/mp3-preview/3508adea103c9ca1cf929db4663f05ef1cb97339?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Colors,1DqMi0rcO0iVQurzxprvL2,Black Pumas,6eU0jV2eEZ8XTM7EmlguK6,Colors,0pibkxZVV0elm0uLX2bDTS,47,https://p.scdn.co/mp3-preview/d74c6cc8e20b3556ea11952d41f0e1728340172f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,All My Friends,7CSn1LeN8blrEYEJD7GA0Q,Blushh,6gwYYlD3bgZOHGYGrTGFz5,All My Friends,63hAMA8q72UK071mbbtHTC,19,https://p.scdn.co/mp3-preview/68ebe288f82b56a6fb0747076c27c3b66da911e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Black Light,0SvtGs8Vc0rBizqTrJFPiX,The Dream Syndicate,1l0eT7EY5r7U1gMVm2SyoS,These Times,2qE1GQNmsAqyN48SL8mrY0,29,https://p.scdn.co/mp3-preview/832b73260c3624628cd371efa0279c3231858e56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Interachnid,1t0QE2niTNGWg6jOmhgh0E,Helms Alee,11O8jS9NNmewQkpiGXu0eb,Noctiluca,0hqgU6C8MRpj88oJzazVyI,24,https://p.scdn.co/mp3-preview/d1a94567fe1f4d436b24561b8f75a3e9309a97a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
