KEXP's Song of the Day 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Why?,3KARwJFomEhuRh2UYZ5gaD,Rudy Willingham,7I2zMRnXAdhWiM6JcJdjwU,Why?,7o7WRBM59XxIpeqMso4yLo,8,https://p.scdn.co/mp3-preview/7fb55419848a9e8984e5f658c929920c292bac08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Wires,7bZ3oWkS4ESSZAFvmRnDxD,JFDR,5Lg2eWJA2ZmMnZszOYPMCJ,Wires,6qMNgwGR7dfOrpdzkkPLbQ,0,not available
25,Have Some Love,5LTgI9VsuL3NKrv2WHBgNx,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,"""Awaken, My Love!""",4xnq1L6P551Qcb9gBXNMK7,2,not available
26,Laura Lee,1ew6ZZWHcvJNneBbakCbPx,The Besnard Lakes,2hMif9QK1Knz7gD5XIUsER,The Besnard Lakes Are The Divine Wind,24Pl0Wi9UWApYk79swZPqF,9,https://p.scdn.co/mp3-preview/cba188813bada2644a8ce11a35d848f274cbed92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Creepin’,0kzaPm6botJiXqkYzsiZJD,Moon Duo,4ipKeGoyPCcpEblETS4qLu,Occult Architecture Vol. 1,4AlRpwAsVlD0fuDnt9i3XD,32,https://p.scdn.co/mp3-preview/89542e7c3bf75300e06658daee44bbb72761673f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,The Man Who Made Himself a Name,1WVcuZgAbgoQhrh7lpOzBS,Shelby Earl,6PIo5nhCQJbR0NfxPdGnGC,The Man Who Made Himself a Name,1X2POu9pvfZMRQeEdOd58r,0,not available
29,Bobby Fuller Died for Your Sins,3I72ud24LlD37QxFCjC3Me,Chuck Prophet,3vidJsiALgVC5ZuweJgeDT,Bobby Fuller Died for Your Sins,5oyei8e6zvHyKuInyFKgBl,13,not available
30,Ensen Dhaif,5QQMjC0VpSiSdcEbQPwVBd,Emel Mathlouthi,06MtOym27ALcfdtVOsRcaA,Ensen Dhaif,43Ork1gwIEbUK5u1GvAv0t,3,https://p.scdn.co/mp3-preview/da6ba3f17fcce317ca18fa4bebd63f8336a1f35f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Over the Rooftops,0g8x2F1H1EoIsMtRqwtVxa,Tuomo & Markus,5Ab1JRVcEcWR0VqwID9IO5,Dead EP,0OoTF89zT9nBX2xGBWTDG3,17,https://p.scdn.co/mp3-preview/c97593fd82ce43f3b37a1aa9e9b72dec81835ec6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ramses the Evil Brother,35BqwFDe0CJA0Hg6QrBFLD,The Holy,3UzCWOTeYccowgWOPqpItb,Ramses the Evil Brother,0RrMfXxZPhmma6k0eA9P69,30,https://p.scdn.co/mp3-preview/990f1ac06b4d82d84a6ab4791a16f0a67725561a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,London,5RVCfj5R3kjKBtfFGjf45T,Mega Bog,0zodxoaogKBIOzB0c0zFUO,Happy Together,7z7hGOK5ZvGQ2rCp9TyMHc,14,https://p.scdn.co/mp3-preview/fe50055ebea53bb5131f0c5c5da6fd20f9542e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Do It Again,7cjbglDR6yec0j1gl92ApG,Lady Wray,1plioVQ0mcgAO7uhvWkJJy,Queen Alone,4iJH23rAmDOdapyI9DFRd8,16,not available
