8 Women Who Invented American Popular Music,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1415,npr_music
1,"The Lady Is A Tramp - Live In Berlin, Germany/1960",73pY5qVYRZib6c90ybKrNX,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Mack The Knife: Ella In Berlin,1wQ8jRyqbHquuUBv0oPi20,18,not available
2,Up Above My Head I Hear Music In The Air,5SdV6pe3sgH7b0DphOwGmI,Sister Rosetta Tharpe,2dXf5lu5iilcaTQJZodce7,The Gospel Of The Blues,28Cv21nC7Bme59GR2qtPzA,15,not available
3,Twinklin',1E1ePl7OAWPIMwzZCaBqFO,Andy Kirk & His Twelve Clouds Of Joy,5BLxI2VvgXQtMp8N4k54N8,Story of mary lou williams,7zDaaOJO4MPGLtwn5S4VrB,10,https://p.scdn.co/mp3-preview/7730f8295133185e5a233924002684975fbeced4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Tu Voz,2jdasf6mLTfnf4D7HyN7dC,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,Cuba,7C4Ju0QXdGSv9zquXxCktP,34,https://p.scdn.co/mp3-preview/4ed56ee267675dfdb171b0e498165dd2756c73ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Wildwood Flower,6LXh42hEpcVLKtUgVkiKZi,The Carter Family,0FRIWJYklnmsll5M6h4gUL,Can The Circle Be Unbroken: Country Music's First Family,3ZA3cI7M6Z5rsy7kIFGeMd,40,https://p.scdn.co/mp3-preview/c7e1f55ab36b2906876f5eb44f6e7a152ecdc712?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Gospel Train (Live at Lincoln Memorial) - Restored,1P0CsdJYSoRdJ1NnGlhr7s,Traditional,1U5zgr455OGyIkLNXvDdrf,Let Freedom Ring,2lr6bQncC5D5ouqtPFNQI6,10,https://p.scdn.co/mp3-preview/8f103c8ebfe741c3a1a5b90df54fabaf4621d08e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Downhearted Blues,5JUhjSyjxtO4uEguZfyf26,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,The Collection,1CwzshDbBO3ZwUX76FPI6c,28,https://p.scdn.co/mp3-preview/09841f605bf4b2ac821feca3cd256c03e5f7dcea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Lover Man,3j5KpHITNuqW1ANihKuiqF,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,The Decca Singles Vol. 1: 1945-1949,5cCIvIWG9fqDtflBNgdDkj,34,not available
9,"My Lord, What a Morning",3GRtKPagGJyoLnGcnr9XWu,Traditional,1U5zgr455OGyIkLNXvDdrf,Spirituals,6WrPoRDC8zCgAZj4O7krOo,11,https://p.scdn.co/mp3-preview/e6c70de2d09f53b5474c4cd1e42d567eb75f86dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Fair And Tender Ladies,2Wb9u0MN0okOtXdmmzgQa0,The Carter Sisters,2Z76ufZ8SQ3z2jEjrlecNV,Keep On the Sunny Side - June Carter Cash: Her Life In Music,0pSVeCzT60p5pzP3m3iOrN,13,https://p.scdn.co/mp3-preview/3cf739bea5a0793781e797392cc8878e05f9fabf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Savior Don't Pass Me By,1d3J6GuvuIH14U5L8efaaN,Sister Rosetta Tharpe,2dXf5lu5iilcaTQJZodce7,Precious Memories,1YHahOzmBm2OgsIx0P3fU8,15,https://p.scdn.co/mp3-preview/4107448515e175dc204db1d4e636241b0f67c422?cid=fa83a2fec7c440b7a2795d600d6b2c7e
