Tiny Desk Contest 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1271,npr_music
1,Ants - Edit,1AG9S8xzbOcptMpBf5S94G,Tank and The Bangas,5cAtakaadWHJLxmGKrKcX7,Ants,1H7OBMkveoXhlYKtfreXlP,23,not available
2,Someday We'll Linger in the Sun,77Tlu2OuL8olVmrkexPLPm,Gaelynn Lea,68zltLWXjBB3dIqHikDXZy,Someday We'll Linger in the Sun,7LvjY9pcXD4QuN3mYPRPNb,36,https://p.scdn.co/mp3-preview/1c1d6d1249771ead4a3d584e29a7d81278ef308c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Soft Spoken,3PPVNHiLxHR1M5iXx78E3c,Naia Izumi,53isIC5bQVgfxAKE825iia,Soft Spoken,0k11BQUPbj1ZPXdfMkulpM,1,not available
4,Bad Guy Necessity,1DVHy5fI6CDaixc5r60fTy,Fantastic Negrito,5QXLMdpKeByOo5ypH9gT13,Please Don't Be Dead,4EdNTjVzjIxYqEUGPiyiZS,32,https://p.scdn.co/mp3-preview/45b247c4dd106ee1c1251d0567c3fe8a0a3c29da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"Quick - Live At Gasa Gasa, New Orleans / 2017",3faWBPM7wvxaaCtPd0AjPy,Tank and The Bangas,5cAtakaadWHJLxmGKrKcX7,Live Vibes,45wFOe1KfRfDunsfVk1DBn,22,not available
6,Voodoo - Audiotree Live Version,4D8u5EqYC9xfdYEwGvo5CL,Naia Izumi,53isIC5bQVgfxAKE825iia,Naia Izumi on Audiotree Live,6EBlFmBrEiOcqmbqOk8tV7,14,https://p.scdn.co/mp3-preview/5a07e4ce7e4ac983345915b3c1063af63ee54405?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Magenta,6Pw5hkeMg8lsRMD0EDuZHq,DEQN SUE,2doixmAZHxzTlNcSXnzYz7,Zeitgeist,6fP9QxRIhzCX3CvgrjfgvR,21,https://p.scdn.co/mp3-preview/dfa4a4a577705627d6e3b6f9b27dcb578092b063?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Himalayas,37Txc9xBifStt5Cntrglcs,Scott Mulvahill,2wfUus9ndQRBntDugGk5bn,Himalayas,2XIZ5oUGqWmwfqSMeLnkU7,36,https://p.scdn.co/mp3-preview/cdb517d17d15b3c2a22cd0c66a90c09ab5d4f5c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,A Boy Named Andrew,069yOkagwdMGg603ziN4vo,Fantastic Negrito,5QXLMdpKeByOo5ypH9gT13,Please Don't Be Dead (Deluxe),76BB70ASc22gc7NcRTGSQl,32,https://p.scdn.co/mp3-preview/9ce63bd17e0c51b563485e1298df8ff8e445c806?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Natural Disaster - Audiotree Live Version,6H8BbvcXCvDcSe05Fnx5Yn,Naia Izumi,53isIC5bQVgfxAKE825iia,Naia Izumi on Audiotree Live,6EBlFmBrEiOcqmbqOk8tV7,15,https://p.scdn.co/mp3-preview/51666a159db506f8e38ca2994fb82cebf0aee21f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The Last Three Feet,30rJFFvwGHlJDBuX4QKqrl,Gaelynn Lea,68zltLWXjBB3dIqHikDXZy,Learning How to Stay,0YJRssJFRP8H1IU7Fm8iJn,17,https://p.scdn.co/mp3-preview/e624e791b45606fef386ae0cfac0289e2a9b14db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Spaceships - Single Edit,621x1RCYyMHau4zIvcfM6E,Tank and The Bangas,5cAtakaadWHJLxmGKrKcX7,Spaceships,6FJtN9UE0Axs46JzsIl4ah,37,not available
