Jazz Night In America,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,325,npr_music
1,GØ,76ijwhdPXfftlMh2aKlUwE,Snarky Puppy,7ENzCHnmJUr20nUjoZ0zZ1,Culcha Vulcha,2y5N5FEb9giR3d1BP9wX9n,37,not available
2,Unsquare Dance,2VUo8O3ymKRYNgj97ZG2kM,The Dave Brubeck Quartet,4iRZAbYvBqnxrbs6K25aJ7,Time Further Out,0eMXd1VtCXCkuGWn9JjRDT,55,https://p.scdn.co/mp3-preview/481e53155c281482f1fef1845f2a83d0ab35cab1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"Open The Door - Live At Bradshaw's Great American Music Hall, San Francisco/1979",0OtrAb5V3PyreeaqDmwy68,Betty Carter,6HB1MchEEMg40EisSJuenZ,The Audience With Betty Carter (Live),19sY1QgcDOQLe8MpHOfYTx,37,not available
4,Canter No.1,32zuwAFf5nVxXxnByaYphS,Kenny Wheeler Quintet,6Kq3YOCd3tMU7hWZ8lLcrs,Songs For Quintet,2d4t25RIHGHUQXCg4IAb3w,6,not available
5,Cycles and Seasons,7ks5ka9v9Oorf6VAn2pFsg,David Murray,00SOiqZ0YGY2JhjSPxZMZg,Blues for Memo,7iwSqbTxAjDS1VLjFMj5TD,4,https://p.scdn.co/mp3-preview/8b8d2152b45bdba7e7d806b18e5b07f355a1cee4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Everywhere,16pD6CGHSSbD7XbfAn6rYz,Bill Frisell,3SONlwqLIP2GtaMh9pLYe5,Everywhere,6VuNmXk6VSSkHKtEVeA7hz,39,not available
7,Africa,3IegPPKqQgbvrvQZ0Yo8wb,Alfredo Rodriguez,1dp5YyefJVa9mkiqa3s50O,Duologue,1SW7WYNVqXh4BXJFkfWJTj,38,https://p.scdn.co/mp3-preview/e0e1a03882a6108b32abd12e0f2025c212e89f47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Dippy,2Ej0UQzGqI9F5SUIMEfGmG,Ellis Marsalis,6gMW76a7vmuyUuAivTjFGj,Plays The Music Of Ellis Marsalis,6O718y2ccPYBuUv9n6KLWg,4,https://p.scdn.co/mp3-preview/4667f7fdb73227d30c4bf8bd9d12ee47f0dd940a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Black Hands Bejewelled,0fTLkZ4KwBE6K23NvrYcbE,Henry Threadgill,0bSP8obSwEpc8XEOE7qc63,Easily Slip Into Another World,70cmr5UaxIkjhtm0EwQWIx,8,https://p.scdn.co/mp3-preview/82379f1d0b900e4eaa0f174954bb5f5e5c879b59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ain't Nothing Wrong with That,212bUpXQMP5lXONLGRW91r,Eric Reed,6aIBBSprVv4xXTT6vzONXU,E-Bop,3bqhRdS0WoQncvEf8Yg1NF,6,https://p.scdn.co/mp3-preview/53b391ecfb34c272087ada42df48776e01ae6d8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,You Can't Take That Away From Me,0NPBqPhpHwCZmBKGnqpjVi,Coleman Hawkins,0JM134st8VY7Ld9T2wQiH0,Timeless: Coleman Hawkins,0nBy2vy8SSTBK5oL561PjE,5,not available
12,Baião da Esperança,4uJsuUKVpzRkjGVSz8AoA6,Anat Cohen,64uVMGwRMxvNbymPIveiZH,Rosa Dos Ventos,3vFHhwrL7YrFpHiJTeSSpK,14,https://p.scdn.co/mp3-preview/59bebb39bdc5c7ada94a007604d86d6948b93d8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Solitude,0OPQJbe3afinnTXYij0knq,Linda Briceño,6VyRNoxj0fIcNNXGT7hKpI,Solitude,0a9tOJNWMFLqtt0Bnz1BEn,10,https://p.scdn.co/mp3-preview/24608e725e15e3dda9aaef1402a105c50ab2550c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Single Petal of a Rose (Live in 2015),0JPFkmxe4I7X0SkD0d5Urx,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,"All Jazz is Modern: 30 Years of Jazz at Lincoln Center, Vol. 1",0Z9jQ6ToNUICNgJNNXXMJd,14,https://p.scdn.co/mp3-preview/08a8fcb11ad3a0dfbffea36df80d2acc1153bb60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Fourteen,3gOrguWCWWSAjoHKziklGe,Joey Alexander,0FcNSKwWZJb98ry9M2qEII,Eclipse,2tWjJCMYSGNRJg55XJj0rj,17,https://p.scdn.co/mp3-preview/cf4a74e3094c7f17cbf439d749bc453e3551be0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Reets And I,4s8n43wwVSXyjR2CKxb5Ct,Albert Tootie Heath,53yX28INJxLAZYpUbANw3K,Philadelphia Beat,7oIfZF8N24t7jTDQf43kPF,5,https://p.scdn.co/mp3-preview/de39aebbd55cc1a95102fb8f0342287eedf8469c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"It's Too Late Baby, It's Too Late",3ieGKM2wqzqqA3zT3bfQDX,Johnny O'Neal trio,3lZSqy7xClyME4BEC8r9Io,O' Neal Is Back,3qAZKGp7lmw4lgd15BCBUp,3,https://p.scdn.co/mp3-preview/0b21b27fbe14d81a6fe04e3a81fc50d5a6802711?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Akua's Dance,1ngsqcWcQSUPHMo66dHunw,Akua Dixon,5TivvcKZ5Z0P6Kiq1rCmdP,Akua's Dance,0TQ9sz2Z8FBSpihEtjbBMw,3,https://p.scdn.co/mp3-preview/50cf5e0430ae0ffe43e1eabf730a26949447f1f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,The Three Marias (The Wayne Shorter Quartet With Orpheus Chamber Orchestra),3uXTK66TV2eufGszixdnTQ,Wayne Shorter,0ZqhrTXYPA9DZR527ZnFdO,EMANON,4Uguo06n5X81MwqGM9H2Ok,13,not available
