NPR Music Best Songs Of 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,12832,npr_music
1,This Is America,0b9oOr2ZgvyQu88wzixux9,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,This Is America,7arx9qPJexCsDz67El4qvk,77,https://p.scdn.co/mp3-preview/01afc9c7c44d7b4b01d2340a00e586031827b243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Night Shift,2AF5Kzxb4pz7j79Ity84pP,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Historian,01GO03odsNlNLtvNETukWT,62,https://p.scdn.co/mp3-preview/11ff58f96758165ae3d0580925fe74b3852b4aab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Make Me Feel,5gW5dSy3vXJxgzma4rQuzH,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,70,https://p.scdn.co/mp3-preview/214ede6c18faaba9935774edfba69e50d7fbf6a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",684W6NpKllEexqQlGqetCi,32,not available
5,Your Dog,3BpUZB0tw4zNmG3Iw1mclL,Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,Clean,36NLDBi2kX7XRHnyLzLOS8,61,https://p.scdn.co/mp3-preview/dc5d59dfe1403ad32a92b632241f6d7da1f0497b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Nobody,6bTn1ovliI0OkjUNkiMBJq,Mitski,2uYWxilOVlUdk4oV9DvwqK,Be the Cowboy,653wRjqO0GOZPQPcXpeAXD,67,https://p.scdn.co/mp3-preview/67ffd05d2e0c5dcf4cee6127782198bafa63b7b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Honey,3olYZQTYOLYNImERBnZZqm,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Honey,6WZjFvrzwq8SOGe0r8R3qk,51,not available
8,I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,86,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Love It If We Made It,6WmIyn2fx1PKQ0XDpYj4VR,The 1975,3mIj9lX2MWuHmhNCA7LSCW,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY,74,not available
