NPR Music's New Music Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,34233,npr_music
1,Dexter & Sinister,7mc2TjVBVys9kTNOx9LzYF,Elbow,0TJB3EE2efClsYIDQ8V2Jk,Giants of All Sizes,4EqYFNisfHX1IPA0IoaKI2,52,not available
2,Wolf,6GrEZOZBgQMqJaxukanAVM,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Two Hands,7pg8T6pajjHVZbiyB8bGxo,50,https://p.scdn.co/mp3-preview/3077a2c393c57705b85b14901cb3e93c2823e758?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Not,7IzJ7EGpIpq2vW3ylVTtMh,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Two Hands,7pg8T6pajjHVZbiyB8bGxo,51,https://p.scdn.co/mp3-preview/d8f56b39b0e6ea63f4daeb321c8d4718e9f345e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sketch Artist,0SXuP74i1lSZxCoEvzPS12,Kim Gordon,3n8qeKQViV1waeCzZmS4Tx,No Home Record,4WgO7FEa9fzcyOIabUIbQR,38,https://p.scdn.co/mp3-preview/661c07a3ebcdafc14727cbe49617328888595e38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,You Are Not Alone,3ePqyAy0LpiAOvyGfSUGCT,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,9,33pdNbQw2xOe3A639EgVzu,40,https://p.scdn.co/mp3-preview/83966d8fc056a2ebb19db0e3a3fbda207a94e8a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,USA Is A Psycho,0JIIHqQlUGMMIHTP5Xbr0M,Lightning Bolt,2og3FOCLYXT9H7IYE6QPUq,Sonic Citadel,7j0wKLXUOaXhlq2Iw83NHs,32,https://p.scdn.co/mp3-preview/9af4b7a7f22d0f3bc48cee7e8fb0a367f688b2a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,DA DA DANCE,1GevEuDw9tPirDBxz1DcpB,BABYMETAL,630wzNP2OL7fl4Xl0GnMWq,METAL GALAXY,6rxRhft7JZtXavzHP2g2el,44,https://p.scdn.co/mp3-preview/0681dd64357da26a85f3fa7e6bd67694aad754e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,In The Air,0OkM1crROWFsXjxGEQLIoQ,Allah-Las,2yDodJUwXfdHzg4crwslUp,LAHS,6MMBizDt5PhkmNwcNSXKVi,32,not available
9,The Hot Water Test,3Ea3ypKgUdecoONEQxrUjC,Art Alexakis,5fBMsolOkiSqqSq84ES70c,Sun Songs,2aFquZHqkFVvSuYxT5y7SL,24,https://p.scdn.co/mp3-preview/b5bc598b1a3337c73d6ab76ac349a76c1b85e93c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Barricades,0EdsOHZZuyNzWeo240QDll,Cursive,1sylmUjlKYsLA49YtkNHW3,Get Fixed,3jFflzBkpzhplZwZQwP80d,29,https://p.scdn.co/mp3-preview/486a787700b5fdfd17ed48b1a255bacabdeb33d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Love Me Like There's No Tomorrow - Special Edition,3GF6BplwIMsyGyOJVzZv8H,Freddie Mercury,4M1FpEWs2PeYfJe7xxJfhH,Love Me Like There's No Tomorrow,3Zx1gWa75NC12XT9M18PGb,62,not available
12,Streetcar,4HEtdz4mj1Lz2Mai6F8nyY,Joseph Arthur,5aD0uh1BpYTN7AzhiSDgaO,Come Back World,3RvYLV9Z03IsNjcvRHOJ4R,23,https://p.scdn.co/mp3-preview/30597508427fb884a021f0789c2971365e08cb87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,The Power of Love,3MxI7RAeDQqwd1VUqXsvPv,Mark Kozelek,0qt6QSruHshcWT9QOzyfZp,Joey Always Smiled,7KMcZ2uvrVuxWefp3aRyyZ,22,https://p.scdn.co/mp3-preview/e566093c3f977e6ec1eca9a301adcb0a71051574?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Wallkill,1clQvuCjKUAGzDBkAo8kn7,An Orchestrated Impulse,7vZX0hzuKEXsk7S2Jwnupz,An Orchestrated Impulse,5Mjdt0V2ChRiNM5kiBXpIx,15,https://p.scdn.co/mp3-preview/fac1000c4fa2196a72ee848016acfe3e3a5a9fb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,hey rose,1z3ovfMh4lySf7TTCEBRFM,Son Little,4lujUKeO6nQAJXpq37Epn7,invisible,0DABQ84K1LcuqoPXjm1pv8,28,https://p.scdn.co/mp3-preview/a8c14bc2d4812fee01efdda90237afbe2a0186ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Bet My Brains,0GVCMDg2Wg1FbmoxeWIgrD,Starcrawler,0ZhtrY2Lt1s9klwm03lu8i,Devour You,5uPMb6JzczfxacRspRA1RG,28,https://p.scdn.co/mp3-preview/717fd7eabd05ba533d126442148a1558ced44aaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Love & Loyalty (feat. Mannywellz),7HwvN8toW9TIikL0Jr0AfV,Wale,67nwj3Y5sZQLl72VNUHEYE,Wow... That's Crazy,0JRDNN0AuZZiwyrOWkNDXC,55,https://p.scdn.co/mp3-preview/3c8c15f7c5d98df3284dae042f9ee549eacc3894?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Tokyo,6fqVZogOXWFBuMEP4hfDLh,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Tokyo,03WRNnP9QvdNViaJwnZFLV,50,https://p.scdn.co/mp3-preview/b7aa7a607ec70b8db671a396c89d95ac3e05d240?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Kinfolks,53F1MVa1BWUkTBbVqgVAfN,Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Kinfolks,625MA4PZ4GUROYHFK9kl31,67,not available
20,Lights Up,2plLJpUcYPFrl1sW2pMG63,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Lights Up,4Aag1alBrdk2TFnATVmn8D,85,https://p.scdn.co/mp3-preview/aacbe5176d00ff0ea6cae1977ff71a1ac0d92af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Puppets (Succession Remix),7vAkKCODYbpF2b6brNLzqo,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Puppets (Succession Remix),045PA2kXlh776mWzZNqt5L,60,not available
22,Easy,46D0hYb1B7qiU33VtXt21W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Easy,514p9UpvibpBhShFgpZaxS,75,https://p.scdn.co/mp3-preview/c56216be5426c927962636e64f4b67981b06a556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Home,711gGx1GpUv9YW9KTSfJfH,Caribou,4aEnNH9PuU1HF3TsZTru54,Home,00sZIJm0igl6aBYNktEuSy,57,https://p.scdn.co/mp3-preview/a786e173cdac2c990756e74321782a43b54386a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The Conversion Experience,3ahL0zwB0IBkVaOqMp889g,Bill Orcutt,49ECnwhYzm6Nu97puMvwjG,Odds Against Tomorrow,4FZji2MW4UUObzBtBEw3vd,20,https://p.scdn.co/mp3-preview/4291ddc57cf32fcd64e4538f19b131952ba27d12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ruby Bridges,7bmVcP9nZxtJGFAxgNIsmE,Yazz Ahmed,1srvW9AP2k4GLhS3hlC3IN,Polyhymnia,2WZ1fYVJb7n6kCtpgr1GsY,19,https://p.scdn.co/mp3-preview/6c3014aeb8444d846d99eb830747900bfb8db016?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,My House,5rWGfxr5GWt0v5CXKGiTgy,Gold Dime,51iR3E6UVJLZ3Ma39weE4L,My House,5s73VRD9oKpYg3boWfjx9s,12,https://p.scdn.co/mp3-preview/3cd10d38bd344ac7445fe52cb617fa80711ed1bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,The Girl with the Melted Mind and Her Fear of the Open Door,1nJBeJOdWaBu07NxN6s5tu,Comet Gain,1QFSWSYQpinYxsaAMG8jF2,Fireraisers Forever!,0LeyaFjB6i2apiBXgPiBzN,19,https://p.scdn.co/mp3-preview/3e6a6f648ef4fc9abd7e9622c3d0142bcf5162e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
