New Orleans Bounce,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,21,hot97.1
1,Where They At - Club,3TJpw8dFbhDoE5hBKa8CU4,DJ Jimi,3nqEYrDwdr8t7E5eaxhcD2,It's Jimi,3FDtrDyBh9EdldGyHimpgz,0,not available
2,Twerk Something,42ZxrTFzRoo8AMSbcztxsE,Cheeky Blakk,2fPRPvD5jBW4fKLCRX9wLu,The Greatest Rap Hits From Down South New Orleans Vol. 1,4t9hyvKle4dBWosywNQ4zr,0,not available
3,My Girl (feat. Magnolia Shorty),04RESVEEeEextAImXxz4P0,PNC,1vxEjlZ4EHSA2lMheggLuS,DJ Ro Presents The Swag Of New Orleans Compilation,3AZRDPpIKS8U67xWVlJRDm,2,https://p.scdn.co/mp3-preview/480efac27b5325646606000129f39d7dfaf67862?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Y'all Holla,6qsR1DAysQS8tNnPmX8EKc,RICKEY B.,5wSA4gj2KPO23CBl7sGFqT,The Greatest Rap Hits from Down South New Orleans Vol. 2,1SAYCZh5rxACWJy2iS0gzD,0,not available
5,"Get It Ready, Ready!",3d8oeUeDGg5NMIXPxg5mPB,DJ Jubilee,1n4iSRo9CNY0IRnPpMQh6I,New Orleans Bounce Essentials,3bekz0mQaTWA5RdZ65thMt,0,not available
6,Rent,27xQyzl1beM5AtIrCWDTIF,Big Freedia,2gyv1akuIB9fQvXoGSPaJr,Rent,113mHQQpxvpp93ZMBNaDsK,28,https://p.scdn.co/mp3-preview/bd35f5827bb72abf5c1092cd2ed6cc0ad34ce6b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,"Let Me Find out, Pt. 2",0gThnBBzkHVhgohJeb2ncv,5th Ward Weebie,1Gd5PupkpVsM1OvgVDUvmH,"Let Me Find out, Part. 2 (Maxi Single Special)",3oQzpHFBT7CMAaPRIgqRRC,13,https://p.scdn.co/mp3-preview/9cfc243675fcba4be5a6534b4ebec25026aa91cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Let Me Find out Part 1,726hppwtdSdMClmLWyA2l2,5th Ward Weebie,1Gd5PupkpVsM1OvgVDUvmH,Let Me Find out Part 1,4STZNmfFkZfjyYgTVT3kxl,26,https://p.scdn.co/mp3-preview/0703d39c956a71904346b65c85d0e32a11ab0e28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Bend It Ova Bak It Up (feat. Magnolia Chop),2cRXDiiDi8guvrZnmqbl36,5th Ward Weebie,1Gd5PupkpVsM1OvgVDUvmH,Bend It Ova Bak It Up (feat. Magnolia Chop),32g70a9hliMLlnkkbBAcJC,16,https://p.scdn.co/mp3-preview/b3aef9f69df71a3b4b05f55d2008b84d3d6c0b63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
