Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,174981,spotify_germany
1,Playing at the End of the Universe - Orchestre univers Version,5drwkeWY5C8e2I6cTg79NS,Labelle,7wF9y3gjWdR3DOtFG5PVFS,Orchestre univers,0eIOrsIX5gw7zpvZhltUCq,43,https://p.scdn.co/mp3-preview/5f37a4ce36247f7ac022f40128b6eacc3a09e22c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Concise,4H0wNqcWYEZBW94oBygF0k,Roedelius,7v5E9zviGMsOGHRdMVmhDc,Lunz 3,4tTZ05DMgT3Y4Mpc72AyLC,28,https://p.scdn.co/mp3-preview/85879315c10585e89b8d7f6eb454b161a81a7307?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Badlands Train,2ZdD734d65deIKqH6pJkXi,Stubbleman,0Fu1gmQ4PZ1S5anr0l2Cov,Badlands Train,74fjGUdVhFWF976Tnno4Vj,41,https://p.scdn.co/mp3-preview/64bdbfe65763bcbb174e4c493373a8a6fc4c4c1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Spells,0dIg2sKreVGnWJPSPotagc,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,Encores 2,2C2LdCgWMw6MkJ5RGJi5eg,45,https://p.scdn.co/mp3-preview/700f8cdbb6ce8c412da27cbfd1869021b6c7a0ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Asia,6kg3oZmQjDU1nMLOWU3gVP,Kuniyuki Takahashi,53JsFUDYcN2jw6v1nF7Z82,Early Tape Works 1986 - 1993 Vol. 2,4h1Yp6ITa0R2ZAB9YTsuyL,39,https://p.scdn.co/mp3-preview/11e985bb69c7e359e63868f4fde343e6c53296da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Triptych III,7yLDPr6UQiAN5m5BRJP4ce,Lotte Pen,09klzeoydwwlN5eyyQNNss,Triptych III,70dgfs1cIUejHyTX6IHqYk,39,https://p.scdn.co/mp3-preview/96d29dcbd644d6b81ed4080975471b6b8975effd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hiddensee,6HXAoCEMSpzUoMd9KopnZq,Ceeys,6K8BBZapSLE6XGXF4htbIT,Hiddensee,3JXK7k65XwptClZh18unpo,45,https://p.scdn.co/mp3-preview/1b57b5b814f95fe1169e6bc164057cef2d1e4128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Mirages,5ARGa1YCWbgNobFCM2F6JB,JB Dunckel,0yN05taoXcja1ibMBraWrm,Mirages,1YHTOqf2Ph97yqfLVr9QYT,44,https://p.scdn.co/mp3-preview/5c7c41712061cd2723cc8bc53698b369b9fb7709?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Colours Of Chloë,41IIGbcmsYDgZYsgyyKg6Z,Eberhard Weber,2BPSfZHtSYon5DKvp95xXT,The Colours Of Chloë,6q8vN3Qdyxk6o1fGpY64qz,54,not available
10,Introspection (Edit),5JVtVJFun3pgNdDlUQlkOm,Laraaji,6sd3qv6kReAdo6WsLBtXX4,Introspection (Edit),3KqeFM8PuKvoOHzVo1oxmZ,44,https://p.scdn.co/mp3-preview/d1c6767cd8c00bbea828d593f8e3469394e92e6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,All Armed,0ah4k1jXcRFprzr9MhLrI2,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Armed,6flex5uD7IKBXiNDNvUWwA,48,not available
12,Broken Hearted Kota,3JV9KTvErBJzQi9Wcr7ouR,Joseph Shabason,7xoTSPGUr9u8FWR4G8AWoS,Broken Hearted Kota,5lMXsZtAMCRodyRAeKvDjt,42,https://p.scdn.co/mp3-preview/938eab8c0964dc4d12bbe6cc34ca08177e0db58e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Wurlitzer,4OjcEWInukLib0TUfETqfx,Leifur James,2N1foZRamgP1sfiYXFID9O,Wurlitzer,0mfitPoE1oWjDfmX48fOl3,40,https://p.scdn.co/mp3-preview/fef020e77decef26fcc6bbc93d39b6f6cd349430?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Trancemission Four,6zW4Ei7aIDEdAgF1KJ2QHD,Delta Rain Dance,57Huj8dWG51u6J5HA3dyZD,Trancemission/Transmission,5oobmYeG0w5lb6nkMUBRBs,35,https://p.scdn.co/mp3-preview/4eb9ae28fc4dfce9b8cd24b06ef5bed553c46848?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,On Deer Island,3B4gWlazMuJjYYoP4Y8Ocn,Alaskan Tapes,5GHBk4xcO1UqlbyrUXv5dq,On Deer Island/Where They Lay,4er8vCjtXwJf9R5DPw3sj5,45,https://p.scdn.co/mp3-preview/c3d673646fd1c8446049b059038b383ea07b538d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,A Place,2j1tj1GQCDCRM5tzLQG06V,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Melody,3MH77JVM17CEdDLz374t1e,6,not available
17,Being Here,7kGuC6pmqKvvxRah5QuH05,Mammal Hands,497rp5TEzJffeBnUT0BeE1,Shadow Work,0D6EnTkqcbwzV5RWhxu4Rg,48,https://p.scdn.co/mp3-preview/7e26d555832fc8699bdd1177d4385fa457bd0fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Cliffside,5R76xMp2qvsV3VKUGBc9mG,Hammock,0VOR7Ie9xUSb45fzIIVJQ1,Universalis,7FvkaK0tizVHsWRcVP5WO5,6,not available
19,Bloodwork,3iCvLAdsFiqlnusTzGSG64,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y,Life Of,6dYkIcKYqvb8lNB3FD1dAC,36,not available
20,Calimayan,73xAnUDRUQbZy65hOr80IJ,Carlos Nino & Friends,5Vp9z1lRUNMLQCXbwrIbDK,"Flutes, Echoes, It's All Happening!",1e52dh3GiiAVMNetdNA2pE,38,https://p.scdn.co/mp3-preview/9ff4efc73c08f40018ee18962f4165def7e585b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Waende,0jIymbEdH6q5ZgFVwGJehs,Ceeys,6K8BBZapSLE6XGXF4htbIT,Waende,3w9bvWO480nCjEQuxzwrkc,42,https://p.scdn.co/mp3-preview/13dacb7a0078260d5d64b70c6d7d386f10177fcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Over & Over,4jbmBkyBit7Geqa5tALgWf,Seahawks,6WHCgS2g18qWw45K66DdRZ,Eyes of the Moon,0pmvwDNcm1CBWIwOYsiBDB,9,not available
23,O'sa Va'ya,6EtPc4Zzr9EGCko2xAgRDr,Anna Homler,7y0aWNamQursS9ZHS6kxkh,Deliquium in C,4HteZzCTXLPZ7Yh4NQ18rU,27,https://p.scdn.co/mp3-preview/6fb0ba47f48e980a0390b6277b05bfd12268a378?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Existing Closer or Deeper in Space,6kzNAm0RiDW3UyxTOimSLU,Earthen Sea,3vP8rFfMW7ZZtUFfYyN5QH,Grass and Trees,5BWggRFjTVj5uC1lqjjFU7,41,https://p.scdn.co/mp3-preview/bfd3c112eda464ac1a7f971b5db683a87e0527e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
