Chillige Bässe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Exhilaration,7utDGYOrjIIC3YiDQc8UWw,Sappheiros,5ZVHXQZAIn9WJXvy6qn9K0,Exhilaration,7nE991XT4uUtqcT844lAak,42,https://p.scdn.co/mp3-preview/f310a27dfc18e5c99db6ba6670ccec5957b55383?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Keep Me Warm,0YcSWflRs7FYCSgsie0TC4,Wilder Gray,74RlyWfSIpHWsObpkuc0KC,Keep Me Warm,57l4gsDbsvDTwHqkDfrxJh,43,https://p.scdn.co/mp3-preview/c85ebae31febbf891ccfe1eb478ae74641c6b604?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Neon,19c6M8Y6k1QCltaJ4RP447,Vince Johnson,3F06nUwhnESrprceJi8TVb,Neon,1mD5s4LB7f5HmYlBLDN2FK,30,not available
24,Sentiment,1icfco1GJ4TlBmPApjfLKE,ATLAST,71PKfAxQ0TtvYl2dzZZsUI,Sentiment,6VjbMXWgDc3QNXOazIjpz5,31,not available
25,Black Hole,1RfeN9fbC5jQROl951lNNd,Audiovista,6niwlYgjxTpkDtrKN4KWiZ,Black Hole,3Z6lt4xxbaplrP5XASQi2J,33,https://p.scdn.co/mp3-preview/9eafd352c5f4950a181625dbd8c55bd15ee7fc26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Over Me,5rzUmq0oxjB3Wtw2DkpTVu,Moglebaum,5vvmuVkEcqrbmbFOzukSu4,Over Me,158m9ZDQtutO1pymfDwDsW,14,https://p.scdn.co/mp3-preview/cadf3cb121e37992fe91cc996d0c480b965b7434?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Back to You,78IafDC0fc0WB2NmUTZ7xe,TWO LANES,7mnuMLgvXdCWzyB4sQCG7k,Drifting,6pREX9Xqp1vjKrZ87ZlGlF,48,https://p.scdn.co/mp3-preview/7c41538877ea8cd2a1aee6448b61195e46ddd9ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Rooftop,6udoPEyMWguMzFiaRVceGO,Eloq,36mHwYa65L0WZbAXY2iSGw,Love City,6c5yghtDwCYNQi7jX6vwKW,42,https://p.scdn.co/mp3-preview/89d109e127e990b95d5b33e67b9bca1a49bfb5c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Mirror,0hanOG7baiWLDtVeXjN0OO,jayteehazard,7hAe5ugiq355U0YCNR4DiZ,Mirror,6AzGyGhxClu6qZ9RWIwZeZ,44,https://p.scdn.co/mp3-preview/effd3a32c38c0972e79f6e0dcfd216bdc9d085cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,No Paradise,4aXRgvgFyUleNwakv1zNZp,Taska Black,3XFcu2NnGWceLNdxRCfYH3,No Paradise,32ALOHlR9UlWSzue1ECsg0,51,https://p.scdn.co/mp3-preview/543ce8bef703de9525b4483115b65a154d05555b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Loveblind,4zIwy5i3R9v33wFoGDupiS,Svniivan,4Tjvp7fDrim8wlo9fDgqGx,Loveblind,1eZMfAicbKTaT3cJHCpnvP,40,not available
32,For The Ones Who Suffer The Most,6gOj3lbCRuh2XOFxt3qccB,Cella,3w7ASanLoAsQcWhd7V9DpJ,Opportunity Cost,7pC3ldb2N8luzzsAFCbnhl,39,not available
33,I Can't Forget You,63ESWrRy8LhKJCimDNI9DK,Kayou.,4kTancl0Qa8Y7J0QKKTCrz,I Can't Forget You,3Hiwq1lX4b3AGtW3uoEOUt,39,https://p.scdn.co/mp3-preview/a61f13ce0cd012981615b72bd5cf7b5260b47ce5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Cringe Lords,40yF2aaXrhhTuFMQhOUDVr,C.O.W. 牛,3cBrpMulUbwen7kd2n4CfK,EPIC,6ToDMVWQd9oF42QHmF00Xl,39,https://p.scdn.co/mp3-preview/535fed55943bc33519312626b6e3abaa3a02e291?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Mana,6BO5kq5A7XCntn2SoQws0v,Fakear,4eFImh8D3F15dtZk0JQlpT,Mana,16rmHSa9CPjFFrWH3zFG74,55,https://p.scdn.co/mp3-preview/d779c23f6d8aabde3f08a338b80fc8bc0867e33d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sweet Dreams,0q2X2GLQDWSVTRIHB1ebN7,Besomorph,619CzMJPPWrCeZwx5qw6ko,Sweet Dreams,5YLb3IFoN9dUqDmRMXmRF2,14,not available
37,Only Be Me,3xY7S39qKvxMx6q87FUxDL,DROELOE,0u18Cq5stIQLUoIaULzDmA,Only Be Me,1VLqJFCcuTNvRlP1JcPhQQ,62,https://p.scdn.co/mp3-preview/541f135d7b12e60b4aa717e7c3a74d89dd9ad60a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Between The Words (with Matt Maeson),1FDsndZHpeX6Nvv5tzv8rd,Devault,1VBAKMui4zm5MnBWNn3NbL,Stay,3PQabq3KaEiW0BBG31R6Id,48,not available
39,Can't Wait,2I5LwO59qIdtzIynzTSoq3,Mylky,1z4ZloK1NRO7W0Dp10G5k2,Can't Wait,2GdR75is1GVQP3YcQzOAwV,44,https://p.scdn.co/mp3-preview/12dfd952d555d7d5d461cd904a23ecf298caa44f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Drifting into Dark,5g1S12Ottmgl7WxbjXd4FR,Tim Schaufert,3PThWtcE0CEi5IUmfgTvrC,Glass Houses,5yOpKhQGxIkZ2r1P54jWp8,31,not available
41,Wilted,4zWbS0tXJTJLrqGi3t0wkJ,Besomorph,619CzMJPPWrCeZwx5qw6ko,Wilted,6V6YR0MI6TyEAVGctxgwla,17,not available
42,Consciousness,0MWQiYr7OR477Fsc90zbSZ,Badoos,2OeAY7nQpgaDaZxW5RQevY,Consciousness,05gXjOoMAccKpNfj8rtEJg,40,https://p.scdn.co/mp3-preview/478221049c46fcb82ea22be734f8e0f14d232429?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Approaching Summer,4os6s7sgqVGHZ5AsBqaCl0,SPEECHLESS,0RUwm9ukhlW1oXDzXxj3C0,Approaching Summer,3Dv3zNkhOUQXmeUN28UIm5,27,not available
44,Seconds Away,6nwYKm7omWYeDEqp6AKBSI,Merly,7s4bRApvAsR2ZsBvMIWJ72,Seconds Away,1om4UnfLTyixDeKpbetFgv,39,https://p.scdn.co/mp3-preview/e0163beef7204dcee84e6d9652a7b6332db1e306?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Made to Make Believe,5uWbUWZVBHwvIjpHoteR41,Rockin Motion,1TLjVSfN4d6Qr4yYCjTgmo,Made to Make Believe,1CtoBtarc5tSOm8Q2xn9Hz,41,https://p.scdn.co/mp3-preview/023bfab380edd5d4ad86510abe221929bd0285be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,White Line,4mu5UnYMvr9NgtqK4N5BGN,Besomorph,619CzMJPPWrCeZwx5qw6ko,White Line,6WCAcaV0XDu9SpkskU5Jxc,15,not available
