Herbst Chillout,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,509659,spotify_germany
1,Still,6HbXjawbH9bTwsCXAZgpDc,AVEC,6N8vbhxZ0CYJHd8WGJ9Snf,Still,361LO5zSguzbNCQsOOEOd6,59,https://p.scdn.co/mp3-preview/61714293878c89a60b2bf16cd00ad10f7abfcfae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,You're Somebody Else,0pdKRp2sUthTPe7RLWpPqQ,flora cash,6GpcBKNmZDIrRzYkPJu7Wd,You're Somebody Else,5BuS8meOLEcgGpdPPZfSgC,73,https://p.scdn.co/mp3-preview/4dab6fe8af2bcf7f28bc10b42c88906d9f6646ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Trampoline,0lsRatBUs9HNIZAmoGABzk,SHAED,3KwmxIhSe9UTSEF37kwngR,MELT,3WSazrD65bFptRnMvnesVH,79,not available
4,Survivor,7cjOF15ItJhtRkJU2OVf4J,RuthAnne,31rVRoX5ZG9ZyRbHvlEwjA,Survivor,0zRhDfe4bXmp3j3XLQWVJV,53,https://p.scdn.co/mp3-preview/6083164b26783141ddb3bf78c08f7acb7f271948?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Vienna,60vvMKmrtndqwNfpyG0HS3,Declan J Donovan,6bh228LGC3eAzbplPWV02r,Vienna,5tFRB0wYMQpEesmxdDHswZ,54,not available
6,Lay By Me,4l6boTiX3Erh3HYpKOa0D6,Ruben,0x3PXj1WnuW7YsBxQK57xM,Lay By Me,6RZ6Kas2zRvJo0d6CZUfMZ,32,not available
7,Doin' Time,0Oqc0kKFsQ6MhFOLBNZIGX,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Norman Fucking Rockwell!,5XpEKORZ4y6OrCZSKsi46A,83,not available
8,GFY,10KQrsptNFQ0rwr7rHYjeu,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Exident,1kxlfdgAuoQ4UOwOmHrZUe,67,https://p.scdn.co/mp3-preview/b8eba77cbc5fead231894838b8e7f6fb75f10413?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Out Of Touch,1bfXHP1YvsND2dp3TfFPCa,CUT_,7HPVAGjCVDzP7xcNrkwgxL,A Small Group Of Individuals,3T0OYO6gvRNYaBB4MsExf6,65,https://p.scdn.co/mp3-preview/fed6504af7810a90d17490b7e166265c9d57aaba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Traveler,4sovHESqbzPWzGTaEqdz5V,Luca Aprile,149gSkst4bm3PyT2CR7lht,Traveler,1JyaswSftcAuXNUD2AQ88g,54,https://p.scdn.co/mp3-preview/719c5475fc462b8d8589c0f3dce4b266aa40e822?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Give You The Best,22RSxuePk8ZGWbjLFqXlwC,Elias,0UCLbPGOhtnYf29U7qbfLf,I Give You The Best,6Qqy2rTKHoGwEO4N2m0fE6,52,not available
12,Ride This Train,1QdkFhpTWdljqw70xgyRwU,Millie Turner,53GC8IrnkJXGO7znOiv4tD,Ride This Train,6e99XopnLYiSeDY0F5g8DK,46,https://p.scdn.co/mp3-preview/fa9566e4c2e70fdfe46e9ec28517a08b4bbbcd93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Fingías,7o0oY5wRcoV7oPuDhD2J1z,Paloma Mami,7rOlQwf8OuFLFQp4aydjBt,Fingías,1V2sg9XB2TP29Ys4ER3fLn,75,https://p.scdn.co/mp3-preview/bfcaca8bd97666519fb03548598b75952918aa55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,And Tragic,4MYGHR6L8fWDvcbWP4SP0q,ViVii,21m5PZPUgSF0k76W1MMCAa,And Tragic,4kMPihffOax3qByiqUJgDN,14,not available
15,Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,Kina,4qIVPF0s71ZYW3qzhu5GkF,Get You The Moon (feat. Snøw),5LZSpPoBVBsh6kRSEKfPQ8,86,https://p.scdn.co/mp3-preview/d5c74a622751ac0537d769bf795cb728b33ff285?cid=fa83a2fec7c440b7a2795d600d6b2c7e
