Wochenende,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,471720,spotify_germany
1,Home (feat. Nico Santos) - Alle Farben Remix,2POIEMISkGy3KM718dv8P7,Topic,0u6GtibW46tFX7koQ6uNJZ,Home (feat. Nico Santos) [Alle Farben Remix],4eCnJpIo3df9bPTN7ziUbW,59,https://p.scdn.co/mp3-preview/93ceb6c13228cbb19dfe321b842e112e54c8abca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Love On Myself,4KmfgzXQ1trtD2eY7CtUAP,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Love On Myself,6VW7kUijiZ6DmX9066eMlJ,75,not available
3,Bittersweet Symphony (feat. Emily Roberts),6sYJuVcEu4gFHmeTLdHzRz,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Bittersweet Symphony (feat. Emily Roberts),4kFCmKMq1c6gl8eema7wkg,76,https://p.scdn.co/mp3-preview/defa3f2ed5154790750164c170a2e4971c75316b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Please Don't Go,0la7YuIt0UPKZmx4Q3xnqN,SRTW,7vHAcPVlEDksRsCfkez2CD,Please Don't Go,0MccQg39JmwyDmrYfIEFM7,54,https://p.scdn.co/mp3-preview/9f5dd66feb4ce9d4f3fcdd02813f27139e4df5a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Comatose,08jZcQGx52kOxelaTTezkG,Nicolas Haelg,0nwid3SFCGyXxnllTHzHPd,Comatose,7aB6AKPaGYc8lfndyrRWAo,53,https://p.scdn.co/mp3-preview/e9b4cd4cf6ddf86bb45bf378c4a5251e0af491f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sinner,71uQd0T3RgUwlY0nioWMzb,Klingande,1L9i6qZYIGQedgM9QLSyzb,Sinner,1fsVGFBkQdMuugYtYfHxgc,50,not available
7,Empires,0KolR78aYglcksc0W0JAJJ,Sons Of Maria,2SfhiNVhk8w8xCQ89P3NPU,Empires,3pynK4RNWjWAB3rYbcbQ8F,51,https://p.scdn.co/mp3-preview/877357e2eca2504d5e29f1dda924a7d405300e1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Truth Never Lies,4Q1HcvTHozFOyWQzUTQoK6,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Truth Never Lies,20hcC1XVmHwnG7RQLxU3VM,52,https://p.scdn.co/mp3-preview/cf3d428adaf2e4dafa0e66eb29a56b23dc2274d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Hungover You,769OywRyTkW4i5l3K3vMUv,LIZOT,12A83CWwFiyXy90ScLWPIe,Hungover You,6Z6MSrQFIVWvonrYXtzE52,51,https://p.scdn.co/mp3-preview/6e4da722f9118b3b3d7a561c8d652a469feb2b49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
