Kaffeehausmusik,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
84,Cartoon People,2VV2bUDMP4sWx1500SBaq4,Billie Marten,02YLJJnWC7YQVixkjEBRn7,Cartoon People,4OLCEhgQysdCpVJkbz3gAT,57,https://p.scdn.co/mp3-preview/9d6e0e1bf161e310bc1aaa069b3a5f96dc53b333?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Over For Tea,5bwcPwjqvvEYQ0ZH79BQTY,Long Tall Jefferson,4dPlgLFpJ1w0BtzNVwQNZq,Over for Tea,3VelEF2NsK6PPXEzid3kMZ,18,not available
86,Where the Vampires Hide,1LQfG2btSBVMwMghg2nKOb,Garrett Kato,4S3VOqqGguEZu3vbJMig4t,Where the Vampires Hide,4pKaammgykC8LrN3Xa3PKN,47,https://p.scdn.co/mp3-preview/2afb918222f6625427e2c9eeef0b8626e9c8f0ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Prisoners & Guards,0rVE6NMbmthAKmErBhvf9e,Aisha Badru,3vsVCHUe68gqUMIZwaVUIK,Prisoners & Guards,18wAMNydSX6DzSaqdCbNx6,45,https://p.scdn.co/mp3-preview/964582d3bd51c8ff40c0dd2bedbd76dcf6446dbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Waves - Guitar Acoustic,6WMGSbVtxNKs58OGlF8yW9,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Waves (Guitar Acoustic),1dkyo7p5DsbWFXibQqr3Bn,9,not available
89,Trees,2Nu4NdflWuQGG2KHXIAYEk,Tuvaband,1PELQpIrHccFmlReFjINVT,Trees,0TT257pucxhqzRqY2POXPY,34,https://p.scdn.co/mp3-preview/786e61aaafdd0bec4a5b968aef641f3cdcee8a0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,The Reason Is You,1kbBZy4O9zMs7l7w8sDjol,Angela Aux,49amwW3An2eDASwY6tpuvV,The Reason Is You,7lvURucj2ZEFzXZJuLL8nt,42,https://p.scdn.co/mp3-preview/bbdf0390f4add9762267d84ab3229b5906318f09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,On the Train Ride Home,5Gg8XlEKwLlTbvYYdjseuT,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,On the Train Ride Home,6duA0UIIY1jSYqSPYgOHnX,51,https://p.scdn.co/mp3-preview/676881320bd1ab4a0b743ba68bd87ac1807be714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Pictures Of Me,5MPbbjcTg5riztnxPMqZvt,Van William,73Au3G1YzSqMiEg9ru49UQ,Pictures Of Me,1nVuBGMz7r7OAEFNQuqY17,40,not available
93,Golden Circle,4tAg6TZwDKBg92Yt7YuLuf,Honig,5QPriDsQ3jNIF3caZVOGV2,"It's Not a Hummingbird, It's Your Father's Ghost",11vqAKXPBzV56nLYUkFsaK,9,not available
